GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.993,20181213,4/15/2018
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,ASK,6.879,20181213,4/15/2018
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,ASK,1.37,20181213,4/15/2018
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,ASK,8.56,20181213,4/15/2018
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,ASK,6.56,20181213,4/15/2018
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,ASK,1.26,20181213,4/15/2018
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,ASK,1.13,20181213,4/15/2018
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,ASK,145,20181213,4/15/2018
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,ASK,113.6,20181213,4/15/2018
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,ASK,20.301,20181213,4/15/2018
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,ASK,14.1,20181213,4/15/2018
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,ASK,7.81,20181213,4/15/2018
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,ASK,6.88,20181213,4/15/2018
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,ASK,0.61417,20181213,1/31/2019
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,ASK,9.056,20181213,4/15/2018
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,ASK,9.056,20181213,4/15/2018
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,ASK,9.05,20181213,4/15/2018
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,ASK,9.05731,20181213,4/15/2018
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,ASK,9.0574,20181213,4/15/2018
