"CRC_RID_CROSS_CURR"|"CRC_CDE_FUND_DESK"|"CRC_CDE_CURRENCY"|"CRC_AMT_EXCHG_RATE"|"CRC_UID_REC_CREATE"|"CRC_UID_REC_UPDATE"|"CRC_TSP_REC_CREATE"|"CRC_TSP_REC_UPDATE"
"+SDTAQQL"|"NY   "|"SGD"|"0.729740577224797"|"LOANIQ01"|"LOANIQ01"|"2019-06-21 07:45:44"|"2019-08-26 05:35:04"
"ZWDPLAFH"|"AUD  "|"USD"|"0.11036674870595"|"LOANIQ01"|"LOANIQ01"|"2019-04-10 09:59:40"|"2019-08-27 08:51:07"
"0(DSY6ZG"|"NY   "|"MXN"|"0.049756813573659"|"DEVGUEST"|"LOANIQ01"|"2019-06-14 13:07:40"|"2019-08-26 05:35:02"
"0(DSY6ZY"|"NY   "|"SEK"|"0.110455740384828"|"DEVGUEST"|"LOANIQ01"|"2019-06-14 13:09:27"|"2019-08-26 05:35:04"
"0(DSY709"|"NY   "|"NOK"|"0.1170864214877"|"DEVGUEST"|"LOANIQ01"|"2019-06-14 13:11:07"|"2019-08-26 05:35:03"
"0(DSY7PZ"|"NY   "|"NZD"|"0.686950010647725"|"DEVGUEST"|"LOANIQ01"|"2019-06-14 13:39:05"|"2019-08-26 05:35:02"
"TVDPN0PF"|"AUD  "|"DKK"|"0.012182029241012"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:31"|"2019-08-27 08:51:05"
"TVDPN0PP"|"AUD  "|"CNH"|"0.012182432907383"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:31"|"2019-08-27 08:51:05"
"TVDPN0PZ"|"AUD  "|"NOK"|"0.01218216428818"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:31"|"2019-08-27 08:51:05"
"TVDPN0Q9"|"AUD  "|"CHF"|"0.012182566479352"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:06"
"TVDPN0QO"|"AUD  "|"MXN"|"0.012181221988519"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:06"
"TVDPN0QY"|"AUD  "|"GBP"|"0.999910008099271"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:07"
"TVDPN0RD"|"AUD  "|"HKD"|"0.012181357017789"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:07"
"TVDPN0RN"|"AUD  "|"ZAR"|"0.012181088446031"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:06"
"TVDPN0RX"|"AUD  "|"THB"|"0.01218041632663"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:32"|"2019-08-27 08:51:07"
"TVDPN0S7"|"AUD  "|"CZK"|"0.012180281318213"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:33"|"2019-08-27 08:51:06"
"TVDPN0SU"|"AUD  "|"SGD"|"0.012182297854259"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:33"|"2019-08-27 08:51:06"
"TVDPN0T9"|"AUD  "|"EUR"|"0.999920006399488"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:33"|"2019-08-27 08:51:07"
"TVDPN0TO"|"AUD  "|"CNY"|"0.012180953422714"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:33"|"2019-08-27 08:51:07"
"TVDPN0TY"|"AUD  "|"IDR"|"0.012181492050054"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:34"|"2019-08-27 08:51:06"
"TVDPN0U8"|"AUD  "|"SEK"|"0.012180684868751"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:34"|"2019-08-27 08:51:07"
"TVDPN0UI"|"AUD  "|"JPY"|"0.012181625601392"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:34"|"2019-08-27 08:51:06"
"M)DT8B2Y"|"NY   "|"DKK"|"0.152415790275873"|"LOANIQ01"|"LOANIQ01"|"2019-06-20 03:59:22"|"2019-08-26 05:35:02"
"M)DT8GRI"|"NY   "|"THB"|"0.030567018187376"|"LOANIQ01"|"LOANIQ01"|"2019-06-20 06:02:05"|"2019-08-26 05:35:03"
"M)DT8H9P"|"NY   "|"ZAR"|"0.070778922037017"|"LOANIQ01"|"LOANIQ01"|"2019-06-20 06:13:00"|"2019-08-26 05:35:03"
"TVDPN0OV"|"AUD  "|"CAD"|"0.012180549854382"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:31"|"2019-08-27 08:51:04"
