H,SOURCE_SYSTEM_CODE,REGION,PRODUCT_CODE,BUSINESS_DATE,CONTROL_MATRIX,CURRENCY,CONTROL_DESCRIPTION,CONTROL_VALUE
D,CCB,EUR,LIQ,2021-11-02,SUM_NEW_FUNDING_AMOUNT,,Loan-IQ-sum of new funding,0
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,GBP,Loan-IQ-sum of accrued fees,6727035.67
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,NOK,Loan-IQ-sum of accrued fees,665950.67
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,USD,Loan-IQ-sum of accrued fees,4121534.24
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,NZD,Loan-IQ-sum of accrued fees,2712328.76
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,AUD,Loan-IQ-sum of accrued fees,10674529.05
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_FEES,EUR,Loan-IQ-sum of accrued fees,74699340.21
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,EUR,Loan-IQ-sum of accrued interest,3590387.17
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,HKD,Loan-IQ-sum of accrued interest,17131.95
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,USD,Loan-IQ-sum of accrued interest,213.93
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,THB,Loan-IQ-sum of accrued interest,473.02
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,CHF,Loan-IQ-sum of accrued interest,446.81
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,AUD,Loan-IQ-sum of accrued interest,8547.4
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,CNH,Loan-IQ-sum of accrued interest,235.3
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,CAD,Loan-IQ-sum of accrued interest,217.13
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,NOK,Loan-IQ-sum of accrued interest,13954.68
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_ACCRUED_INTEREST,GBP,Loan-IQ-sum of accrued interest,5502586.61
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_HB_DEAL_LIMITS_GROSS,GBP,Loan-IQ-sum of deal limits_gross,100000
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_HB_DEAL_LIMITS_GROSS,USD,Loan-IQ-sum of deal limits_gross,4000000
D,CCB,EUR,LIQ,2021-11-02,SUM_OF_HB_DEAL_LIMITS_GROSS,EUR,Loan-IQ-sum of deal limits_gross,4237208623.903
