"ACP_RID_ACR_CY_PMT","ACP_RID_OWNER","ACP_CDE_OWNER_TYPE","ACP_RID_ACR_CYCLE","ACP_DTE_EFFECTIVE","ACP_AMT_PAYMENT","ACP_AMT_REQUESTED","ACP_CDE_OBJ_STATE","ACP_CDE_OB_ST_CTG","ACP_UID_REC_CREATE","ACP_UID_REC_UPDATE","ACP_TSP_REC_CREATE","ACP_TSP_REC_UPDATE","ACP_CID_BORROWER","ACP_PID_DEAL","ACP_PID_FACILITY","ACP_CDE_PMT_TYPE","ACP_CDE_PRORAT_TYP","ACP_IND_PMT_FR_BOR","ACP_IND_ACR_SH_ADJ","ACP_CDE_GROUP_TYPE","ACP_RID_GROUP_TRAN","ACP_DTE_RELEASE","ACP_RID_ORIG_PMT","ACP_RID_LINK","ACP_CDE_LINK_TYPE","ACP_RID_OST_TRAN","ACP_AMT_TAX_WTHLD","ACP_AMT_PRINCIPAL","ACP_AMT_EC_INC_INT","ACP_TXT_SYS_SOURCE","ACP_CDE_ADJ_SC_TYP","ACP_RID_ADJ_SC_ID","ACP_CDE_BRANCH"
"!GEG56NW","04EFZE6G","OST  ","04EFZE75","2020-06-01 00:00:00","-0.78","-0.78","RELSD","ACTUA","CMARTILL","RPTMGR01","2020-09-07 14:29:22","2020-09-07 17:02:06","SIEESUTN","S#EESVPY","S#EESVR1","ROPMT","LNDSH","Y","N","","","2020-06-03 00:00:00","0-EFZT11","","","","0","0","0","","","","CG852"
"!GEG59VF","04EFZDZF","OST  ","+)EFZN6N","2020-06-02 00:00:00","0.58","0.58","LWREL","POTEN","CMARTILL","RPTMGR01","2020-09-07 15:38:12","2020-09-07 15:43:11","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","","","","","","0","0","0","","","","CG852"
"!GEG5G8N","04EFZE6G","OST  ","04EFZE75","2020-06-03 00:00:00","0.78","0.78","RELSD","ACTUA","CMARTILL","RPTMGR01","2020-09-07 17:55:37","2020-09-07 18:15:43","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","2020-06-03 00:00:00","","","","","0","0","0","","","","CG852"
"!GEG5HT4","04EFZE6G","OST  ","04EFZE75","2020-06-03 00:00:00","-0.78","-0.78","LWREL","POTEN","CMARTILL","RPTMGR01","2020-09-07 18:29:40","2020-09-07 18:31:44","SIEESUTN","S#EESVPY","S#EESVR1","ROPMT","LNDSH","Y","N","","","","!GEG5G8N","","","","0","0","0","","","","CG852"
"#AEFTRJ9","RZEFHIPH","OST  ","RZEFHIQ4","2020-05-28 00:00:00","249.32","249.32","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-01 10:28:04","2020-09-01 13:21:07",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","LRP  ","#AEFTQAG","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"#NEHOCTE","..EHDTBL","OST  ","..EHDTCB","2020-07-09 00:00:00","100","100","RELSD","ACTUA","LIQUSR03","LIQUSR03","2020-10-07 09:19:05","2020-10-07 09:31:32","SIEESUTN","0REF4EYL","0REF4FMA","OPMT ","LNDSH","Y","N","","","2020-07-09 00:00:00","","","","","0","0","0","","","","CG852"
"#VEHODNG","..EHDTBL","OST  ","..EHDTCB","2020-07-09 00:00:00","-100","-100","LWREL","POTEN","LIQUSR03","LIQAPCP3","2020-10-07 09:32:03","2020-10-07 09:47:45","SIEESUTN","0REF4EYL","0REF4FMA","ROPMT","LNDSH","Y","N","","","","#NEHOCTE","","","","0","0","0","","","","CG852"
"#XEHOMRG","44EF64ER","OST  ","!JEHBFDE","2020-06-09 00:00:00","0.3","0.3","RELSD","ACTUA","LIQSVR04","LIQUSR05","2020-10-07 09:13:35","2020-10-13 10:53:42","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","CYCLD","Y","N","PCP  ","#XEHOMPR","2021-03-01 00:00:00","","","","","0","0","0","","","","CG852"
"$?EI1VN5","@5EI02X0","AFE  ","@5EI02X2","2021-03-03 00:00:00","200","200","RELSD","ACTUA","LIQUSR05","LIQSVR05","2020-10-14 12:34:53","2020-10-14 12:39:11","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","LNDSH","Y","N","","","2021-03-03 00:00:00","","","","","0","0","","","","","CG852"
"$UEFJ72Y","3SEFFFII","OST  ","3SEFFFJ5","2020-05-28 00:00:00","136.99","136.99","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-26 17:21:39","2020-08-26 17:23:14","ZHEF7YY1","3ZEFFD20","3ZEFFD2W","OPMT ","PCYCD","Y","N","","","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
