"APP_RID_ACR_PMT_PT","APP_RID_ACR_CY_PMT","APP_CID_LENDER","APP_RID_LENDER_SG","APP_CDE_PORTFOLIO","APP_CDE_EXPENSE","APP_CDE_BRANCH","APP_AMT_SHARE","APP_AMT_BOOK","APP_UID_REC_CREATE","APP_UID_REC_UPDATE","APP_TSP_REC_CREATE","APP_TSP_REC_UPDATE"
"2AEFMIFW","2AEFMIFK","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-737383.56","-737383.56","JAQUITAN","JAQUITAN","2020-08-28 11:25:50","2020-08-28 11:25:50"
"78EFKYIH","78EFKYI7","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","136.99","136.99","JAQUITAN","JAQUITAN","2020-08-27 16:19:03","2020-08-27 16:19:03"
"IHEFML3P","IHEFML3H","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","4.23","4.23","LIQUSR05","LIQUSR05","2020-08-28 11:24:50","2020-08-28 11:24:50"
"2OEFMQ5L","2OEFMQ57","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.52","0.52","LIQUSR05","LIQUSR05","2020-08-28 13:14:00","2020-08-28 13:14:00"
"+IEFZRIB","+IEFZRI0","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-04 14:53:43","2020-09-04 14:53:43"
"F?EG7C4U","F?EG7C4P","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","279.45","279.45","JAQUITAN","JAQUITAN","2020-09-08 18:20:56","2020-09-08 18:20:56"
"Z$EG8MR5","Z$EG8MQP","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.78","-0.78","CMARTILL","CMARTILL","2020-09-09 10:08:08","2020-09-09 10:08:08"
"+IEFZRHV","+IEFZRHG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-04 14:53:43","2020-09-04 14:53:43"
"0-EFZRX9","0-EFZRW2","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.58","0.58","CMARTILL","CMARTILL","2020-09-04 16:21:52","2020-09-04 16:21:52"
"7MEC0RZ7","7MEC0RYV","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","RPTINPAM","RPTINPAM","2020-06-19 10:59:04","2020-06-19 10:59:04"
