"APS_RID_ACR_PMT_SG","APS_RID_ACR_CY_PMT","APS_CID_LENDER","APS_RID_LENDER_SG","APS_AMT_SHARE","APS_UID_REC_CREATE","APS_UID_REC_UPDATE","APS_TSP_REC_CREATE","APS_TSP_REC_UPDATE","APS_CDE_BRANCH"
"(PE9RZKU","(PE9RZKJ","AMDPAOVM","@*DZF8KQ","1000","WBAYERS ","WBAYERS ","2020-05-06 20:00:43","2020-05-06 20:00:43",""
"(PE9RZKC","(PE9RXRQ","AMDPAOVM","@*DZF8KQ","1000","WBAYERS ","WBAYERS ","2020-05-06 20:00:43","2020-05-06 20:00:43",""
"@XE9TJTZ","@XE9TJTK","FPE4MRNP","FPE4MSO6","300","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TJTX","@XE9TJTK","AMDPAOVM","@*DZF8KQ","100","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TJTY","@XE9TJTK","(KE4Q19S","(KE4Q1RL","600","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TJRG","@XE9TJR4","(KE4Q19S","(KE4Q1RL","600","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TJRI","@XE9TJR4","AMDPAOVM","@*DZF8KQ","100","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TJRH","@XE9TJR4","FPE4MRNP","FPE4MSO6","300","RPTINP01","RPTINP01","2020-05-07 15:41:39","2020-05-07 15:41:39",""
"@XE9TKIY","@XE9TKIN","AMDPAOVM","@*DZF8KQ","50000","RPTINP01","RPTINP01","2020-05-07 16:15:45","2020-05-07 16:15:45",""
"7MEC0RZ6","7MEC0RYV","E2E4RAUV","@ME4QUQW","1000","RPTINPAM","RPTINPAM","2020-06-19 10:59:04","2020-06-19 10:59:04","CG852"
"(8E9S82M","(8E9S82C","P=E6K597","K0E9B6IG","50000","RPTINP01","RPTINP01","2020-05-06 22:58:04","2020-05-06 22:58:04",""
"4ZEDZF75","4ZEDZF6U","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 13:47:33","2020-07-27 13:47:33",""
"4ZEDZF6N","4ZEDZF65","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 13:47:33","2020-07-27 13:47:33",""
"4JEDZFJO","4JEDZFJH","AMDPAOVM","@*DZF8KS","-9397.26","WBAYERS ","WBAYERS ","2020-07-27 14:29:45","2020-07-27 14:29:45",""
"4JEDZFJB","4JEDZFJ3","AMDPAOVM","@*DZF8KS","-9397.26","WBAYERS ","WBAYERS ","2020-07-27 14:29:45","2020-07-27 14:29:45",""
"4(EDZFWV","4(EDZFWO","AMDPAOVM","@*DZF8KS","-9397.26","DJRHINPT","DJRHINPT","2020-07-27 14:35:52","2020-07-27 14:35:52",""
"4(EDZFWI","4(EDZFWA","AMDPAOVM","@*DZF8KS","-9397.26","DJRHINPT","DJRHINPT","2020-07-27 14:35:52","2020-07-27 14:35:52",""
"4=EDZKYL","4=EDZKYA","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 15:23:53","2020-07-27 15:23:53",""
"4=EDZKY3","4=EDZKXL","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 15:23:53","2020-07-27 15:23:53",""
"RVEEI1OM","RVEEI1OB","AMDPAOVM","@*DZF8KS","3000","DJRHINPT","DJRHINPT","2020-08-06 15:51:31","2020-08-06 15:51:31",""
"6=EEIAHZ","6=EEIAHO","AMDPAOVM","@*DZF8KS","3000","DJRHINPT","DJRHINPT","2020-08-06 19:06:05","2020-08-06 19:06:05",""
"OIEFEU1W","OIEFEU1M","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-24 06:53:56","2020-08-24 06:53:56",""
"O-EFEULD","O-EFEUL3","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-24 07:04:45","2020-08-24 07:04:45",""
"O0EFEUH1","O0EFEUGR","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-24 07:45:25","2020-08-24 07:45:25",""
"O+EFEURB","O+EFEUR1","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-24 07:55:20","2020-08-24 07:55:20",""
"H(EFITTX","H(EFITTN","P=E6K597","MKEFI8KE","60000","DANUSR01","DANUSR01","2020-08-26 11:26:44","2020-08-26 11:26:44",""
"H(EFITVA","H(EFITV0","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 11:27:28","2020-08-26 11:27:28",""
"H(EFITX4","H(EFITWU","(KE4Q19S","(KE4Q1RL","110000","DANUSR01","DANUSR01","2020-08-26 11:37:48","2020-08-26 11:37:48",""
"H?EFIUKI","H?EFIUK7","AMDPAOVM","@*DZF8KU","150000","DANUSR01","DANUSR01","2020-08-26 11:56:53","2020-08-26 11:56:53",""
"1PEFIVWU","1PEFIVWJ","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:27:59","2020-08-26 12:27:59",""
"1VEFJ34W","1VEFJ34L","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 14:52:15","2020-08-26 14:52:15",""
"DZEFJG3P","DZEFJG36","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"DWEFJIX9","DWEFJIWV","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"DWEFJIXB","DWEFJIWV","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"DWEFJIXA","DWEFJIWV","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"DWEFJIWJ","DWEFJIVY","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"DWEFJIWI","DWEFJIVY","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"DWEFJIWH","DWEFJIVY","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 20:21:55","2020-08-26 20:21:55",""
"D#EFJQI1","D#EFJQHM","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"D#EFJQI0","D#EFJQHM","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"D#EFJQI2","D#EFJQHM","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"D#EFJQH9","D#EFJQGP","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"D#EFJQH8","D#EFJQGP","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"D#EFJQHA","D#EFJQGP","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 23:15:58","2020-08-26 23:15:58",""
"?FEFKN5K","?FEFKN57","E2E4RAUV","@ME4QUQW","226849.32","JAQUITAN","JAQUITAN","2020-08-27 11:02:07","2020-08-27 11:02:07","CG852"
"?TEFKOEC","?TEFKOE1","E2E4RAUV","@ME4QUQW","-226849.32","JAQUITAN","JAQUITAN","2020-08-27 11:39:43","2020-08-27 11:39:43","CG852"
"?MEFKUZD","?MEFKUZ9","E2E4RAUV","@ME4QUQW","57.53","JAQUITAN","JAQUITAN","2020-08-27 14:25:41","2020-08-27 14:25:41","CG852"
"?MEFKUZR","?MEFKUZJ","E2E4RAUV","@ME4QUQW","224580.82","JAQUITAN","JAQUITAN","2020-08-27 14:25:41","2020-08-27 14:25:41","CG852"
"?0EFKXNB","?0EFKXMV","E2E4RAUV","@ME4QUQW","0","JANICEA2","JANICEA2","2020-08-27 15:02:16","2020-08-27 15:02:16",""
"78EFKYIG","78EFKYI7","E2E4RAUV","@ME4QUQW","136.99","JAQUITAN","JAQUITAN","2020-08-27 16:19:03","2020-08-27 16:19:03","CG852"
"7-EFL1VO","7-EFL1V8","E2E4RAUV","@ME4QUQW","0","MANZANOS","MANZANOS","2020-08-27 17:12:16","2020-08-27 17:12:16",""
"X6EFL6TK","X6EFL6T4","E2E4RAUV","@ME4QUQW","0","MANZANOS","MANZANOS","2020-08-27 19:18:25","2020-08-27 19:18:25",""
"XMEFL7DM","XMEFL7D9","E2E4RAUV","@ME4QUQW","724545.21","SMANZANO","SMANZANO","2020-08-27 19:28:29","2020-08-27 19:28:29","CG852"
"X=EFL8J1","X=EFL8IH","E2E4RAUV","@ME4QUQW","372.6","SMANZANO","SMANZANO","2020-08-27 19:55:40","2020-08-27 19:55:40","CG852"
"XHEFLBUW","XHEFLBUS","E2E4RAUV","@ME4QUQW","0.17","CMARTILL","CMARTILL","2020-08-27 20:29:57","2020-08-27 20:29:57","CG852"
"XHEFLBY5","XHEFLBY1","E2E4RAUV","@ME4QUQW","0.33","CMARTILL","CMARTILL","2020-08-27 20:31:24","2020-08-27 20:31:24","CG852"
"XNEFLF4E","XNEFLF3Y","E2E4RAUV","@ME4QUQW","0","RPTSUP01","RPTSUP01","2020-08-27 22:17:59","2020-08-27 22:17:59",""
"RHEFHJ3O","RHEFHJ3E","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 19:17:33","2020-08-25 19:17:33",""
"JUEFF52Q","JUEFF52E","E2E4RAUV","@ME4QUQW","0","RPTSUP01","RPTSUP01","2020-08-24 11:57:02","2020-08-24 11:57:02",""
"6FEFHXJ7","6FEFHXIX","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:02:10","2020-08-26 00:02:10",""
"6ZEFHXT9","6ZEFHXSZ","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:15:19","2020-08-26 00:15:19",""
"69EFHY4F","69EFHY45","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:28:08","2020-08-26 00:28:08",""
