CFL_RID_CASHFLOW,CFL_AMT_CASHFLOW,CFL_AMT_MATCHED,CFL_AMT_PRINCIPAL,CFL_AMT_FEE,CFL_AMT_INTEREST,CFL_IND_BORR_AGENT,CFL_CDE_BRANCH,CFL_CDE_BUS_TRAN,CFL_CDE_CURRENCY,CFL_CID_CUSTOMER,CFL_RID_REM_INSTR,CFL_RID_CUS_SVC_GR,CFL_RID_TRANS,CFL_CDE_TRAN_TYPE,CFL_CDE_DIRECTION,CFL_TSP_REC_CREATE,CFL_TSP_REC_UPDATE,CFL_UID_REC_CREATE,CFL_UID_REC_UPDATE,CFL_CDE_PRIORITY,CFL_IND_FLOAT,CFL_IND_BENEFCIARY,CFL_AMT_OVER_SHORT,CFL_CDE_STATUS,CFL_CDE_EXPENSE,CFL_XID_BENF_ACCT,CFL_CDE_BENF_TYPE,CFL_XID_CHIPS_UID,CFL_NME_DDA_ACCT,CFL_CDE_DIVISION,CFL_CDE_PAY_METHOD,CFL_TXT_CASH_NUM,CFL_PID_DEAL,CFL_PID_FACILITY,CFL_RID_PART_AGR,CFL_XID_ACCOUNT,CFL_RID_CHILD_TRAN,CFL_RID_CASH_TEMPL,CFL_DTE_TARGET,CFL_RID_PARENT,CFL_TXT_PAY_REFNCE,CFL_TXT_COMMENT,CFL_CDE_SETTLE_CCY,CFL_RTE_FX_RATE,CFL_AMT_SETTLEMENT,CFL_AMT_VAT,CFL_AMT_LATE_FEE,CFL_AMT_ESCROW,CFL_XID_CUSTODY_AC,CFL_IND_SAVINGS_AC,CFL_TXT_CHK_NUM
?2EBX2RH,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,?ZE4CIA6,"NONE    ",7NE4CQON,?2EBX2ON,OTR,"TO   ",2020-06-17 10:05:14,2020-06-18 11:15:22,RPTINPAM,RPTINPAM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,?.EBVNFE,?REBVOYO,,,,,2020-05-27 00:00:00,?2EBX2RH," ",,EUR,1,1000000,0,0,0,,N,
SJEBYUL7,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,?ZE4CIA6,"NONE    ",7NE4CQON,SJEBYUHT,OTR,"TO   ",2020-06-18 10:06:05,2020-06-18 10:09:50,RPTINPAM,RPTSUPAM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,SUEBXL0I,SUEBXL2B,,,,,,SJEBYUL7," ",,EUR,1,1000000,0,0,0,,N,
SREBYYR9,5000000,0,5000000,0,0,Y,CG852,"LNDR ",EUR,?ZE4CIA6,"NONE    ",7NE4CQON,SREBYXVB,OTR,"TO   ",2020-06-18 11:25:02,2020-06-18 11:35:30,RPTINPAM,RPTSUPAM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,?.EBVNFE,?XEBVXIH,,,,,2020-05-27 00:00:00,SREBYYR9," ",,EUR,1,5000000,0,0,0,,N,
SHEBZ0HX,100000,0,100000,0,0,Y,CG852,"LNDR ",EUR,?ZE4CIA6,"NONE    ",7NE4CQON,SHEBZ0EO,OTR,"TO   ",2020-06-18 11:45:28,2020-06-18 15:13:40,RPTINPAM,RPTINPAM,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,?.EBVNFE,?REBVOYO,,,,,2020-05-29 00:00:00,SHEBZ0HX," ",,EUR,1,100000,0,0,0,,N,
SNEBZ3DG,2000000,0,2000000,0,0,Y,CG852,"LNDR ",EUR,?ZE4CIA6,"NONE    ",7NE4CQON,SDEBZ248,OTR,"TO   ",2020-06-18 12:24:43,2020-06-18 12:31:36,RPTSUPAM,RPTSUPAM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,SUEBXL0I,SUEBXL2B,,,,,2020-05-27 00:00:00,SNEBZ3DG," ",,EUR,1,2000000,0,0,0,,N,
7REC0QUU,50000,0,50000,0,0,Y,CG852,PRINP,EUR,?ZE4CIA6,"NONE    ",7NE4CQON,7REC0QTU,OTR,"FROM ",2020-06-19 10:27:21,2020-06-19 10:29:18,RPTINPAM,RPTSUPAM,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,SUEBXL0I,SUEBXL2B,,,,,2020-05-27 00:00:00,7REC0QUU," ",,EUR,1,50000,0,0,0,,N,
7MEC0RZU,1000,0,0,0,1000,Y,CG852,INTPY,EUR,?ZE4CIA6,"NONE    ",7NE4CQON,7MEC0RYV,ACP,"FROM ",2020-06-19 10:59:05,2020-08-27 08:03:11,RPTINPAM,LIQUSR02,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,SUEBXL0I,SUEBXL2B,,,,,2020-05-27 00:00:00,7MEC0RZU," ",,EUR,1,1000,0,0,0,,N,
44EF64R6,3000,0,3000,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,"NONE    ",V8EF470J,44EF64K3,LRP,"TO   ",2020-08-19 13:33:03,2020-08-19 14:07:15,LIQUSR05,LIQSVR05,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,V8EF4706,"NONE    ",,,"P       ",,2020-06-03 00:00:00,44EF64R6," ",,EUR,1,3000,0,0,0,,N,
.FEF9TCQ,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,.FEF9T9S,OTR,"TO   ",2020-08-21 15:52:33,2020-08-21 15:55:33,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,.FEF9QSQ,.FEF9QTS,,,,,,.FEF9TCQ," ",,EUR,1,1000000,0,0,0,,N,
.FEF9TQ8,1100,0,1100,0,0,N,CG852,"MCL  ",EUR,SIEESUTN,SIEESUUM,S#EESVPO,.FEF9TM2,MAT,"FROM ",2020-08-21 16:01:30,2020-08-21 16:07:26,LIQUSR03,FI717102,"     ",N,N,0,"DOIT ",,,,,,,"NONE ",,.FEF9QSQ,.FEF9QTS,,,,.FEF9TM4,2020-05-27 00:00:00,.FEF9TQ8," ",,EUR,1,1100,0,0,0,,N,
