"CRC_RID_CROSS_CURR","CRC_CDE_FUND_DESK","CRC_CDE_CURRENCY","CRC_AMT_EXCHG_RATE","CRC_UID_REC_CREATE","CRC_UID_REC_UPDATE","CRC_TSP_REC_CREATE","CRC_TSP_REC_UPDATE","CRC_CDE_BRANCH"
"$=EC8T9F","EUR  ","CAD","0.010014910198303","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:10:59","CG852"
"$=EC8T9P","EUR  ","MXN","0.01001546287313","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:10:59","CG852"
"$=EC8T9Z","EUR  ","DKK","0.0100161259628","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:10:59","CG852"
"$=EC8TA9","EUR  ","NZD","0.822253467854001","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:11:00","CG852"
"$=EC8TAJ","EUR  ","GBP","0.822131787725572","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:11:00","CG852"
"$=EC8TAT","EUR  ","CNH","0.010016458042209","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:11:00","CG852"
"$=EC8TB3","EUR  ","NOK","0.010016237322323","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:11:00","CG852"
"$=EC8TBD","EUR  ","HKD","0.010015573214792","LOANIQ01","LOANIQ01","2020-06-23 19:10:27","2020-11-19 10:11:00","CG852"
"$=EC8TBN","EUR  ","CHF","0.0100165684058","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:00","CG852"
"$=EC8TBX","EUR  ","ZAR","0.010015352533899","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:00","CG852"
"$=EC8TC7","EUR  ","THB","0.01001479987125","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:00","CG852"
"$=EC8TCH","EUR  ","JPY","0.010015794908571","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:00","CG852"
"$=EC8TCR","EUR  ","CZK","0.010014689546627","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:01","CG852"
"$=EC8TD1","EUR  ","AUD","0.100725931790414","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:01","CG852"
"$=EC8TDB","EUR  ","SGD","0.01001634768105","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:01","CG852"
"$=EC8TDL","EUR  ","CNY","0.0100152421971","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:01","CG852"
"$=EC8TDV","EUR  ","USD","0.090744101633394","LOANIQ01","LOANIQ01","2020-06-23 19:10:28","2020-11-19 10:11:01","CG852"
"$=EC8TE5","EUR  ","IDR","0.010015684562024","LOANIQ01","LOANIQ01","2020-06-23 19:10:29","2020-11-19 10:11:01","CG852"
"$=EC8TEF","EUR  ","SEK","0.010015020527788","LOANIQ01","LOANIQ01","2020-06-23 19:10:29","2020-11-19 10:11:01","CG852"
"+PEH9XL9","NY   ","CNH","0.8923","INPUTNCB","INPUTNCB","2020-09-29 13:25:09","2020-09-29 13:25:09",""
