CCY_CDE_CURRENCY,CCY_DSC_CURRENCY,CCY_IND_ACTIVE,CCY_IND_MAY_DEACT,CCY_UID_REC_CREATE,CCY_UID_REC_UPDATE,CCY_TSP_REC_CREATE,CCY_TSP_REC_UPDATE,CCY_IND_WELL_KNOWN,CCY_CDE_DFLT_RT_BS,CCY_AMT_OFF_CYCDUE,CCY_AMT_NEGACC_THD,CCY_NUM_PRECISION,CCY_AMT_AMORT_THD,CCY_AMT_COLLAT_THD,CCY_AMT_OVRSHT_THD,CCY_AMT_DISC_MAX,CCY_AMT_PRORAT_DIF,CCY_RTE_MAX_RATE,CCY_NUM_CR_ADVDAY,CCY_NUM_DB_ADVDAY,CCY_CDE_CALENDAR
IDR,"Indonesian Rupiah             ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:13:19,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
IEP,"Ireland Pound                 ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:53:57,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
INR,"India Rupee                   ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ITL,"Italy Lira                    ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:49:18,Y,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
JOD,"Jordan Dinar                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
JPY,"Japanese Yen                  ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:13:55,Y,"BANK ",1,1,0,0,0,1,0,1,0.25,0,0,
KWD,"Kuwait Dinar                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
LBP,"Lebanon Pound                 ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
LUF,"Luxembourg Franc              ",N,Y,LS2BATCH,LOANIQ01,1999-05-10 17:57:33,2014-04-11 17:54:37,N,"BANK ",1,1,2,25,0,1,0,0,0.25,0,0,
MTP,"Malta Pounds                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
MXP,"Mexican Peso                  ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:36:40,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
MYR,"Malaysia Ringgit              ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
NLG,"Netherlands Guilder           ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:55:22,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
NOK,"Norwegian Kroner              ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:15:24,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
NZD,"New Zealand Dollar            ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:16:06,N,"G365 ",1,1,2,0,0,1,0.1,1,0.25,0,0,
PES,"Peru Sol                      ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
PHP,"Philippines Peso              ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
PKR,"Pakistan Rupee                ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
PLN,"Poland Zloty                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
PTE,"Portugal Escudo               ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:56:12,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
SAR,"Saudi Arabia Riyal            ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
SEK,"Swedish Krona                 ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:16:36,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
SGD,"Singapore Dollar              ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:16:57,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
THB,"Thai Baht                     ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:17:14,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
TRL,"Turkey Lira                   ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
TWD,"Taiwan Dollar                 ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
USD,"US Dollar                     ",Y,N,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:17:42,Y,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
UYP,"Uruguay Peso                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
VEB,"Venezuela Bolivar             ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ZAR,"South African Rand            ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:18:08,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
BBD,"Barbados Dollar               ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:21:14,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
BMD,"Bermuda Dollar                ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:24:16,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
BND,"Brunei Darussalam Dollar      ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:25:27,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
BRL,"Brazilian Real                ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:26:38,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
DOP,"Dominican Republic Peso       ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:28:17,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
EGP,"Egyptian Pound                ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:29:20,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
HRK,"Croatian Kuna                 ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:30:18,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
CNH,Chinese Yuan Renminbi-Offshore,Y,Y,LS2BATCH,"GIBLINC ",2019-04-03 23:15:29,2019-04-04 17:05:28,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
CZK,"Czech Koruna                  ",Y,Y,LS2BATCH,"GIBLINC ",2019-04-03 23:15:29,2019-04-04 17:09:23,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
ISK,"Iceland Krona                 ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:31:12,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
JMD,"Jamaica Dollar                ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:32:15,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
KPW,"Korea (North) Won             ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:33:33,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
KRW,"Korea (South) Won             ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:34:25,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
KYD,"Cayman Islands Dollar         ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:35:19,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
MXN,"Mexican Peso                  ",Y,Y,LOANIQ01,"GIBLINC ",2014-04-11 17:36:08,2019-04-04 17:14:22,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
NPR,"Nepal Rupee                   ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:41:58,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
RON,"Romanian LEU                  ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:43:20,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
SDG,"Sudan Pound                   ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:44:13,2019-04-03 23:15:28,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
TTD,"Trinidad and Tobago Dollar    ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:45:05,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
VND,"Vietnam Dong                  ",N,Y,LOANIQ01,LS2BATCH,2014-04-11 17:45:54,2019-04-03 23:15:29,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
