"CUS_CID_CUST_ID","CUS_XID_CUST_ID","CUS_NME_SHORT_NAME","CUS_NME_FULL_NAME","CUS_CDE_COUNTRY","CUS_CDE_CUST_STAT","CUS_IND_INVESTOR","CUS_IND_BORROWER","CUS_IND_GUARANTOR","CUS_IND_BENEFIC","CUS_IND_INTRL_ENT","CUS_IND_RESTRICT","CUS_CDE_BANK","CUS_TSP_REC_CREATE","CUS_TSP_REC_UPDATE","CUS_UID_REC_CREATE","CUS_UID_REC_UPDATE","CUS_IND_SLG","CUS_IND_MAJ_UNDWRT","CUS_IND_CRA","CUS_CDE_TRS_RPT_AR","CUS_IND_SIMPLIFIED","CUS_CDE_CUST_DESC","CUS_CID_ULT_PARENT","CUS_CDE_DEPT","CUS_CID_IMM_PARENT","CUS_CDE_EXPENSE","CUS_CDE_PRIM_SIC","CUS_CDE_PROSPECT","CUS_CDE_LEGAL","CUS_CDE_SIC_CNTRY","CUS_CDE_BRANCH","CUS_CDE_ORIGIN","CUS_CDE_LANGUAGE","CUS_IND_VAT_SUBJCT","CUS_TXT_VAT_NUMBER","CUS_AMT_OS_LIMIT","CUS_CDE_OS_LIM_CCY","CUS_IND_OS_LIM_ERL","CUS_CDE_MASTER_ACT","CUS_IND_BROKER","CUS_CDE_DEP_SUBTYP","CUS_IND_THRD_PTYON","CUS_IND_THRD_PRF"
"67E51321","555523         ","PTYAUCASM12                   ","PTYAUCASM12","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 08:44:39","2020-02-04 08:44:39","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E51321","     ","67E51321","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E5135Y","7190249        ","PTYAPISHO7190249              ","PTYA7190249","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 11:05:16","2020-02-04 11:05:16","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E5135Y","     ","67E5135Y","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E5136R","7191152        ","PTYAPISHO7191152              ","PTYA7191152","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 11:14:19","2020-02-04 11:14:19","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E5136R","     ","67E5136R","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E5137C","7191608        ","PTYAPISHO7191608              ","PTYA7191608","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 11:19:08","2020-02-04 11:19:08","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E5137C","     ","67E5137C","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E5137P","65432          ","EUPTY88665                    ","TESMJJ","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 11:22:18","2020-02-04 11:22:18","LOANIQ02","LOANIQ02","N","N","N","NL   ","N","AGF  ","67E5137P","     ","67E5137P","","1200      ","","","AU","","","ENG  ","Y","               ","0","","N","","N","","N","N"
"67E5138A","7192327        ","PTYAPISHO7192327              ","PTYA7192327","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 11:26:25","2020-02-04 11:26:25","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E5138A","     ","67E5138A","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E5139R","7200946        ","PTYAPISHO7200946              ","PTYA7200946","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 12:12:54","2020-02-04 12:12:54","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E5139R","     ","67E5139R","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E513AQ","7201807        ","PTYAPISHO7201807              ","PTYA7201807","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 12:21:09","2020-02-04 12:21:09","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E513AQ","     ","67E513AQ","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E513BH","1000001        ","PTYAPISHO1000001              ","PTYA10000017","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 12:28:55","2020-02-04 12:28:55","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E513BH","     ","67E513BH","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E513OH","2225523        ","EUCASM13                      ","EUCASM13","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 13:19:21","2020-02-04 13:19:21","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E513OH","     ","67E513OH","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E513OU","1000002        ","PTYAPISHO1000002              ","PTYA1000002","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 13:19:30","2020-02-04 13:19:30","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E513OU","     ","67E513OU","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
