"CUE_CID_CUST_ID","CUE_CDE_EVENT_TYPE","CUE_DTE_EFFECTIVE","CUE_RID_CUST_EVENT","CUE_TSP_REC_CREATE","CUE_TSP_REC_UPDATE","CUE_UID_REC_CREATE","CUE_UID_REC_UPDATE","CUE_TXT_EVENT_CMT","CUE_CDE_BRANCH"
"67E5131O","STCHD","2020-02-04 00:00:00","67E5131S","2020-02-04 08:43:12","2020-02-04 08:43:12","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5131O","CFCOP","2020-02-04 00:00:00","67E5131T","2020-02-04 08:43:12","2020-02-04 08:43:12","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E51321","STCHD","2020-02-04 00:00:00","67E51325","2020-02-04 08:44:39","2020-02-04 08:44:39","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E51321","CFCOP","2020-02-04 00:00:00","67E51326","2020-02-04 08:44:39","2020-02-04 08:44:39","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5135Y","STCHD","2020-02-04 00:00:00","67E51362","2020-02-04 11:05:16","2020-02-04 11:05:16","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5135Y","CFCOP","2020-02-04 00:00:00","67E51363","2020-02-04 11:05:16","2020-02-04 11:05:16","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5136R","STCHD","2020-02-04 00:00:00","67E5136V","2020-02-04 11:14:19","2020-02-04 11:14:19","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5136R","CFCOP","2020-02-04 00:00:00","67E5136W","2020-02-04 11:14:19","2020-02-04 11:14:19","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5137C","STCHD","2020-02-04 00:00:00","67E5137G","2020-02-04 11:19:08","2020-02-04 11:19:08","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5137C","CFCOP","2020-02-04 00:00:00","67E5137H","2020-02-04 11:19:08","2020-02-04 11:19:08","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5137P","STCHD","2020-02-04 00:00:00","67E5137T","2020-02-04 11:22:18","2020-02-04 11:22:18","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5137P","CFCOP","2020-02-04 00:00:00","67E5137U","2020-02-04 11:22:18","2020-02-04 11:22:18","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5138A","STCHD","2020-02-04 00:00:00","67E5138E","2020-02-04 11:26:25","2020-02-04 11:26:25","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5138A","CFCOP","2020-02-04 00:00:00","67E5138F","2020-02-04 11:26:25","2020-02-04 11:26:25","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E5139R","STCHD","2020-02-04 00:00:00","67E5139V","2020-02-04 12:12:54","2020-02-04 12:12:54","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E5139R","CFCOP","2020-02-04 00:00:00","67E5139W","2020-02-04 12:12:54","2020-02-04 12:12:54","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E513AQ","STCHD","2020-02-04 00:00:00","67E513AU","2020-02-04 12:21:09","2020-02-04 12:21:09","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E513AQ","CFCOP","2020-02-04 00:00:00","67E513AV","2020-02-04 12:21:09","2020-02-04 12:21:09","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E513BH","STCHD","2020-02-04 00:00:00","67E513BL","2020-02-04 12:28:55","2020-02-04 12:28:55","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E513BH","CFCOP","2020-02-04 00:00:00","67E513BM","2020-02-04 12:28:55","2020-02-04 12:28:55","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E513OH","STCHD","2020-02-04 00:00:00","67E513OL","2020-02-04 13:19:21","2020-02-04 13:19:21","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E513OH","CFCOP","2020-02-04 00:00:00","67E513OM","2020-02-04 13:19:21","2020-02-04 13:19:21","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E513OU","STCHD","2020-02-04 00:00:00","67E513OY","2020-02-04 13:19:30","2020-02-04 13:19:30","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E513OU","CFCOP","2020-02-04 00:00:00","67E513OZ","2020-02-04 13:19:30","2020-02-04 13:19:30","LOANIQ02","LOANIQ02","Created From Common Party",""
"67E51441","STCHD","2020-02-04 00:00:00","67E51445","2020-02-04 13:28:42","2020-02-04 13:28:42","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E51441","CFCOP","2020-02-04 00:00:00","67E51446","2020-02-04 13:28:42","2020-02-04 13:28:42","LOANIQ02","LOANIQ02","Created From Common Party",""
