"CLX_RID_XID","CLX_XID_LOCATION","CLX_CID_CUSTOMER","CLX_CDE_LOCATION","CLX_UID_REC_UPDATE","CLX_UID_REC_CREATE","CLX_TSP_REC_UPDATE","CLX_TSP_REC_CREATE","CLX_CDE_BRANCH"
"H4EAFKPJ","H4EAFKPJ       ","H4EAFKP1","ABB  ","JOBINP  ","JOBINP  ","2020-05-19 13:18:03","2020-05-19 13:18:03",""
"#.EEWMQ4","#.EEWMQ4       ","#.EEWMPJ","SYD  ","ALNSUP01","ALNSUP01","2020-08-14 12:15:28","2020-08-14 12:15:28",""
"B.EF04YL","B.EF04YL       ","F5EEX1HG","SYD  ","WBAYERS ","WBAYERS ","2020-08-16 09:39:08","2020-08-16 09:39:08",""
"B.EF0BAX","B.EF0BAX       ","F5EEWBR0","SYD  ","WBAYERS ","WBAYERS ","2020-08-16 11:08:47","2020-08-16 11:08:47",""
"LUEF3ZWZ","LUEF3ZWZ       ","LUEF3WHP","SYD  ","ALNINP01","ALNINP01","2020-08-18 12:29:18","2020-08-18 12:29:18",""
"F2EF7PPY","F2EF7PPY       ","F5EEVH5T","SYD  ","JCUSR01 ","JCUSR01 ","2020-08-20 11:46:36","2020-08-20 11:46:36",""
"*7EF4LE7","*7EF4LE7       ","F5EEWSOR","SYD  ","WBAYERS ","WBAYERS ","2020-08-18 18:59:39","2020-08-18 18:59:39",""
"9VEF83HK","9VEF83HK       ","9REF81R3","SYD  ","INPRON01","INPRON01","2020-08-20 17:31:57","2020-08-20 17:31:57",""
"9:EF86GN","9:EF86GN       ","A1EF5M56","SYD  ","ALNINP01","ALNINP01","2020-08-20 17:33:18","2020-08-20 17:33:18",""
"ZHEF7YYF","ZHEF7YYF       ","ZHEF7YY1","AM   ","JAQUITAN","JAQUITAN","2020-08-20 14:59:39","2020-08-20 14:59:39",""
")?EF897Q",")?EF897Q       ",")?EF8978","AM   ","SMANZANO","SMANZANO","2020-08-20 18:57:43","2020-08-20 18:57:43",""
")VEF8DJE",")VEF8DJE       ",")VEF8DJ0","SYD  ","INPALN01","INPALN01","2020-08-20 19:31:55","2020-08-20 19:31:55",""
")XEF8B8B",")XEF8B8B       ",")XEF8B7Z","SYD  ","INPALN01","INPALN01","2020-08-20 18:58:04","2020-08-20 18:58:04",""
"$ZEFJ71S","$ZEFJ71S       ","=REFJ68W","SYD  ","INPAMT01","INPAMT01","2020-08-26 17:23:48","2020-08-26 17:23:48",""
"7NEFL01B","7NEFL01B       ","7NEFL00E","SYD  ","INPALN01","INPALN01","2020-08-27 16:52:11","2020-08-27 16:52:11",""
"$#EFJ9L1","$#EFJ9L1       ","$#EFJ9I3","SYD  ","INPALN01","INPALN01","2020-08-26 18:23:05","2020-08-26 18:23:05",""
".MEHDUA2",".MEHDUA2       ",".6EHDTXC","MEL  ","INPELY01","INPELY01","2020-10-01 17:10:25","2020-10-01 17:10:25",""
"I2EFMH4G","I2EFMH4G       ","I2EFMH43","SYD  ","INPALN01","INPALN01","2020-08-28 11:19:21","2020-08-28 11:19:21",""
";LEGX0N3",";LEGX0N3       ","HSE54URS","AM   ","DANUSR01","DANUSR01","2020-09-22 15:13:06","2020-09-22 15:13:06",""
".LEHDXXF",".LEHDXXF       ",".QEHDXKP","MEL  ","INPELY01","INPELY01","2020-10-01 18:29:45","2020-10-01 18:29:45",""
"89EHEANF","89EHEANF       ","8ZEHEAAP","MEL  ","INPELY01","INPELY01","2020-10-01 22:28:28","2020-10-01 22:28:28",""
"8JEHEGQ3","8JEHEGQ3       ","8YEHEGDD","MEL  ","INPELY01","INPELY01","2020-10-02 00:01:13","2020-10-02 00:01:13",""
"W:EHL8UZ","W:EHL8UZ       ","W-EHL8IC","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-05 16:23:42","2020-10-05 16:23:42",""
"YEEHYO0O","YEEHYO0O       ","Y)EHYNO1","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-12 22:43:45","2020-10-12 22:43:45",""
"7REHN2O8","7REHN2O8       ","7(EHN2BK","MEL  ","INPELY01","INPELY01","2020-10-06 15:45:52","2020-10-06 15:45:52",""
"7QEJ758O","7QEJ758O       ","HFEJ74QP","MEL  ","DANUSR01","DANUSR01","2020-11-05 23:24:40","2020-11-05 23:24:40",""
"FMEHSG7V","FMEHSG7V       ","UWEHCNQ1","NDL  ","ARFELI01","ARFELI01","2020-10-09 14:27:03","2020-10-09 14:27:03",""
"1UEJ2P6Q","1UEJ2P6Q       ","1KEJ2OU2","MEL  ","INPAMT01","INPAMT01","2020-11-03 13:45:10","2020-11-03 13:45:10",""
"1REJ2TLX","1REJ2TLX       ","1;EJ2T99","MEL  ","INPAMT01","INPAMT01","2020-11-03 15:21:13","2020-11-03 15:21:13",""
"7VEJ77MF","7VEJ77MF       ","HFEJ773H","MEL  ","DANUSR01","DANUSR01","2020-11-06 00:15:45","2020-11-06 00:15:45",""
"7VEJ7838","7VEJ7838       ","HFEJ773H","SYD  ","DANUSR01","DANUSR01","2020-11-06 00:20:54","2020-11-06 00:20:54",""
"(TEJLF1R","(TEJLF1R       ","(.EJLEOZ","MEL  ","INPAMT02","INPAMT02","2020-11-13 14:58:44","2020-11-13 14:58:44",""
"(OEJLF98","(OEJLF98       ","(8EJLEWH","MEL  ","INPAMT02","INPAMT02","2020-11-13 15:12:06","2020-11-13 15:12:06",""
"M8EJQRV6","M8EJQRV6       ","M.EJQR6A","MEL  ","INPAMT01","INPAMT01","2020-11-16 12:31:04","2020-11-16 12:31:04",""
"E.EK797C","E.EK797C       ","*-EK61H0","MEL  ","INPDEL01","INPDEL01","2020-11-25 11:29:25","2020-11-25 11:29:25",""
"6WEADK77","6WEADK77       ","6WEADK2S","ABB  ","JOBINP  ","JOBINP  ","2020-05-18 11:37:16","2020-05-18 11:37:16",""
"5QEF3VW9","5QEF3VW9       ","5QEF3VVU","AM   ","LIQUSR05","LIQUSR05","2020-08-18 08:44:32","2020-08-18 08:44:32",""
"ALEF5OUN","ALEF5OUN       ","ALEF5OUC","SYD  ","RONINP01","RONINP01","2020-08-19 09:32:41","2020-08-19 09:32:41",""
"1$EFJ0IU","1$EFJ0IU       ","1MEFJ04Y","SYD  ","INPALN01","INPALN01","2020-08-26 14:07:43","2020-08-26 14:07:43",""
")OEF88XA",")OEF88XA       ",")OEF88WW","SYD  ","MGRALN01","MGRALN01","2020-08-20 18:31:18","2020-08-20 18:31:18",""
"EJEF8G2C","EJEF8G2C       ","E8EF8FP7","SYD  ","INPRON01","INPRON01","2020-08-20 21:19:19","2020-08-20 21:19:19",""
"E:EF9AXQ","E:EF9AXQ       ","EBEF9ADV","SYD  ","INPRON01","INPRON01","2020-08-21 07:58:04","2020-08-21 07:58:04",""
"(2EFGVHO","(2EFGVHO       ","(IEFGRPX","SYD  ","INPRON01","INPRON01","2020-08-25 10:06:30","2020-08-25 10:06:30",""
"46EIQ8E1","46EIQ8E1       ","4;EIQ81F","MEL  ","INPALN01","INPALN01","2020-10-27 18:57:03","2020-10-27 18:57:03",""
"1DEFIYAA","1DEFIYAA       ","Y?EFF2ED","SYD  ","INPAMT01","INPAMT01","2020-08-26 14:15:05","2020-08-26 14:15:05",""
"(GEHFYLU","(GEHFYLU       ","(VEHFY93","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-02 20:12:01","2020-10-02 20:12:01",""
"1TEIEUSC","1TEIEUSC       ","1.EIEUFN","MEL  ","INPAMT01","INPAMT01","2020-10-21 15:30:05","2020-10-21 15:30:05",""
"49EIQ1QW","49EIQ1QW       ","4ZEIQ1E8","MEL  ","TESTINP ","TESTINP ","2020-10-27 17:40:45","2020-10-27 17:40:45",""
"4MEIQ58T","4MEIQ58T       ","4REIQ4W5","MEL  ","INPAMT01","INPAMT01","2020-10-27 19:01:37","2020-10-27 19:01:37",""
"F)EIRA09","F)EIRA09       ","F9EIR9NM","MEL  ","INPALN01","INPALN01","2020-10-28 08:25:56","2020-10-28 08:25:56",""
"O5EIT5MO","O5EIT5MO       ","OQEIT5A0","MEL  ","INPALN01","INPALN01","2020-10-29 08:53:19","2020-10-29 08:53:19",""
"JWEITFDW","JWEITFDW       ","JMEITF16","MEL  ","INPAMT01","INPAMT01","2020-10-29 12:04:55","2020-10-29 12:04:55",""
";FEIU5VB",";FEIU5VB       ","CXEIU5IL","MEL  ","INPAMT01","INPAMT01","2020-10-29 21:57:42","2020-10-29 21:57:42",""
"RJEIUHFT","RJEIUHFT       ","RYEIUH32","MEL  ","INPRON01","INPRON01","2020-10-30 02:02:18","2020-10-30 02:02:18",""
"M-EIVJUE","M-EIVJUE       ","M2EIVJHN","MEL  ","INPAMT01","INPAMT01","2020-10-30 15:45:27","2020-10-30 15:45:27",""
"W!EIVMY1","W!EIVMY1       ","WAEIVMLA","MEL  ","INPAMT01","INPAMT01","2020-10-30 17:07:26","2020-10-30 17:07:26",""
"1#EJ2Z0O","1#EJ2Z0O       ","1-EJ2YO0","MEL  ","INPAMT01","INPAMT01","2020-11-03 16:57:22","2020-11-03 16:57:22",""
"DMEJ4OX8","DMEJ4OX8       ","D6EJ4OKJ","MEL  ","INPAMT01","INPAMT01","2020-11-04 14:22:41","2020-11-04 14:22:41",""
"7IEJ7159","7IEJ7159       ","HFEJ70OB","MEL  ","DANUSR01","DANUSR01","2020-11-05 21:55:49","2020-11-05 21:55:49",""
"N.EJ823C","N.EJ823C       ","HFEJ6RWQ","MEL  ","INPRON01","INPRON01","2020-11-06 10:06:03","2020-11-06 10:06:03",""
"BPEJ9N5Z","BPEJ9N5Z       ","HFEJ8RUQ","SYD  ","DANUSR01","DANUSR01","2020-11-07 06:14:25","2020-11-07 06:14:25",""
"BPEJ9MP6","BPEJ9MP6       ","HFEJ8RUQ","MEL  ","DANUSR01","DANUSR01","2020-11-07 06:10:01","2020-11-07 06:10:01",""
"#FEJ8ZBF","#FEJ8ZBF       ","HFEJ8UE1","MEL  ","INPAMT02","INPAMT02","2020-11-06 22:58:59","2020-11-06 22:58:59",""
":(EJDZVR",":(EJDZVR       ","HFEJDN2Y","MEL  ","INPRON02","INPRON02","2020-11-09 16:15:01","2020-11-09 16:15:01",""
"GTEJFM2A","GTEJFM2A       ","HFEJ4FCF","L    ","FOULISTR","FOULISTR","2020-11-10 09:15:37","2020-11-10 09:15:37",""
"ZUEJHS0N","ZUEJHS0N       ","J6EI07VT","L    ","FOULISTR","FOULISTR","2020-11-11 14:02:21","2020-11-11 14:02:21",""
"2WEJV8K4","2WEJV8K4       ","2WEJV8B4","SYD  ","DANUSR01","DANUSR01","2020-11-18 23:43:29","2020-11-18 23:43:29",""
"BYEDA62Z","BYEDA62Z       ","HSE5440L","AM   ","FJUSRAM ","FJUSRAM ","2020-07-13 23:24:45","2020-07-13 23:24:45",""
"U!EG6TT5","U!EG6TT5       ","U!EG6TSS","SYD  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:41:01","2020-09-08 11:41:01",""
"BYEDA95O","BYEDA95O       ","BYEDA7MO","AM   ","FJUSRAM ","FJUSRAM ","2020-07-14 00:31:08","2020-07-14 00:31:08",""
"*DEHAA7C","*DEHAA7C       ","*=EHA9UO","MEL  ","MIGGY_IN","MIGGY_IN","2020-09-29 17:51:57","2020-09-29 17:51:57",""
"FREG77N4","FREG77N4       ","FCEG76R8","SYD  ","INPAMT01","INPAMT01","2020-09-08 15:29:22","2020-09-08 15:29:22",""
"!AEHAN31","!AEHAN31       ","A*EHAMQD","MEL  ","INPELY01","INPELY01","2020-09-29 23:42:28","2020-09-29 23:42:28",""
"PPEHBQ7X","PPEHBQ7X       ","P!EHBPV8","MEL  ","MIGGY_IN","MIGGY_IN","2020-09-30 12:28:05","2020-09-30 12:28:05",""
"4?EHBZ6H","4?EHBZ6H       ","4$EHBYTS","MEL  ","MIGGY_IN","MIGGY_IN","2020-09-30 15:53:48","2020-09-30 15:53:48",""
":JEHOOE8",":JEHOOE8       ",":OEHOO1J","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-07 12:45:00","2020-10-07 12:45:00",""
"BNEHOJL2","BNEHOJL2       ","UWEHCNU5","NDL  ","ARFELI01","ARFELI01","2020-10-07 11:25:16","2020-10-07 11:25:16",""
"03EI4LDW","03EI4LDW       ","0JEI4L1H","MEL  ","KIDUENAS","KIDUENAS","2020-10-16 03:26:42","2020-10-16 03:26:42",""
"+PEHQGM8","+PEHQGM8       ","UWEHCNUO","NDL  ","ARFELI01","ARFELI01","2020-10-08 11:58:51","2020-10-08 11:58:51",""
"ACEHQQK2","ACEHQQK2       ","$$EHNARP","AM   ","CESSINP1","CESSINP1","2020-10-08 15:19:34","2020-10-08 15:19:34",""
"$.EI1KXJ","$.EI1KXJ       ","$9EI1KOO","MEL  ","DANUSR01","DANUSR01","2020-10-14 11:57:20","2020-10-14 11:57:20",""
"ILEI26TQ","ILEI26TQ       ","I:EI26KV","MEL  ","DANUSR01","DANUSR01","2020-10-14 20:11:40","2020-10-14 20:11:40",""
"-OEI2ICW","-OEI2ICW       ","I?EI27OR","MEL  ","KIDUENAS","KIDUENAS","2020-10-14 23:49:28","2020-10-14 23:49:28",""
"-YEI2ITZ","-YEI2ITZ       ","-8EI2IHA","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-14 23:50:19","2020-10-14 23:50:19",""
"0MEI4NKT","0MEI4NKT       ","0REI4N8E","MEL  ","KIDUENAS","KIDUENAS","2020-10-16 04:32:57","2020-10-16 04:32:57",""
"*AEI52F5","*AEI52F5       ","RVEGMHIE","NDL  ","ARFELI01","ARFELI01","2020-10-16 08:59:22","2020-10-16 08:59:22",""
"3FEICQLR","3FEICQLR       ","J+EICOY5","MEL  ","DANUSR01","DANUSR01","2020-10-20 12:06:20","2020-10-20 12:06:20",""
"CUEIDBT8","CUEIDBT8       ","C4EIDBGK","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-20 19:42:30","2020-10-20 19:42:30",""
"+-EIPM3M","+-EIPM3M       ","+2EIPLQY","MEL  ","INPAMT01","INPAMT01","2020-10-27 11:24:04","2020-10-27 11:24:04",""
")1EIRR8Y",")1EIRR8Y       ",")HEIRQW9","MEL  ","INPRON01","INPRON01","2020-10-28 15:54:26","2020-10-28 15:54:26",""
"YPEITA6K","YPEITA6K       ","YAEIT9TU","MEL  ","INPAMT01","INPAMT01","2020-10-29 10:29:13","2020-10-29 10:29:13",""
"Y(EITCTI","Y(EITCTI       ","YJEITCGS","MEL  ","INPAMT01","INPAMT01","2020-10-29 11:16:41","2020-10-29 11:16:41",""
