"CRA_RID_CUST_RTG","CRA_CID_CUST_ID","CRA_CDE_EXTRTG_TYP","CRA_CDE_RTG_CURR","CRA_TSP_REC_CREATE","CRA_TSP_REC_UPDATE","CRA_UID_REC_CREATE","CRA_UID_REC_UPDATE","CRA_DTE_RATING_EFF","CRA_CDE_BRANCH"
"KGEF6IK4","KQEF6H17","STD-P","BBB+ ","2020-08-19 19:52:46","2020-08-19 19:52:46","INPRON01","INPRON01","2020-09-09 00:00:00",""
"KGEF6IK9","KQEF6H17","FITCH","DD   ","2020-08-19 19:53:01","2020-08-19 19:53:01","INPRON01","INPRON01","2020-09-09 00:00:00",""
"KGEF6IKE","KQEF6H17","MOODY","A1   ","2020-08-19 19:53:13","2020-08-19 19:53:13","INPRON01","INPRON01","2020-09-09 00:00:00",""
")3EF892O",")3EF892G","STD-P","BBB+ ","2020-08-20 18:21:05","2020-08-20 18:21:05","INPRON01","INPRON01","2020-09-09 00:00:00",""
"(IEFGRQ7","(IEFGRPX","STD-P","BBB+ ","2020-08-25 09:58:35","2020-08-25 09:58:35","INPRON01","INPRON01","2020-09-10 00:00:00",""
"(IEFGRQC","(IEFGRPX","MOODY","Aa2  ","2020-08-25 09:58:45","2020-08-25 09:58:45","INPRON01","INPRON01","2020-09-10 00:00:00",""
"(IEFGRQH","(IEFGRPX","FITCH","A+   ","2020-08-25 09:58:54","2020-08-25 09:58:54","INPRON01","INPRON01","2020-09-10 00:00:00",""
")3EF892T",")3EF892G","MOODY","Aa2  ","2020-08-20 18:21:14","2020-08-20 18:21:14","INPRON01","INPRON01","2020-09-09 00:00:00",""
")3EF892Y",")3EF892G","FITCH","A+   ","2020-08-20 18:21:23","2020-08-20 18:21:23","INPRON01","INPRON01","2020-09-09 00:00:00",""
"E8EF8FPG","E8EF8FP7","STD-P","BBB+ ","2020-08-20 20:55:36","2020-08-20 20:55:36","INPRON01","INPRON01","2020-09-09 00:00:00",""
"E8EF8FPL","E8EF8FP7","MOODY","Aa2  ","2020-08-20 20:55:44","2020-08-20 20:55:44","INPRON01","INPRON01","2020-09-09 00:00:00",""
"E8EF8FPQ","E8EF8FP7","FITCH","A+   ","2020-08-20 20:55:50","2020-08-20 20:55:50","INPRON01","INPRON01","2020-09-09 00:00:00",""
"EBEF9AE3","EBEF9ADV","STD-P","BBB+ ","2020-08-21 07:48:54","2020-08-21 07:48:54","INPRON01","INPRON01","2020-09-09 00:00:00",""
"EBEF9AE8","EBEF9ADV","MOODY","Aa2  ","2020-08-21 07:49:02","2020-08-21 07:49:02","INPRON01","INPRON01","2020-09-09 00:00:00",""
"EBEF9AED","EBEF9ADV","FITCH","A+   ","2020-08-21 07:49:09","2020-08-21 07:49:09","INPRON01","INPRON01","2020-09-09 00:00:00",""
"SIEESUTX","SIEESUTN","MOODY","Aaa  ","2020-08-12 10:51:45","2020-08-12 10:51:45","CMARTILL","CMARTILL","2020-05-27 00:00:00",""
"#ZEFTUUC","#ZEFTUU3","STD-P","BBB+ ","2020-09-01 10:37:50","2020-09-01 10:37:50","INPROS01","INPROS01","2018-11-28 00:00:00",""
"?ZE4CIAJ","?ZE4CIA6","STD-P","A+   ","2020-01-22 11:53:28","2020-01-22 11:53:28","RPTINP01","RPTINP01","2013-04-02 00:00:00",""
"KREF69EG","KREF69E8","STD-P","BBB+ ","2020-08-19 16:36:59","2020-08-19 16:36:59","INPRON01","INPRON01","2020-09-09 00:00:00",""
"KREF69EM","KREF69E8","MOODY","Aa2  ","2020-08-19 16:37:21","2020-08-19 16:37:21","INPRON01","INPRON01","2020-09-09 00:00:00",""
"KREF69ER","KREF69E8","FITCH","A+   ","2020-08-19 16:37:30","2020-08-19 16:37:30","INPRON01","INPRON01","2020-09-09 00:00:00",""
"Y0EGCUAQ","CAEFH7KI","STD-P","BBB+ ","2020-09-11 17:12:11","2020-09-11 17:12:11","INPROS01","INPROS01","2020-10-15 00:00:00",""
"Y0EGCUAV","CAEFH7KI","MOODY","A1   ","2020-09-11 17:12:25","2020-09-11 17:12:25","INPROS01","INPROS01","2020-10-15 00:00:00",""
"Y0EGCUB0","CAEFH7KI","FITCH","AA+  ","2020-09-11 17:12:33","2020-09-11 17:12:33","INPROS01","INPROS01","2020-10-15 00:00:00",""
