"DAD_CID_CUST_ID","DAD_RID_FAX_GROUP","DAD_RID_LOCATION","DAD_TSP_REC_CREATE","DAD_TSP_REC_UPDATE","DAD_UID_REC_CREATE","DAD_UID_REC_UPDATE","DAD_PID_DEAL","DAD_CDE_BRANCH"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-07-17 03:26:47","2020-07-17 03:26:47","FJUSRAM ","FJUSRAM ",":*EDG12Y","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-07-16 00:08:54","2020-07-16 00:08:54","FJUSRAM ","FJUSRAM ",":@EDDZTB","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-07-17 02:05:43","2020-07-17 02:05:43","FJUSRAM ","FJUSRAM ",":*EDFXA8","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-07-27 18:43:18","2020-07-27 18:43:18","INPCHER ","INPCHER ","40EDZTD7","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-06-16 17:02:01","2020-06-16 17:02:01","RPTINPAM","RPTINPAM","?.EBVNFE","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-06-17 17:36:54","2020-06-17 17:36:54","RPTINPAM","RPTINPAM","SUEBXL0I","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-18 12:20:28","2020-08-18 12:20:28","LIQUSR05","LIQUSR05","V8EF4706","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-18 15:50:17","2020-08-18 15:50:17","LIQUSR03","LIQUSR03","0REF4EYL","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-20 16:43:57","2020-08-20 16:43:57","JAQUITAN","JAQUITAN","9ZEF82FK","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-21 14:36:14","2020-08-21 14:36:14","LIQUSR03","LIQUSR03",".FEF9QSQ","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-24 14:33:29","2020-08-24 14:33:29","JAQUITAN","JAQUITAN","3ZEFFD20","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-25 12:08:11","2020-08-25 12:08:11","CMARTILL","CMARTILL","(7EFGXIA","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-25 12:24:11","2020-08-25 12:24:11","SMANZANO","SMANZANO","@EEFGXO8","CG852"
"Y@EFF0L8","Y@EFF16S","Y@EFF0LK","2020-08-25 14:03:48","2020-08-25 14:03:48","JAQUITAN","JAQUITAN","@-EFH363","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-25 14:45:37","2020-08-25 14:45:37","LIQUSR03","LIQUSR03","3MEFH2AH","CG852"
"Y@EFF0L8","Y@EFF16S","Y@EFF0LK","2020-08-25 16:14:08","2020-08-25 16:14:08","JAQUITAN","JAQUITAN","C6EFHAQ1","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-07-19 17:32:50","2020-07-19 17:32:50","FJUSRAM ","FJUSRAM ","Q+EDKVCZ","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-12 11:32:11","2020-08-12 11:32:11","CMARTILL","CMARTILL","S#EESVPY","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-24 09:23:44","2020-08-24 09:23:44","SMANZANO","SMANZANO","YZEFEWH5","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-24 12:25:05","2020-08-24 12:25:05","LIQUSR03","LIQUSR03","Y5EFF54H","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-24 14:59:21","2020-08-24 14:59:21","JAQUITAN","JAQUITAN","3.EFFDYP","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-25 10:08:12","2020-08-25 10:08:12","CMARTILL","CMARTILL","(7EFGUDN","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-08-28 10:39:04","2020-08-28 10:39:04","SMANZANO","SMANZANO","IREFMCO3","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-09-01 09:30:46","2020-09-01 09:30:46","CMARTILL","CMARTILL","#!EFTROA","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 08:34:44","2020-10-15 08:34:44","SMANZANO","SMANZANO","#+EI35Q6","CG852"
"U!EG6TSS","U.EG6VXH","U!EG6TT3","2020-10-15 11:54:05","2020-10-15 11:54:05","LIQUSR03","LIQUSR03",":6EI3GEF","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 12:49:27","2020-10-15 12:49:27","CESSINP1","CESSINP1",":YEI3F1E","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-16 09:21:16","2020-10-16 09:21:16","ARFELI01","ARFELI01","*4EI53P2","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 14:01:21","2020-10-09 14:01:21","ARFELI01","ARFELI01","FYEHSEG7","CG852"
"U!EG6TSS","U.EG6VXH","U!EG6TT3","2020-10-14 13:02:50","2020-10-14 13:02:50","LIQUSR03","LIQUSR03","$QEI1OJW","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-14 19:11:27","2020-10-14 19:11:27","CESSINP1","CESSINP1","XGEI24BO","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-14 19:56:00","2020-10-14 19:56:00","CESSINP1","CESSINP1","I1EI2752","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 11:34:02","2020-10-15 11:34:02","CESSINP1","CESSINP1",":YEI3DT4","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 12:15:24","2020-10-15 12:15:24","CESSINP1","CESSINP1",":YEI3DWN","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 13:16:07","2020-10-15 13:16:07","CESSINP1","CESSINP1",":YEI3G9Q","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-19 12:24:18","2020-10-19 12:24:18","ARFELI01","ARFELI01",")=EIATZI","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-11-09 21:46:36","2020-11-09 21:46:36","CESSINP1","CESSINP1","Q.EJEGLJ","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-07 11:22:02","2020-10-07 11:22:02","LIQSVR04","LIQSVR04","#XEHOQ6X","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-08 13:05:34","2020-10-08 13:05:34","ARFELI01","ARFELI01","+TEHQI7N","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-08 13:17:09","2020-10-08 13:17:09","ARFELI01","ARFELI01","+TEHQI9O","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-08 13:33:27","2020-10-08 13:33:27","ARFELI01","ARFELI01","+TEHQIIH","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 11:30:22","2020-10-09 11:30:22","ARFELI01","ARFELI01","4GEHSAYO","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 11:55:40","2020-10-09 11:55:40","ARFELI01","ARFELI01","4GEHSB15","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 12:14:21","2020-10-09 12:14:21","ARFELI01","ARFELI01","4GEHSB3M","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 12:39:52","2020-10-09 12:39:52","ARFELI01","ARFELI01","4GEHSB63","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 15:49:04","2020-10-09 15:49:04","ARFELI01","ARFELI01","F*EHSKAE","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 11:12:08","2020-10-12 11:12:08","CESSINP1","CESSINP1",")YEHXS7X","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 13:08:07","2020-10-12 13:08:07","CESSINP1","CESSINP1","ENEHXW2F","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 13:26:58","2020-10-12 13:26:58","CESSINP1","CESSINP1","EXEHXWXY","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 13:55:39","2020-10-12 13:55:39","CESSINP1","CESSINP1","EIEHXY7V","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 14:27:21","2020-10-12 14:27:21","CESSINP1","CESSINP1","E0EHXZOW","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 15:05:52","2020-10-12 15:05:52","CESSINP1","CESSINP1","TAEHY1D2","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-12 15:25:09","2020-10-12 15:25:09","LIQUSR03","LIQUSR03",".XEHY4LC","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-14 13:50:36","2020-10-14 13:50:36","JAQUITAN","JAQUITAN","D3EI1MRL","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-10-28 16:40:54","2020-10-28 16:40:54","TESTINP ","TESTINP ",")XEIRVR5","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-10-28 16:53:07","2020-10-28 16:53:07","TESTINP ","TESTINP ",")XEIRVS4","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-11-25 09:12:15","2020-11-25 09:12:15","SKOUSR01","SKOUSR01","E9EK76A5","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-11-25 09:25:15","2020-11-25 09:25:15","SKOUSR01","SKOUSR01","E9EK76C6","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-11-25 12:09:36","2020-11-25 12:09:36","SKOUSR01","SKOUSR01","E9EK7AWV","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-08 16:03:25","2020-10-08 16:03:25","ARFELI01","ARFELI01","AREHQR5W","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 11:04:41","2020-10-09 11:04:41","LIQUSR03","LIQUSR03","42EHS9YE","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-09 14:48:13","2020-10-09 14:48:13","ARFELI01","ARFELI01","F$EHSHQV","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-09 20:23:57","2020-10-09 20:23:57","CESSINP1","CESSINP1","9TEHSZ2Y","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-12 15:20:48","2020-10-12 15:20:48","DELINP01","DELINP01",".KEHY3KB","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 15:22:00","2020-10-12 15:22:00","CESSINP1","CESSINP1","TZEHY290","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-12 15:51:26","2020-10-12 15:51:26","CESSINP1","CESSINP1","T@EHY3MK","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-13 14:04:54","2020-10-13 14:04:54","LIQUSR05","LIQUSR05","@EEI01UV","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-16 20:13:52","2020-10-16 20:13:52","DELINP01","DELINP01","!OEI5XYB","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-19 08:42:12","2020-10-19 08:42:12","INPDEL01","INPDEL01",")UEIAL9R","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-19 09:03:56","2020-10-19 09:03:56","DELINP01","DELINP01",")9EIAMDP","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-19 10:33:50","2020-10-19 10:33:50","DELINP01","DELINP01",")(EIAR32","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-11-09 20:37:52","2020-11-09 20:37:52","CESSSUP1","CESSSUP1",":VEJEE29","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-11-09 20:55:00","2020-11-09 20:55:00","CESSINP1","CESSINP1",":+EJEFS6","CG852"
"HFEJ4FCF","GTEJFNS2","GTEJFM28","2020-11-11 14:10:35","2020-11-11 14:10:35","FOULISTR","FOULISTR","ZUEJHS93","CB141"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-09-29 14:20:02","2020-09-29 14:20:02","JAQUITAN","JAQUITAN","+OEH9ZC4","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-11-24 18:32:49","2020-11-24 18:32:49","SKOUSR01","SKOUSR01","9EEK5YAZ","CG852"
"E2E4RAUV","@ME4QUQW","@ME4QUQO","2020-10-08 15:26:10","2020-10-08 15:26:10","ARFELI01","ARFELI01","AREHQR3F","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-14 13:22:51","2020-10-14 13:22:51","CESSINP1","CESSINP1","$VEI1OYA","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-14 20:26:33","2020-10-14 20:26:33","CESSINP1","CESSINP1","I1EI277T","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 14:19:46","2020-10-15 14:19:46","CESSINP1","CESSINP1",":YEI3J7H","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-15 15:12:16","2020-10-15 15:12:16","CESSINP1","CESSINP1",":YEI3LNB","CG852"
"FPE4MRNP","FPE4MSO6","FPE4MRO0","2020-10-19 18:50:15","2020-10-19 18:50:15","CESSINP1","CESSINP1","O#EIBD80","CG852"
"AMDPAOVM","@*DZF8KQ","AMDPAOVZ","2020-11-25 12:28:25","2020-11-25 12:28:25","SKOUSR01","SKOUSR01","E9EK7BRR","CG852"
