"DBR_PID_DEAL","DBR_CID_CUST_ID","DBR_RID_LOCATION","DBR_TSP_REC_CREATE","DBR_TSP_REC_UPDATE","DBR_UID_REC_CREATE","DBR_UID_REC_UPDATE","DBR_RID_DEAL_BORR","DBR_IND_PRIM_BORR","DBR_IND_BORROWER","DBR_IND_DEPOSITOR","DBR_RID_CUS_SVC_GR","DBR_CDE_BRANCH"
"+XE5R9WK","J5E4FAXX","J5E4FAY7","2020-02-18 07:16:07","2020-02-18 07:16:07","RPTINP01","RPTINP01","+XE5R9X3","Y","Y","N","J5E4FAZ1",""
"+XE5R9WK","J5E4FAZF","J5E4FAZP","2020-02-18 07:16:07","2020-02-18 07:16:07","RPTINP01","RPTINP01","+XE5R9X5","N","Y","N","J5E4FB05",""
"+XE5R9WK","3FE4FBRS","3FE4FBS2","2020-02-18 07:16:07","2020-02-18 07:16:07","RPTINP01","RPTINP01","+XE5R9X7","N","Y","N","3FE4FBSR",""
"!?E67KNV","J5E4FAXX","J5E4FAY7","2020-02-27 02:59:26","2020-02-27 02:59:26","RPTINP01","RPTINP01","!?E67KOE","Y","Y","N","J5E4FAZ1",""
"!?E67KNV","J5E4FAZF","J5E4FAZP","2020-02-27 02:59:26","2020-02-27 02:59:26","RPTINP01","RPTINP01","!?E67KOG","N","Y","N","J5E4FB05",""
"!?E67KNV","3FE4FBRS","3FE4FBS2","2020-02-27 02:59:26","2020-02-27 02:59:26","RPTINP01","RPTINP01","!?E67KOI","N","Y","N","3FE4FBSR",""
"PPE67X24","?ZE4CIA6","?ZE4CIAG","2020-02-27 06:39:52","2020-02-27 06:39:52","RPTINP01","RPTINP01","PPE67X2P","Y","Y","N","7NE4CQON",""
"+IE8QQLT","?ZE4CIA6","?ZE4CIAG","2020-04-16 08:57:43","2020-04-16 08:57:43","FJUSR01 ","FJUSR01 ","+IE8QQMI","Y","Y","Y","7NE4CQON",""
"S#EESVPY","SIEESUTN","SIEESUU8","2020-08-12 11:31:04","2020-08-12 11:31:04","CMARTILL","CMARTILL","S#EESVQA","Y","Y","N","S#EESVPO","CG852"
"Q+EDKVCZ","I-EDB3F1","BCEDB680","2020-07-19 17:30:05","2020-07-19 17:30:49","FJUSRAM ","FJUSRAM ","Q+EDKVDB","Y","Y","Y","BVEDBGGQ","CG852"
"?.EBVNFE","?ZE4CIA6","?ZE4CIAG","2020-06-16 16:35:54","2020-06-16 16:35:54","RPTINPAM","RPTINPAM","?.EBVNFQ","Y","Y","N","7NE4CQON","CG852"
"SUEBXL0I","?ZE4CIA6","?ZE4CIAG","2020-06-17 19:05:10","2020-06-17 19:05:10","RPTINPAM","RPTINPAM","SUEBXOTW","Y","Y","N","7NE4CQON","CG852"
