"DFR_RID_FNCL_RATIO","DFR_PID_DEAL","DFR_CDE_FNCL_RATIO","DFR_RTO_VALUE","DFR_DTE_EFFECTIVE","DFR_TSP_REC_CREATE","DFR_TSP_REC_UPDATE","DFR_UID_REC_CREATE","DFR_UID_REC_UPDATE","DFR_TXT_RATIO","DFR_CDE_BRANCH"
"$VEI1P0O","$VEI1OYA","DSCR ","1","2021-03-03 00:00:00","2020-10-14 13:33:30","2020-10-14 13:33:30","CESSINP1","CESSINP1","","CG852"
"$VEI1P0T","$VEI1OYA","LVR  ","1","2021-03-03 00:00:00","2020-10-14 13:34:04","2020-10-14 13:34:04","CESSINP1","CESSINP1","","CG852"
")=EIAU1D",")=EIATZI","DSCR ","1","2021-03-08 00:00:00","2020-10-19 12:27:40","2020-10-19 12:27:40","ARFELI01","ARFELI01","","CG852"
")XEIRVT1",")XEIRVS4","DSCR ","1","2021-08-09 00:00:00","2020-10-28 16:55:33","2020-10-28 16:55:33","TESTINP ","TESTINP ","","CG852"
"T*EHY82S",")YEHXS7X","DSCR ","1","2020-07-13 00:00:00","2020-10-12 17:26:13","2020-10-12 17:26:20","CESSINP1","CESSINP1","","CG852"
"*4EI53QX","*4EI53P2","DSCR ","1","2021-03-08 00:00:00","2020-10-16 09:24:26","2020-10-16 09:24:26","ARFELI01","ARFELI01","","CG852"
"+TEHQIBP","+TEHQI9O","DSCR ","1","2020-07-10 00:00:00","2020-10-08 13:19:03","2020-10-08 13:19:03","ARFELI01","ARFELI01","","CG852"
"+TEHQIOZ","+TEHQIIH","DSCR ","1","2020-07-10 00:00:00","2020-10-08 13:35:27","2020-10-08 13:35:27","ARFELI01","ARFELI01","","CG852"
"40EDZTF7","40EDZTD7","DSCR ","1","2020-06-02 00:00:00","2020-07-27 18:48:55","2020-07-27 18:48:55","INPCHER ","INPCHER ","","CG852"
"40EDZTFC","40EDZTD7","LVR  ","1","2020-06-02 00:00:00","2020-07-27 18:49:23","2020-07-27 18:49:23","INPCHER ","INPCHER ","","CG852"
"F!EHSFX1","42EHS9YE","DSCR ","1","2020-07-13 00:00:00","2020-10-09 13:20:59","2020-10-09 13:20:59","LIQAPCP3","LIQAPCP3","","CG852"
"F!EHSFWY","42EHS9YE","ICR  ","1","2020-07-13 00:00:00","2020-10-09 13:20:59","2020-10-09 13:20:59","LIQAPCP3","LIQAPCP3","","CG852"
"4GEHSB0P","4GEHSAYO","DSCR ","1","2020-07-10 00:00:00","2020-10-09 11:32:52","2020-10-09 11:32:52","ARFELI01","ARFELI01","","CG852"
"4GEHSB36","4GEHSB15","DSCR ","1","2020-07-10 00:00:00","2020-10-09 11:58:20","2020-10-09 11:58:20","ARFELI01","ARFELI01","","CG852"
"4GEHSB5N","4GEHSB3M","DSCR ","1","2020-07-10 00:00:00","2020-10-09 12:17:05","2020-10-09 12:17:05","ARFELI01","ARFELI01","","CG852"
"4GEHSB84","4GEHSB63","DSCR ","1","2020-07-10 00:00:00","2020-10-09 12:42:14","2020-10-09 12:42:14","ARFELI01","ARFELI01","","CG852"
":+EJEFUM",":+EJEFS6","DSCR ","1","2021-10-15 00:00:00","2020-11-09 21:03:48","2020-11-09 21:03:48","CESSINP1","CESSINP1","","CG852"
":+EJEFUR",":+EJEFS6","LVR  ","1","2021-10-15 00:00:00","2020-11-09 21:04:20","2020-11-09 21:04:20","CESSINP1","CESSINP1","","CG852"
":@EDDZU8",":@EDDZTB","DSCR ","1","2020-05-27 00:00:00","2020-07-16 00:13:21","2020-07-16 00:13:21","FJUSRAM ","FJUSRAM ","","CG852"
