"DPR_RID_DEAL_PERS","DPR_PID_DEAL","DPR_UID_USERID","DPR_TSP_REC_CREATE","DPR_TSP_REC_UPDATE","DPR_UID_REC_CREATE","DPR_UID_REC_UPDATE","DPR_IND_ACCESS_MGR","DPR_CDE_BRANCH"
":@EDDZTH",":@EDDZTB","FJUSRAM ","2020-07-16 00:04:25","2020-07-16 00:09:35","FJUSRAM ","FJUSRAM ","N","CG852"
":*EDFXAF",":*EDFXA8","FJUSRAM ","2020-07-17 02:00:39","2020-07-17 02:06:33","FJUSRAM ","FJUSRAM ","N","CG852"
":*EDG134",":*EDG12Y","FJUSRAM ","2020-07-17 03:22:33","2020-07-17 03:27:34","FJUSRAM ","FJUSRAM ","N","CG852"
"40EDZTDD","40EDZTD7","INPCHER ","2020-07-27 18:38:53","2020-07-27 18:39:32","INPCHER ","INPCHER ","N","CG852"
"?.EBVNFK","?.EBVNFE","RPTINPAM","2020-06-16 16:21:22","2020-06-16 16:54:03","RPTINPAM","RPTINPAM","N","CG852"
"SUEBXL0O","SUEBXL0I","RPTINPAM","2020-06-17 17:36:54","2020-06-17 17:37:14","RPTINPAM","RPTINPAM","N","CG852"
"V8EF470C","V8EF4706","LIQUSR05","2020-08-18 12:11:45","2020-08-18 12:14:45","LIQUSR05","LIQUSR05","N","CG852"
"9ZEF82FQ","9ZEF82FK","JAQUITAN","2020-08-20 16:37:35","2020-08-20 16:45:12","JAQUITAN","JAQUITAN","N","CG852"
".FEF9QSW",".FEF9QSQ","LIQUSR03","2020-08-21 14:35:26","2020-08-21 15:50:27","LIQUSR03","LIQUSR03","N","CG852"
"3ZEFFD26","3ZEFFD20","JAQUITAN","2020-08-24 14:22:58","2020-08-24 14:23:04","JAQUITAN","JAQUITAN","N","CG852"
"(7EFGXIG","(7EFGXIA","CMARTILL","2020-08-25 12:06:57","2020-08-25 12:10:30","CMARTILL","CMARTILL","N","CG852"
"BYEDA57A","BYEDA56Z","FJUSRAM ","2020-07-13 23:05:44","2020-07-13 23:05:44","FJUSRAM ","FJUSRAM ","Y","CG852"
"Q+EDKVD5","Q+EDKVCZ","FJUSRAM ","2020-07-19 17:26:58","2020-07-19 17:33:36","FJUSRAM ","FJUSRAM ","N","CG852"
"S#EESVQ4","S#EESVPY","CMARTILL","2020-08-12 11:30:26","2020-08-12 11:35:36","CMARTILL","CMARTILL","N","CG852"
"YZEFEWHB","YZEFEWH5","SMANZANO","2020-08-24 08:48:53","2020-08-24 12:24:59","SMANZANO","SMANZANO","N","CG852"
"Y5EFF54N","Y5EFF54H","LIQUSR03","2020-08-24 12:23:36","2020-08-24 12:24:08","LIQUSR03","LIQUSR03","N","CG852"
"3.EFFDYV","3.EFFDYP","JAQUITAN","2020-08-24 14:58:17","2020-08-24 14:58:26","JAQUITAN","JAQUITAN","N","CG852"
"(7EFGUDT","(7EFGUDN","CMARTILL","2020-08-25 10:03:23","2020-08-25 10:09:00","CMARTILL","CMARTILL","N","CG852"
"@EEFGXOE","@EEFGXO8","SMANZANO","2020-08-25 11:57:45","2020-08-25 12:41:48","SMANZANO","SMANZANO","N","CG852"
"3MEFH2AN","3MEFH2AH","LIQUSR03","2020-08-25 13:50:12","2020-08-25 14:44:34","LIQUSR03","LIQUSR03","N","CG852"
"0REF4EYR","0REF4EYL","LIQUSR03","2020-08-18 15:46:55","2020-08-18 16:33:41","LIQUSR03","LIQUSR03","N","CG852"
"@-EFH369","@-EFH363","JAQUITAN","2020-08-25 14:02:21","2020-08-25 14:02:30","JAQUITAN","JAQUITAN","N","CG852"
