EFP_RID_FEE_PAYMNT,EFP_AMT_ACTUAL,EFP_AMT_REQUESTED,EFP_CDE_CURRENCY,EFP_CDE_OBJ_STATE,EFP_CDE_OB_ST_CAT,EFP_CDE_OWNER_TYPE,EFP_CDE_FEE_TYPE,EFP_DTE_EFFECTIVE,EFP_PID_DEAL,EFP_RID_OWNER,EFP_UID_REC_CREATE,EFP_UID_REC_UPDATE,EFP_TSP_REC_CREATE,EFP_TSP_REC_UPDATE,EFP_IND_DISTRIBUTE,EFP_IND_PMT_FR_BOR,EFP_RID_PAID_BY_SG,EFP_CID_PAID_BY,EFP_IND_HB_WVE_FEE,EFP_CDE_EXPENSE,EFP_RID_GROUP,EFP_CDE_GROUP_TYPE,EFP_CDE_PURPOSE,EFP_TXT_SYSGN_TEXT,EFP_CDE_FREQUENCY,EFP_CDE_INCOM_RECG,EFP_RID_NEXT_OCCUR,EFP_RID_ROOT_EVFEE,EFP_CDE_EOM_RULE,EFP_CDE_NONBUS_DAY,EFP_DTE_AC_NXT_OCR,EFP_DTE_ADJ_NXT_OC,EFP_DTE_AMORT_EXP,EFP_DTE_INCOM_RECG,EFP_DTE_FINAL_RECR,EFP_AMT_WAIVED,EFP_IND_BILL_BORR,EFP_IND_DONT_MAIL,EFP_IND_DONT_PRNT,EFP_NUM_BILL_DAYS,EFP_RID_ORIG_PYMT,EFP_AMT_MAX_REVER,EFP_DTE_PYMT_DUE,EFP_IND_RLS_PYMT,EFP_IND_INC_XMLBIL,EFP_TXT_SYS_SOURCE,EFP_IND_CARE_OF,EFP_IND_REIMBURSE,EFP_RID_LINKD_FEE,EFP_CDE_BRANCH
QGEFWGQ2,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-29 00:00:00,"#!EFTROA",QNEFW8IN,MANZANOS,MANZANOS,2020-09-02 20:48:43,2020-09-02 20:48:43,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000644).  ",,"TKIP ",,QGEFWGQ2,,MNEXT,,,,,,0,N,N,N,10,QGEFWGQ2,,2020-05-29 00:00:00,Y,N,,N,N,,CG852
PEEGO3ZO,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-06-25 00:00:00,(7EFGXIA,L*EGNMFN,RPTSUP01,RPTSUP01,2020-09-17 19:46:36,2020-09-17 19:46:36,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000880).  ",,"TKIP ",,PEEGO3ZO,,MNEXT,,,,,,0,N,N,N,10,PEEGO3ZO,,2020-06-25 00:00:00,Y,N,,N,N,,CG852
USEGPH8S,250,250,NOK,RELSD,ACTUA,"OST  ",BFFEE,2020-06-26 00:00:00,(7EFGXIA,UMEGPG4V,RPTMGR01,RPTSUP01,2020-09-18 13:10:37,2020-09-18 13:29:00,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ",Breakfunding caused by release of NIBOR Option Principal Payment (60000924).,,"TKIP ",,USEGPH8S,,MNEXT,,,,,,0,N,N,N,10,USEGPH8S,,2020-06-26 00:00:00,Y,N,,N,N,,CG852
.@EHDVUV,500,500,EUR,LWREL,POTEN,"OST  ",BFFEE,2020-07-09 00:00:00,0REF4EYL,..EHDTBL,LIQUSR03,LIQAPCP3,2020-10-01 16:48:38,2020-10-01 16:52:41,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ",Breakfunding caused by release of Euro LIBOR Option Principal Payment (60001069).,,"TKIP ",,.@EHDVUV,,MNEXT,,,,,,0,N,N,N,10,.@EHDVUV,,2020-07-09 00:00:00,Y,N,,N,N,,CG852
=1EFJ3Y2,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-27 00:00:00,3.EFFDYP,32EFFH8Y,JANICEA1,JANICEA1,2020-08-26 16:11:16,2020-08-26 16:11:16,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000473).  ",,"TKIP ",,=1EFJ3Y2,,MNEXT,,,,,,0,N,N,N,10,=1EFJ3Y2,,2020-05-27 00:00:00,Y,N,,N,N,,CG852
+IEFZRHG,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-06-01 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JAQUITAN,2020-09-04 14:53:43,2020-09-04 16:53:16,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,+IEFZRHG,,MNEXT,,,,,,0,N,N,N,10,,,2020-06-01 00:00:00,Y,N,,N,N,,CG852
9.EHDF9R,-1000,1000,EUR,LWREL,POTEN,"FAC  ",ARRAN,2020-07-09 00:00:00,9ZEF82FK,9ZEF82GL,JANICEA1,JANICEA2,2020-10-01 10:16:07,2020-10-01 10:17:33,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,"REFP "," ",,"TKIP ",,9.EHDF9R,,MNEXT,,,,,,0,N,N,N,10,9)EHDETD,1000,2020-07-09 00:00:00,Y,N,,N,N,,CG852
OEEGUSBK,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-06-30 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-09-21 10:18:25,2020-09-21 10:20:10,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,OEEGUSBK,,MNEXT,,,,,,0,N,N,N,10,,,2020-06-30 00:00:00,Y,N,,N,N,,CG852
JOEGUYBE,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-07-01 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-09-21 12:20:22,2020-09-21 12:21:44,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,JOEGUYBE,,MNEXT,,,,,,0,N,N,N,10,,,2020-07-01 00:00:00,Y,N,,N,N,,CG852
94EHDE0W,-1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-07-08 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-10-01 10:07:08,2020-10-01 10:09:06,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,"REFP "," ",,"TKIP ",,94EHDE0W,,MNEXT,,,,,,0,N,N,N,10,+)EH9YF8,1000,2020-07-08 00:00:00,Y,N,,N,N,,CG852
