"EXP_CDE_EXPENSE","EXP_IND_ACTIVE","EXP_TSP_REC_CREATE","EXP_TSP_REC_UPDATE","EXP_UID_REC_CREATE","EXP_UID_REC_UPDATE","EXP_IND_MAY_DEACT","EXP_CDE_PARENT","EXP_CDE_EXP_RECAP","EXP_IND_EXP_VALID","EXP_DSC_EXPENSE"
"016976         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","Tiger (Dept 016976)"
"016977         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","EasyJet 5 (Dept 016977)"
"017408         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","Qatar Airways (Dept 017408)"
"NB_FUF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Funds Financing"
"NB_SAF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"NB_COL         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"NB_PRE         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Private Equity"
"NR_PRF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"NR_COL         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"NR_SAF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"RE_RES         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Real Estate Solutions"
"TM_COL         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"TM_PRF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"TM_SAF         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"TM_PRE         ","Y","2019-04-03 23:16:56","2019-04-03 23:16:56","LS2BATCH","LS2BATCH","Y","","","","Private Equity"
"IT_SAF         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"IT_QVF         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Qan - VZF"
"IT_QVG         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Qan - VZG"
"IT_QVH         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Qan - VZH"
"IT_MRC         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","CBA MTE Rail Company"
"IT_FIS         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Fiona Stanley"
"IT_MGM         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Murray Goulburn Melb"
"IT_PRF         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"IT_COL         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"IT_DBU         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","SAF DBU Loans"
"IT_FRA         ","Y","2019-04-03 23:16:57","2019-04-03 23:16:57","LS2BATCH","LS2BATCH","Y","","","","Freight Rail"
"IT_AKD         ","Y","2019-04-03 23:16:58","2019-04-03 23:16:58","LS2BATCH","LS2BATCH","Y","","","","Associated Kiln Driers"
"IT_QHE         ","Y","2019-04-03 23:16:58","2019-04-03 23:16:58","LS2BATCH","LS2BATCH","Y","","","","Qantas Helix"
"CS_PVT         ","Y","2019-06-26 03:45:23","2019-06-26 03:45:23","ADM_PETE","ADM_PETE","Y","","","","Production Verification Test"
