"ERV_NUM_SORT_ORDER","ERV_IND_ACTIVE","ERV_IND_MAY_DEACT","ERV_CDE_EXTRTG_TYP","ERV_CDE_EXTRTG_VAL","ERV_TSP_REC_CREATE","ERV_UID_REC_CREATE","ERV_TSP_REC_UPDATE","ERV_UID_REC_UPDATE","ERV_NUM_FACTOR"
"99","Y","Y","FITCH","A-   ","2018-05-24 15:55:10","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"101","Y","Y","FITCH","BBB+ ","2018-05-24 15:55:10","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"103","Y","Y","FITCH","BBB  ","2018-05-24 15:55:10","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"105","Y","Y","FITCH","BBB- ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"262","N","Y","LT-D ","BB+  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"260","N","Y","LT-D ","BBB  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"261","N","Y","LT-D ","BBB- ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"259","N","Y","LT-D ","BBB+ ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"107","Y","Y","FITCH","BB+  ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"109","Y","Y","FITCH","BB   ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"111","Y","Y","FITCH","BB-  ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"113","Y","Y","FITCH","B+   ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"115","Y","Y","FITCH","B    ","2018-05-24 15:55:11","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"118","Y","Y","FITCH","B-   ","2018-05-24 15:55:12","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"120","Y","Y","FITCH","CCC+ ","2018-05-24 15:55:12","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"121","Y","Y","FITCH","CCC  ","2018-05-24 15:55:12","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
