"FAT_CDE_FAC_TYPE","FAT_DSC_FAC_TYPE","FAT_IND_REVOLVER","FAT_IND_TERM","FAT_IND_LC","FAT_IND_DEMAND","FAT_IND_MATUR_DATE","FAT_IND_EXPRY_DATE","FAT_IND_AGRMT_DATE","FAT_CDE_REMOTE_MD","FAT_CDE_REMOTE_INC","FAT_CDE_REMOTE_BAL","FAT_CDE_UNFUND_MD","FAT_CDE_UNFUND_BAL","FAT_CDE_FND_BF_MD","FAT_CDE_FND_BF_INC","FAT_CDE_FND_BF_BAL","FAT_CDE_FND_AF_MD","FAT_CDE_FND_AF_INC","FAT_CDE_FND_AF_BAL","FAT_IND_ACTIVE","FAT_IND_MAY_DEACT","FAT_UID_REC_CREATE","FAT_UID_REC_UPDATE","FAT_TSP_REC_CREATE","FAT_TSP_REC_UPDATE","FAT_IND_ADVISED","FAT_IND_LEGAL_BIND","FAT_IND_SECURITY","FAT_RTO_THRESHOLD","FAT_CDE_UNFUND_INC","FAT_IND_BKGRD_ONLY"
"CRF  ","Trade Credit Facility                             ","Y","Y","Y","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","FOULISTR","GIBLINCH","2020-11-04 13:51:18","2020-11-06 06:49:33","Y","Y","N","1","AINTI","N"
"ADV  ","Advised/Line of Credit                            ","Y","N","N","N","Y","Y","Y","STLIN","ACOMF","DISCP","STLIN","DISCP","STLIN","ACOMF","DISCP","STLIN","AINTI","DISCP","N","Y","LS2BATCH","LS2BATCH","1993-02-18 09:17:11","2019-04-03 23:18:55","Y","Y","N","0","ACOMF","N"
"BKGRD","Background Facility                               ","N","Y","N","N","N","N","N","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","N","LS2BATCH","LS2BATCH","2000-09-21 20:30:01","2000-09-21 20:30:01","N","N","N","","AINTI","Y"
"RST  ","Revolver                                          ","Y","N","N","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","LS2BATCH","1993-02-18 09:17:12","2019-04-03 23:18:55","Y","Y","N","0","AINTI","N"
"RTE  ","Revolver/Term                                     ","Y","Y","N","N","Y","Y","Y","STLIN","ACOMF","DISCP","STLIN","DISCP","STLIN","ACOMF","DISCP","STLIN","AINTI","DISCP","N","Y","LS2BATCH","LS2BATCH","1993-02-18 09:17:12","2019-04-03 23:18:55","Y","Y","N","0","ACOMF","N"
"STB  ","Standby / Acceptances / Guarantees                ","Y","N","Y","N","Y","Y","Y","STLIN","ACOMF","DISCP","STLIN","DISCP","STLIN","ACOMF","DISCP","STLIN","ACOMF","DISCP","N","Y","LS2BATCH","LS2BATCH","1993-02-18 09:17:12","2019-04-03 23:18:55","Y","Y","N","0","ACOMF","N"
"TAM  ","Term                                              ","N","Y","N","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","LS2BATCH","1993-02-18 09:17:12","2019-04-03 23:18:55","Y","Y","N","0","AINTI","N"
"RSTE ","Revolver EIR                                      ","Y","N","N","N","Y","Y","Y","INT  ","ACOMF","DISCP","INT  ","DISCP","INT  ","ACOMF","DISCP","INT  ","ACOMF","DISCP","N","Y","LOANIQ01","LS2BATCH","2014-02-21 10:19:20","2019-04-03 23:18:55","Y","Y","N","1","ACOMF","N"
"TAME ","Term EIR                                          ","N","Y","N","N","Y","Y","Y","INT  ","ACOMF","DISCP","INT  ","DISCP","INT  ","ACOMF","DISCP","INT  ","ACOMF","DISCP","N","Y","LOANIQ01","LS2BATCH","2014-02-21 10:21:23","2019-04-03 23:18:55","Y","Y","N","1","ACOMF","N"
"UADV ","Unadvised/Line of Credit                          ","Y","N","N","N","N","N","N","STLIN","ACOMF","DISCP","STLIN","DISCP","STLIN","ACOMF","DISCP","STLIN","AINTI","DISCP","N","Y","LOANIQ01","LS2BATCH","2014-04-11 16:46:32","2019-04-03 23:18:55","N","N","N","1","ACOMF","N"
"MOF  ","Multi Option (MOF)                                ","Y","Y","Y","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","KANDERSO","2019-04-03 23:18:55","2019-04-05 11:15:35","Y","Y","N","1","AINTI","N"
"UNC  ","Uncommitted Revolver                              ","Y","N","N","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","LS2BATCH","2019-04-03 23:18:55","2019-04-03 23:18:55","Y","N","N","1","AINTI","N"
"SFBGF","Syndicated Fronted Bank Guarantee                 ","Y","Y","Y","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","KANDERSO","2019-04-03 23:18:55","2019-04-05 11:16:27","Y","Y","N","1","AINTI","N"
"LIQ  ","Liquidity Facility                                ","Y","Y","N","N","Y","Y","Y","STLIN","AINTI","DISCP","STLIN","DISCP","STLIN","AINTI","DISCP","STLIN","AINTI","DISCP","Y","Y","LS2BATCH","LS2BATCH","2019-04-03 23:18:56","2019-04-03 23:18:56","Y","Y","N","1","AINTI","N"
