"CRK_CDE_COUNTRY","CRK_IND_ORIGINAL","CRK_PCT_PERCENTAGE","CRK_PID_FACILITY","CRK_RID_CNTRY_RISK","CRK_TSP_REC_CREATE","CRK_TSP_REC_UPDATE","CRK_UID_REC_CREATE","CRK_UID_REC_UPDATE","CRK_CDE_BRANCH"
"AU   ","Y","1","!=E67K05","!=E67K1K","2020-02-27 02:51:19","2020-02-27 02:51:19","RPTINP01","RPTINP01",""
"AU   ","Y","1","!=E67K05","!=E67K1L","2020-02-27 02:51:19","2020-02-27 02:51:19","RPTINP01","RPTINP01",""
"AU   ","Y","1","PAE67WEF","PAE67WFZ","2020-02-27 06:36:15","2020-02-27 06:36:15","RPTINP01","RPTINP01",""
"AU   ","Y","1","PAE67WEF","PAE67WG0","2020-02-27 06:36:15","2020-02-27 06:36:15","RPTINP01","RPTINP01",""
"AU   ","Y","1","6KEACV33","6KEACV4J","2020-05-18 02:24:58","2020-05-18 02:24:58","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACV33","6KEACV4I","2020-05-18 02:24:58","2020-05-18 02:24:58","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACV62","6KEACV7I","2020-05-18 02:33:37","2020-05-18 02:33:37","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACV62","6KEACV7H","2020-05-18 02:33:37","2020-05-18 02:33:37","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACVDB","6KEACVER","2020-05-18 02:41:06","2020-05-18 02:41:06","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACVDB","6KEACVEQ","2020-05-18 02:41:06","2020-05-18 02:41:06","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACVXC","6KEACVYR","2020-05-18 02:53:19","2020-05-18 02:53:19","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R2EAC9NV","R2EAC9PA","2020-05-17 18:52:09","2020-05-17 18:52:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R2EAC9NV","R2EAC9PB","2020-05-17 18:52:09","2020-05-17 18:52:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R#EACB6F","R#EACB7V","2020-05-17 19:24:57","2020-05-17 19:24:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R#EACB6F","R#EACB7U","2020-05-17 19:24:57","2020-05-17 19:24:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R0EACJVO","R0EACJX3","2020-05-17 21:48:16","2020-05-17 21:48:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R0EACJVO","R0EACJX4","2020-05-17 21:48:16","2020-05-17 21:48:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R*EACLRV","R*EACLTC","2020-05-17 23:13:57","2020-05-17 23:13:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","R*EACLRV","R*EACLTD","2020-05-17 23:13:57","2020-05-17 23:13:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACVXC","6KEACVYS","2020-05-18 02:53:19","2020-05-18 02:53:19","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACWFD","6KEACWGT","2020-05-18 03:04:07","2020-05-18 03:04:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACWFD","6KEACWGS","2020-05-18 03:04:07","2020-05-18 03:04:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACWZS","6KEACX2A","2020-05-18 03:17:23","2020-05-18 03:17:23","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6KEACWZS","6KEACX29","2020-05-18 03:17:23","2020-05-18 03:17:23","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6ZEADEZT","6ZEADF19","2020-05-18 08:54:15","2020-05-18 08:54:15","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6ZEADEZT","6ZEADF18","2020-05-18 08:54:15","2020-05-18 08:54:15","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6ZEADF2F","6ZEADF3U","2020-05-18 09:03:50","2020-05-18 09:03:50","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6ZEADF2F","6ZEADF3V","2020-05-18 09:03:50","2020-05-18 09:03:50","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADX69","6BEADX7V","2020-05-18 16:17:52","2020-05-18 16:17:52","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADX69","6BEADX7W","2020-05-18 16:17:52","2020-05-18 16:17:52","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WOEAE9X5","WOEAE9YK","2020-05-18 20:53:16","2020-05-18 20:53:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","66EADJ9L","66EADJB7","2020-05-18 10:13:26","2020-05-18 10:13:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","66EADJ9L","66EADJB8","2020-05-18 10:13:26","2020-05-18 10:13:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6DEADNAH","6DEADNBY","2020-05-18 12:44:18","2020-05-18 12:44:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6DEADNAH","6DEADNBX","2020-05-18 12:44:18","2020-05-18 12:44:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADT3I","6BEADT55","2020-05-18 14:49:42","2020-05-18 14:49:42","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADT3I","6BEADT56","2020-05-18 14:49:42","2020-05-18 14:49:42","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADUON","6BEADUQ9","2020-05-18 15:23:54","2020-05-18 15:23:54","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADUON","6BEADUQA","2020-05-18 15:23:54","2020-05-18 15:23:54","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADVN3","6BEADVOP","2020-05-18 15:44:35","2020-05-18 15:44:35","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","6BEADVN3","6BEADVOQ","2020-05-18 15:44:35","2020-05-18 15:44:35","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","MAEAE4ZK","MAEAE50Z","2020-05-18 18:44:12","2020-05-18 18:44:12","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","MAEAE4ZK","MAEAE510","2020-05-18 18:44:12","2020-05-18 18:44:12","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WOEAE9X5","WOEAE9YL","2020-05-18 20:53:16","2020-05-18 20:53:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WIEAFG49","WIEAFG5O","2020-05-19 11:02:02","2020-05-19 11:02:02","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WIEAFG49","WIEAFG5P","2020-05-19 11:02:02","2020-05-19 11:02:02","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W#EAFI9Z","W#EAFIBF","2020-05-19 11:48:26","2020-05-19 11:48:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W#EAFI9Z","W#EAFIBE","2020-05-19 11:48:26","2020-05-19 11:48:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W*EAFJ25","W*EAFJ3L","2020-05-19 12:10:03","2020-05-19 12:10:03","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W*EAFJ25","W*EAFJ3K","2020-05-19 12:10:03","2020-05-19 12:10:03","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H!EAFJUG","H!EAFJVW","2020-05-19 12:28:04","2020-05-19 12:28:04","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H!EAFJUG","H!EAFJVV","2020-05-19 12:28:04","2020-05-19 12:28:04","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H4EAFKN3","H4EAFKOJ","2020-05-19 12:59:06","2020-05-19 12:59:06","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H4EAFKN3","H4EAFKOI","2020-05-19 12:59:06","2020-05-19 12:59:06","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H2EANF03","H2EANF1S","2020-05-23 19:21:57","2020-05-23 19:21:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H2EANF03","H2EANF1T","2020-05-23 19:21:57","2020-05-23 19:21:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H5EANNKW","H5EANNME","2020-05-23 22:27:11","2020-05-23 22:27:11","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H5EANNKW","H5EANNMD","2020-05-23 22:27:11","2020-05-23 22:27:11","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1KEAORQD","1KEAORRT","2020-05-24 11:55:25","2020-05-24 11:55:25","JOBAPP  ","JOBAPP  ",""
"AU   ","Y","1","1KEAORQD","1KEAORRS","2020-05-24 11:55:25","2020-05-24 11:55:25","JOBAPP  ","JOBAPP  ",""
"AU   ","Y","1","?REBVOYO","?REBVOZB","2020-06-16 17:09:22","2020-06-16 17:09:22","RPTINPAM","RPTINPAM","CG852"
"AU   ","Y","1","?XEBVXIH","?XEBVXP6","2020-06-16 20:21:30","2020-06-16 20:21:30","RPTINPAM","RPTINPAM","CG852"
"AU   ","Y","1","?#EBX6MH","?#EBX6O1","2020-06-17 11:11:07","2020-06-17 11:11:07","RPTINPAM","RPTINPAM",""
"AU   ","Y","1","?#EBX6MH","?#EBX6O2","2020-06-17 11:11:07","2020-06-17 11:11:07","RPTINPAM","RPTINPAM",""
"AU   ","Y","1","SUEBXL18","SUEBXOUU","2020-06-17 19:06:27","2020-06-17 19:06:27","RPTINPAM","RPTINPAM","CG852"
"AU   ","Y","1","SUEBXL2B","SUEBXP5Y","2020-06-17 19:12:35","2020-06-17 19:12:35","RPTINPAM","RPTINPAM","CG852"
"AU   ","Y","1","SXEBZ3YS","SXEBZ40C","2020-06-18 12:48:54","2020-06-18 12:48:54","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ3YS","SXEBZ40D","2020-06-18 12:48:54","2020-06-18 12:48:54","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ40Z","SXEBZ42K","2020-06-18 12:50:41","2020-06-18 12:50:41","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ40Z","SXEBZ42J","2020-06-18 12:50:41","2020-06-18 12:50:41","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ430","SXEBZ44K","2020-06-18 12:51:41","2020-06-18 12:51:41","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ430","SXEBZ44L","2020-06-18 12:51:41","2020-06-18 12:51:41","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ456","SXEBZ470","2020-06-18 12:58:37","2020-06-18 12:58:37","RPTINP01","RPTINP01",""
"AU   ","Y","1","SXEBZ456","SXEBZ471","2020-06-18 12:58:37","2020-06-18 12:58:37","RPTINP01","RPTINP01",""
"AU   ","Y","1","7KEBZNFM","7KEBZNH6","2020-06-18 20:23:50","2020-06-18 20:23:50","RPTINP01","RPTINP01",""
"AU   ","Y","1","7KEBZNFM","7KEBZNH7","2020-06-18 20:23:50","2020-06-18 20:23:50","RPTINP01","RPTINP01",""
"AU   ","Y","1","7FEBZO69","7FEBZO7U","2020-06-18 20:29:18","2020-06-18 20:29:18","RPTINP01","RPTINP01",""
"AU   ","Y","1","7FEBZO69","7FEBZO7T","2020-06-18 20:29:18","2020-06-18 20:29:18","RPTINP01","RPTINP01",""
"AU   ","Y","1","71EC0WDE","71EC0WEZ","2020-06-19 12:34:24","2020-06-19 12:34:24","RPTINP01","RPTINP01",""
"AU   ","Y","1","71EC0WDE","71EC0WEY","2020-06-19 12:34:24","2020-06-19 12:34:24","RPTINP01","RPTINP01",""
"AU   ","Y","1","7$EC0XOX","7$EC0XQH","2020-06-19 13:02:56","2020-06-19 13:02:56","RPTINP01","RPTINP01",""
"AU   ","Y","1","7$EC0XOX","7$EC0XQI","2020-06-19 13:02:56","2020-06-19 13:02:56","RPTINP01","RPTINP01",""
"NL   ","Y","1",":*EDFUUO",":*EDFUV9","2020-07-17 00:36:41","2020-07-17 00:36:41","FJUSRAM ","FJUSRAM ","CG852"
"NL   ","Y","1","Q4EDGQL9","Q4EDGQLO","2020-07-17 11:53:37","2020-07-17 11:53:37","FJUSRAM ","FJUSRAM ","CG852"
"NL   ","Y","1","QFEDH1MI","QFEDH1N2","2020-07-17 16:12:16","2020-07-17 16:12:16","FJUSRAM ","FJUSRAM ","CG852"
"NL   ","Y","1","QFEDH1QH","QFEDH1RI","2020-07-17 16:35:30","2020-07-17 16:35:30","FJUSRAM ","FJUSRAM ","CG852"
"AU   ","Y","1","G)EDOOFW","G)EDOOHG","2020-07-21 18:33:49","2020-07-21 18:33:49","RPTSUP01","RPTSUP01",""
"AU   ","Y","1","G)EDOOFW","G)EDOOHH","2020-07-21 18:33:49","2020-07-21 18:33:49","RPTSUP01","RPTSUP01",""
"AU   ","Y","1","G.EDOOUC","G.EDOOVW","2020-07-21 19:09:01","2020-07-21 19:09:01","DANUSR01","DANUSR01",""
"AU   ","Y","1","G.EDOOUC","G.EDOOVX","2020-07-21 19:09:01","2020-07-21 19:09:01","DANUSR01","DANUSR01",""
"AU   ","Y","1","G3EDOU35","G3EDOU4Q","2020-07-21 20:52:40","2020-07-21 20:52:40","DANUSR01","DANUSR01",""
"AU   ","Y","1","G3EDOU35","G3EDOU4P","2020-07-21 20:52:40","2020-07-21 20:52:40","DANUSR01","DANUSR01",""
"AU   ","Y","1","+OEDQ3B3","+OEDQ3CN","2020-07-22 12:48:05","2020-07-22 12:48:05","DANUSR01","DANUSR01",""
"AU   ","Y","1","*=EDQADO","*=EDQAF9","2020-07-22 16:20:23","2020-07-22 16:20:23","DANUSR01","DANUSR01",""
"AU   ","Y","1","*=EDQADO","*=EDQAF8","2020-07-22 16:20:23","2020-07-22 16:20:23","DANUSR01","DANUSR01",""
"AU   ","Y","1","*?EDQB15","*?EDQB2P","2020-07-22 16:31:59","2020-07-22 16:31:59","DANUSR01","DANUSR01",""
"AU   ","Y","1","*?EDQB15","*?EDQB2Q","2020-07-22 16:31:59","2020-07-22 16:31:59","DANUSR01","DANUSR01",""
"AU   ","Y","1","62EADRAJ","62EADRC6","2020-05-18 14:10:41","2020-05-18 14:10:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","62EADRAJ","62EADRC5","2020-05-18 14:10:41","2020-05-18 14:10:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WJEAED40","WJEAED5G","2020-05-18 22:02:00","2020-05-18 22:02:00","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","WJEAED40","WJEAED5F","2020-05-18 22:02:00","2020-05-18 22:02:00","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W@EAEFMN","W@EAEFO4","2020-05-18 22:56:44","2020-05-18 22:56:44","JOBINP  ","JOBINP  ",""
