"FEG_PID_FACILITY","FEG_CDE_EVERGREEN","FEG_DTE_EXT_CAP","FEG_CDE_EXT_FRQ","FEG_DTE_MAT_EXT","FEG_NUM_MAT_EXT","FEG_DTE_EXT_NOT","FEG_NUM_EXT_NOT","FEG_TSP_REC_CREATE","FEG_TSP_REC_UPDATE","FEG_UID_REC_CREATE","FEG_UID_REC_UPDATE","FEG_CDE_BRANCH"
":*EDFUUO","","","","","0","","0","2020-07-17 00:25:06","2020-07-17 00:25:06","FJUSRAM ","FJUSRAM ","CG852"
"Q4EDGQL9","","","","","0","","0","2020-07-17 11:30:34","2020-07-17 11:30:34","FJUSRAM ","FJUSRAM ","CG852"
"QFEDH1MI","","","","","0","","0","2020-07-17 16:04:33","2020-07-17 16:04:33","FJUSRAM ","FJUSRAM ","CG852"
"0REF4FMA","","","","","0","","0","2020-08-18 16:08:34","2020-08-18 16:08:34","LIQUSR03","LIQUSR03","CG852"
".FEF9QTS","","","","","0","","0","2020-08-21 14:40:39","2020-08-21 14:40:39","LIQUSR03","LIQUSR03","CG852"
"YZEFEXAM","","","","","0","","0","2020-08-24 10:07:07","2020-08-24 10:07:07","SMANZANO","SMANZANO","CG852"
"Y5EFF559","","","","","0","","0","2020-08-24 12:28:22","2020-08-24 12:28:22","LIQUSR03","LIQUSR03","CG852"
"?REBVOYO","","","","","0","","0","2020-06-16 17:05:50","2020-06-16 17:05:50","RPTINPAM","RPTINPAM","CG852"
"?XEBVXIH","","","","","0","","0","2020-06-16 20:17:40","2020-06-16 20:17:40","RPTINPAM","RPTINPAM","CG852"
"SUEBXL18","","","","","0","","0","2020-06-17 17:36:55","2020-06-17 17:36:55","RPTINPAM","RPTINPAM","CG852"
"SUEBXL2B","","","","","0","","0","2020-06-17 17:36:56","2020-06-17 17:36:56","RPTINPAM","RPTINPAM","CG852"
"V8EF471U","","","","","0","","0","2020-08-18 12:31:12","2020-08-18 12:31:12","LIQUSR05","LIQUSR05","CG852"
"9ZEF82GL","","","","","0","","0","2020-08-20 17:04:23","2020-08-20 17:04:23","JAQUITAN","JAQUITAN","CG852"
"(7EFGXST","","","","","0","","0","2020-08-25 12:13:15","2020-08-25 12:13:15","CMARTILL","CMARTILL","CG852"
"@EEFH10F","","","","","0","","0","2020-08-25 13:23:31","2020-08-25 13:23:31","SMANZANO","SMANZANO","CG852"
"@-EFH76E","","","","","0","","0","2020-08-25 15:35:46","2020-08-25 15:35:46","JAQUITAN","JAQUITAN","CG852"
"@+EFH6WT","","","","","0","","0","2020-08-25 14:50:44","2020-08-25 14:50:44","LIQUSR03","LIQUSR03","CG852"
"Q+EDKW7K","","","","","0","","0","2020-07-19 18:25:37","2020-07-19 18:25:37","FJUSRAM ","FJUSRAM ","CG852"
"Q+EDKVFH","","","","","0","","0","2020-07-19 17:59:00","2020-07-19 17:59:00","FJUSRAM ","FJUSRAM ","CG852"
"Q+EDKVL5","","","","","0","","0","2020-07-19 18:12:08","2020-07-19 18:12:08","FJUSRAM ","FJUSRAM ","CG852"
"3ZEFFD2W","","","","","0","","0","2020-08-24 14:36:54","2020-08-24 14:36:54","JAQUITAN","JAQUITAN","CG852"
"3.EFFDZL","","","","","0","","0","2020-08-24 15:01:25","2020-08-24 15:01:25","JAQUITAN","JAQUITAN","CG852"
"(7EFGUEQ","","","","","0","","0","2020-08-25 10:22:35","2020-08-25 10:22:35","CMARTILL","CMARTILL","CG852"
"C6EFHAR6","","","","","0","","0","2020-08-25 16:19:40","2020-08-25 16:19:40","JAQUITAN","JAQUITAN","CG852"
"#!EFTRT9","","","","","0","","0","2020-09-01 09:54:01","2020-09-01 09:54:01","CMARTILL","CMARTILL","CG852"
"QFEDH1QH","","","","","0","","0","2020-07-17 16:28:38","2020-07-17 16:28:38","FJUSRAM ","FJUSRAM ","CG852"
"S#EESVR1","","","","","0","","0","2020-08-12 11:37:18","2020-08-12 11:37:18","CMARTILL","CMARTILL","CG852"
"I:EFMEGK","","","","","0","","0","2020-08-28 11:00:37","2020-08-28 11:00:37","SMANZANO","SMANZANO","CG852"
"GREGNHU7","","","","","0","","0","2020-09-17 11:18:51","2020-09-17 11:18:51","JAQUITAN","JAQUITAN","CG852"
"G$EGNIUB","","","","","0","","0","2020-09-17 11:45:56","2020-09-17 11:45:56","JAQUITAN","JAQUITAN","CG852"
"0JEGNPY5","","","","","0","","0","2020-09-17 13:07:05","2020-09-17 13:07:05","SMANZANO","SMANZANO","CG852"
"+OEH9ZD0","","","","","0","","0","2020-09-29 14:20:06","2020-09-29 14:20:06","JAQUITAN","JAQUITAN","CG852"
"X-EI206K","","","","","0","","0","2020-10-14 18:23:18","2020-10-14 18:23:18","SMANZANO","SMANZANO","CG852"
"I-EI259A","","","","","0","","0","2020-10-14 19:57:58","2020-10-14 19:57:58","SMANZANO","SMANZANO","CG852"
":6EI3G1H","","","","","0","","0","2020-10-15 11:15:43","2020-10-15 11:15:43","LIQUSR03","LIQUSR03","CG852"
"BPEI37NY","","","","","0","","0","2020-10-15 09:20:19","2020-10-15 09:20:19","JAQUITAN","JAQUITAN","CG852"
"B4EI393N","","","","","0","","0","2020-10-15 10:07:10","2020-10-15 10:07:10","LIQUSR03","LIQUSR03","CG852"
":YEI3DVV","","","","","0","","0","2020-10-15 11:50:08","2020-10-15 11:50:08","CESSINP1","CESSINP1","CG852"
":6EI3GFB","","","","","0","","0","2020-10-15 12:04:42","2020-10-15 12:04:42","LIQUSR03","LIQUSR03","CG852"
":6EI3GI8","","","","","0","","0","2020-10-15 12:09:23","2020-10-15 12:09:23","LIQUSR03","LIQUSR03","CG852"
":IEHOPBI","","","","","0","","0","2020-10-07 14:03:06","2020-10-07 14:03:06","LIQUSR03","LIQUSR03","CG852"
"NPEI1VIS","","","","","0","","0","2020-10-14 16:46:19","2020-10-14 16:46:19","JAQUITAN","JAQUITAN","CG852"
"IKEI224J","","","","","0","","0","2020-10-14 19:08:09","2020-10-14 19:08:09","SMANZANO","SMANZANO","CG852"
":YEI3FS1","","","","","0","","0","2020-10-15 13:00:59","2020-10-15 13:00:59","CESSINP1","CESSINP1","CG852"
":YEI3H0U","","","","","0","","0","2020-10-15 13:27:52","2020-10-15 13:27:52","CESSINP1","CESSINP1","CG852"
":YEI3JZ1","","","","","0","","0","2020-10-15 14:31:33","2020-10-15 14:31:33","CESSINP1","CESSINP1","CG852"
")EEIAO93","","","","","0","","0","2020-10-19 09:29:50","2020-10-19 09:29:50","DELINP01","DELINP01","CG852"
")(EIAR57","","","","","0","","0","2020-10-19 10:39:39","2020-10-19 10:39:39","DELINP01","DELINP01","CG852"
":+EJEFUX","","","","","0","","0","2020-11-09 21:06:05","2020-11-09 21:06:05","CESSINP1","CESSINP1","CG852"
"Q.EJEGOA","","","","","0","","0","2020-11-09 21:58:05","2020-11-09 21:58:05","CESSINP1","CESSINP1","CG852"
"5LEJELY3","","","","","0","","0","2020-11-10 00:09:47","2020-11-10 00:09:47","CESSINP1","CESSINP1","CG852"
"#XEHOQ7N","","","","","0","","0","2020-10-07 11:22:12","2020-10-07 11:22:12","LIQSVR04","LIQSVR04","CG852"
"+TEHQISO","","","","","0","","0","2020-10-08 13:37:32","2020-10-08 13:37:32","ARFELI01","ARFELI01","CG852"
"AREHQR5R","","","","","0","","0","2020-10-08 15:40:29","2020-10-08 15:40:29","ARFELI01","ARFELI01","CG852"
"AREHQR88","","","","","0","","0","2020-10-08 16:10:25","2020-10-08 16:10:25","ARFELI01","ARFELI01","CG852"
"4GEHSB10","","","","","0","","0","2020-10-09 11:35:50","2020-10-09 11:35:50","ARFELI01","ARFELI01","CG852"
"4GEHSB5Y","","","","","0","","0","2020-10-09 12:20:41","2020-10-09 12:20:41","ARFELI01","ARFELI01","CG852"
"FYEHSERL","","","","","0","","0","2020-10-09 14:05:47","2020-10-09 14:05:47","ARFELI01","ARFELI01","CG852"
"F*EHSKCQ","","","","","0","","0","2020-10-09 15:54:01","2020-10-09 15:54:01","ARFELI01","ARFELI01","CG852"
".XEHY4PA","","","","","0","","0","2020-10-12 15:27:35","2020-10-12 15:27:35","LIQUSR03","LIQUSR03","CG852"
"T@EHY5FQ","","","","","0","","0","2020-10-12 16:29:16","2020-10-12 16:29:16","CESSINP1","CESSINP1","CG852"
"=+EI1JPZ","","","","","0","","0","2020-10-14 11:16:28","2020-10-14 11:16:28","SMANZANO","SMANZANO","CG852"
"$QEI1OLY","","","","","0","","0","2020-10-14 13:04:28","2020-10-14 13:04:28","LIQUSR03","LIQUSR03","CG852"
"34EITIZT","","","","","0","","0","2020-10-29 13:46:51","2020-10-29 13:46:51","TESTINP ","TESTINP ","CG852"
"CKEHZVC2","","","","","0","","0","2020-10-13 14:30:49","2020-10-13 14:30:49","JAQUITAN","JAQUITAN","CG852"
"C6EHZZZO","","","","","0","","0","2020-10-13 15:49:23","2020-10-13 15:49:23","JAQUITAN","JAQUITAN","CG852"
"@5EI038S","","","","","0","","0","2020-10-13 14:36:58","2020-10-13 14:36:58","LIQUSR05","LIQUSR05","CG852"
"42EHSA2A","","","","","0","","0","2020-10-09 11:12:46","2020-10-09 11:12:46","LIQUSR03","LIQUSR03","CG852"
