"FHA_PID_FACILITY","FHA_PID_DEAL","FHA_AMT_CLOSING","FHA_AMT_GROSS","FHA_AMT_GROSS_ADJ","FHA_AMT_NET","FHA_AMT_NET_ADJ","FHA_AMT_PRECLOSE","FHA_UID_REC_UPDATE","FHA_UID_REC_CREATE","FHA_TSP_REC_UPDATE","FHA_TSP_REC_CREATE","FHA_AMT_DC_CLOSE","FHA_AMT_DC_GROSS","FHA_AMT_DC_GRS_ADJ","FHA_AMT_DC_NET","FHA_AMT_DC_NET_ADJ","FHA_AMT_DC_PRECLOS","FHA_CDE_BRANCH"
"?XEBVXIH","?.EBVNFE","200000000","200000000","0","200000000","0","200000000","RPTSUPAM","RPTINPAM","2020-06-16 20:47:35","2020-06-16 20:17:40","200000000","200000000","0","200000000","0","200000000","CG852"
"?REBVOYO","?.EBVNFE","400000000","400000000","0","400000000","0","400000000","RPTSUPAM","RPTINPAM","2020-06-16 20:47:35","2020-06-16 17:05:50","400000000","400000000","0","400000000","0","400000000","CG852"
"SUEBXL18","SUEBXL0I","200000000","200000000","0","200000000","0","200000000","RPTSUPAM","RPTINPAM","2020-06-17 19:19:44","2020-06-17 19:02:52","200000000","200000000","0","200000000","0","200000000","CG852"
"SUEBXL2B","SUEBXL0I","300000000","300000000","0","300000000","0","300000000","RPTSUPAM","RPTINPAM","2020-06-17 19:19:44","2020-06-17 19:02:52","300000000","300000000","0","300000000","0","300000000","CG852"
":*EDFUUO",":@EDDZTB","0","0","0","0","0","0","FJUSRAM ","FJUSRAM ","2020-07-17 00:25:06","2020-07-17 00:25:06","0","0","0","0","0","0","CG852"
"Q4EDGQL9",":*EDG12Y","50000000","50000000","0","50000000","0","50000000","FJMGRAM ","FJUSRAM ","2020-07-19 16:58:18","2020-07-17 11:30:34","50000000","50000000","0","50000000","0","50000000","CG852"
"QFEDH1QH",":*EDG12Y","20000000","20000000","0","20000000","0","20000000","FJMGRAM ","FJUSRAM ","2020-07-19 16:58:18","2020-07-17 16:28:38","20000000","20000000","0","20000000","0","20000000","CG852"
"QFEDH1MI",":*EDG12Y","30000000","30000000","0","30000000","0","30000000","FJMGRAM ","FJUSRAM ","2020-07-19 16:58:18","2020-07-17 16:04:33","30000000","30000000","0","30000000","0","30000000","CG852"
"S#EESVR1","S#EESVPY","15000000","15000000","0","15000000","0","15000000","RPTSUP01","CMARTILL","2020-08-12 14:14:43","2020-08-12 11:37:18","15000000","15000000","0","15000000","0","15000000","CG852"
"V8EF471U","V8EF4706","5000000","5000000","0","5000000","0","5000000","LIQSVR05","LIQUSR05","2020-08-19 10:03:07","2020-08-18 12:31:12","5000000","5000000","0","5000000","0","5000000","CG852"
"9ZEF82GL","9ZEF82FK","100000000","100000000","0","100000000","0","100000000","JANICEA1","JAQUITAN","2020-10-13 16:05:44","2020-08-20 17:04:23","100000000","100000000","0","100000000","0","100000000","CG852"
"Q+EDKVL5","Q+EDKVCZ","30000000","30000000","0","30000000","0","30000000","FJMGRAM ","FJUSRAM ","2020-07-19 19:03:29","2020-07-19 18:12:08","30000000","30000000","0","30000000","0","30000000","CG852"
"Q+EDKVFH","Q+EDKVCZ","50000000","50000000","0","50000000","0","50000000","FJMGRAM ","FJUSRAM ","2020-07-19 19:03:29","2020-07-19 17:59:00","50000000","50000000","0","50000000","0","50000000","CG852"
"Q+EDKW7K","Q+EDKVCZ","20000000","20000000","0","20000000","0","20000000","FJMGRAM ","FJUSRAM ","2020-07-19 19:03:29","2020-07-19 18:25:37","20000000","20000000","0","20000000","0","20000000","CG852"
"0REF4FMA","0REF4EYL","10000000","10000000","0","10000000","0","10000000","LIQUSR03","LIQUSR03","2020-08-18 16:48:33","2020-08-18 16:08:34","10000000","10000000","0","10000000","0","10000000","CG852"
".FEF9QTS",".FEF9QSQ","10000000","10000000","0","10000000","0","10000000","LIQUSR03","LIQUSR03","2020-08-24 12:04:27","2020-08-21 14:40:39","10000000","10000000","0","10000000","0","10000000","CG852"
