"FPU_RID_FAC_PR_UPF","FPU_PID_DEAL","FPU_CDE_FEE_CAT","FPU_CDE_FEE_TYPE","FPU_CDE_RATE_BASIS","FPU_IND_TICKING","FPU_IND_SUM_LEND","FPU_UID_REC_CREATE","FPU_UID_REC_UPDATE","FPU_TSP_REC_CREATE","FPU_TSP_REC_UPDATE","FPU_CDE_BAL_TYPE","FPU_PCT_RATE","FPU_AMT_FLAT","FPU_TXT_FORMULA","FPU_CDE_BRANCH"
"$VEI1P0I","$VEI1OYA","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-14 13:30:46","2020-10-14 13:30:46","","","5000","5,000.00 ","CG852"
")UEIALCK",")UEIAL9R","UFF  ","ESTAB","BANK ","N","N","INPDEL01","INPDEL01","2020-10-19 08:47:25","2020-10-19 08:47:25","TOT  ","0.01","","Global Current  X Rate (1%)","CG852"
"T*EHY75V",")YEHXS7X","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-12 17:06:06","2020-10-12 17:06:06","","","500","500.00 ","CG852"
".XEHY4P5",".XEHY4LC","ONG  ","UNUT ","BANK ","N","N","LIQUSR03","LIQUSR03","2020-10-12 15:27:12","2020-10-12 15:27:12","UNT  ","0.01","","Unutilized  X Rate (1%)","CG852"
".SEHE1K9","0REF4EYL","UFF  ","UNDW ","BANK ","N","N","LIQUSR03","LIQUSR03","2020-10-01 19:53:11","2020-10-01 19:53:11","TOT  ","0.01","","Global Current  X Rate (1%)","CG852"
"42EHSA25","42EHS9YE","ONG  ","UNUT ","BANK ","N","N","LIQUSR03","LIQUSR03","2020-10-09 11:12:22","2020-10-09 11:12:22","UNT  ","0.01","","Unutilized  X Rate (1%)","CG852"
":*EDFZ9R",":*EDFXA8","UFF  ","ESTAB","BANK ","N","N","FJUSRAM ","FJUSRAM ","2020-07-17 02:43:16","2020-07-17 02:43:16","TOT  ","0.01","","Global Current  X Rate (1%)","CG852"
":+EJEFUG",":+EJEFS6","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-11-09 21:02:04","2020-11-09 21:02:04","","","5000","5,000.00 ","CG852"
":MEDEXRX",":@EDDZTB","UFF  ","ESTAB","BANK ","N","N","FJUSRAM ","FJUSRAM ","2020-07-16 13:13:20","2020-07-16 13:13:20","TOT  ","0.01","","Global Current  X Rate (1%)","CG852"
":YEI3DVE",":YEI3DT4","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 11:43:54","2020-10-15 11:43:54","","","5000","5,000.00 ","CG852"
":YEI3E07",":YEI3DWN","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 12:22:19","2020-10-15 12:22:19","","","5000","5,000.00 ","CG852"
":YEI3FKO",":YEI3F1E","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 12:56:13","2020-10-15 12:56:13","","","5000","5,000.00 ","CG852"
":YEI3GT6",":YEI3G9Q","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 13:22:56","2020-10-15 13:22:56","","","5000","5,000.00 ","CG852"
":YEI3JRH",":YEI3J7H","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 14:26:43","2020-10-15 14:26:43","","","5000","5,000.00 ","CG852"
":YEI3M6M",":YEI3LNB","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-15 15:18:59","2020-10-15 15:18:59","","","5000","5,000.00 ","CG852"
"I1EI277C","I1EI2752","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-14 20:03:44","2020-10-14 20:03:44","","","5000","5,000.00 ","CG852"
"I1EI27A3","I1EI277T","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-14 20:35:28","2020-10-14 20:35:28","","","5000","5,000.00 ","CG852"
"O#EIBDAA","O#EIBD80","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-19 18:57:14","2020-10-19 18:57:14","","","5000","5,000.00 ","CG852"
"Q.EJEGNT","Q.EJEGLJ","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-11-09 21:53:55","2020-11-09 21:53:55","","","5000","5,000.00 ","CG852"
"T@EHY42Y","T@EHY3MK","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-12 15:59:30","2020-10-12 16:27:08","","","500","500,00","CG852"
"XGEI24DY","XGEI24BO","UFF  ","ESTAB","G365 ","N","N","CESSINP1","CESSINP1","2020-10-14 19:20:12","2020-10-14 19:20:12","","","5000","5,000.00 ","CG852"
