"GA1_TID_TABLE_ID","GA1_CDE_FKEY1","GA1_CDE_FKEY2","GA1_IND_ACTIVE","GA1_IND_MAY_DEACT","GA1_TSP_REC_CREATE","GA1_TSP_REC_UPDATE","GA1_UID_REC_CREATE","GA1_UID_REC_UPDATE","GA1_AMT_AMOUNT1","GA1_CDE_FKEY3","GA1_CDE_FKEY4","GA1_CDE_FKEY5","GA1_CDE_FKEY6"
"OCP","RDGDP","ANY  ","Y","Y","2019-04-04 18:17:18","2019-04-04 18:17:18","GIBLINC ","GIBLINC ","","","","",""
"OCP","RDGAM","ANY  ","Y","Y","2019-04-04 18:17:30","2019-04-04 18:17:30","GIBLINC ","GIBLINC ","","","","",""
"OCP","RSKTP","ANY  ","Y","Y","2019-04-04 18:17:47","2019-04-04 18:17:47","GIBLINC ","GIBLINC ","","","","",""
"OCP","RACRD","ANY  ","Y","Y","2019-04-04 18:17:56","2019-04-04 18:17:56","GIBLINC ","GIBLINC ","","","","",""
"OCP","RACRT","ANY  ","Y","Y","2019-04-04 18:18:06","2019-04-04 18:18:06","GIBLINC ","GIBLINC ","","","","",""
"OCP","RADTR","ANY  ","Y","Y","2019-04-04 18:18:18","2019-04-04 18:18:18","GIBLINC ","GIBLINC ","","","","",""
"OCP","RSILT","ANY  ","Y","Y","2019-04-04 18:18:35","2019-04-04 18:18:35","GIBLINC ","GIBLINC ","","","","",""
"OCP","RINST","ANY  ","Y","Y","2019-04-04 18:18:47","2019-04-04 18:18:47","GIBLINC ","GIBLINC ","","","","",""
"OCP","RRFIX","ANY  ","Y","Y","2019-04-04 18:19:12","2019-04-04 18:19:12","GIBLINC ","GIBLINC ","","","","",""
"OCP","ORACL","ANY  ","Y","Y","2019-04-04 18:19:23","2019-04-04 18:19:23","GIBLINC ","GIBLINC ","","","","",""
"OCP","PRTNM","ANY  ","Y","Y","2019-04-04 18:19:36","2019-04-04 18:19:36","GIBLINC ","GIBLINC ","","","","",""
"OCP","PLCDE","ANY  ","Y","Y","2019-04-04 18:19:47","2019-04-04 18:19:47","GIBLINC ","GIBLINC ","","","","",""
