"GA2_RID_FG2_ASSOC","GA2_TID_TABLE_ID","GA2_CDE_FKEY1","GA2_CDE_FKEY2","GA2_CDE_FKEY3","GA2_IND_ACTIVE","GA2_IND_MAY_DEACT","GA2_TSP_REC_CREATE","GA2_TSP_REC_UPDATE","GA2_UID_REC_CREATE","GA2_UID_REC_UPDATE"
"J0E4OJHM","CPF","EUR  ","AUD  ","EUR  ","Y","Y","2020-01-29 00:32:32","2020-01-29 00:32:32","BRIANMOK","BRIANMOK"
"J0E4OJIM","CPF","EUR  ","GBP  ","EUR  ","Y","Y","2020-01-29 00:32:58","2020-01-29 00:32:58","BRIANMOK","BRIANMOK"
"J0E4OJJ6","CPF","EUR  ","CAD  ","EUR  ","Y","Y","2020-01-29 00:33:15","2020-01-29 00:33:15","BRIANMOK","BRIANMOK"
"J0E4OJJO","CPF","EUR  ","CNH  ","EUR  ","Y","Y","2020-01-29 00:33:37","2020-01-29 00:33:37","BRIANMOK","BRIANMOK"
"J0E4OJKA","CPF","EUR  ","CNY  ","EUR  ","Y","Y","2020-01-29 00:33:54","2020-01-29 00:33:54","BRIANMOK","BRIANMOK"
"J0E4OJKP","CPF","EUR  ","CZK  ","EUR  ","Y","Y","2020-01-29 00:34:14","2020-01-29 00:34:14","BRIANMOK","BRIANMOK"
"J0E4OJLA","CPF","EUR  ","DKK  ","EUR  ","Y","Y","2020-01-29 00:34:36","2020-01-29 00:34:36","BRIANMOK","BRIANMOK"
"J0E4OJLU","CPF","EUR  ","HKD  ","EUR  ","Y","Y","2020-01-29 00:34:49","2020-01-29 00:34:49","BRIANMOK","BRIANMOK"
"J0E4OJMB","CPF","EUR  ","IDR  ","EUR  ","Y","Y","2020-01-29 00:35:06","2020-01-29 00:35:06","BRIANMOK","BRIANMOK"
"J0E4OJMP","CPF","EUR  ","JPY  ","EUR  ","Y","Y","2020-01-29 00:35:20","2020-01-29 00:35:20","BRIANMOK","BRIANMOK"
"J0E4OJN4","CPF","EUR  ","MXN  ","EUR  ","Y","Y","2020-01-29 00:35:43","2020-01-29 00:35:43","BRIANMOK","BRIANMOK"
"J0E4OJNQ","CPF","EUR  ","NZD  ","EUR  ","Y","Y","2020-01-29 00:35:54","2020-01-29 00:35:54","BRIANMOK","BRIANMOK"
"J0E4OJO4","CPF","EUR  ","NOK  ","EUR  ","Y","Y","2020-01-29 00:36:14","2020-01-29 00:36:14","BRIANMOK","BRIANMOK"
"J0E4OJR7","CPF","EUR  ","SGD  ","EUR  ","Y","Y","2020-01-29 00:38:07","2020-01-29 00:38:07","BRIANMOK","BRIANMOK"
"J0E4OJRQ","CPF","EUR  ","ZAR  ","EUR  ","Y","Y","2020-01-29 00:38:27","2020-01-29 00:38:27","BRIANMOK","BRIANMOK"
"J0E4OJSA","CPF","EUR  ","SEK  ","EUR  ","Y","Y","2020-01-29 00:38:49","2020-01-29 00:38:49","BRIANMOK","BRIANMOK"
"J0E4OJST","CPF","EUR  ","CHF  ","EUR  ","Y","Y","2020-01-29 00:39:02","2020-01-29 00:39:02","BRIANMOK","BRIANMOK"
"J0E4OJTA","CPF","EUR  ","THB  ","EUR  ","Y","Y","2020-01-29 00:39:14","2020-01-29 00:39:14","BRIANMOK","BRIANMOK"
"J0E4OJTG","CPF","EUR  ","USD  ","EUR  ","Y","Y","2020-01-29 00:39:21","2020-01-29 00:39:21","BRIANMOK","BRIANMOK"
"3H6L7SQ0","PMS","BOOK ","","MANL ","N","Y","2005-08-17 11:46:54","2019-04-03 23:22:54","ADMIN2  ","LS2BATCH"
"3H6L7SQ8","PMS","CK   ","","MANL ","N","Y","2005-08-17 11:47:07","2019-04-03 23:22:54","ADMIN2  ","LS2BATCH"
"3H6L7SQL","PMS","DDA  ","","MANL ","Y","Y","2005-08-17 11:47:15","2005-08-17 11:47:15","ADMIN2  ","ADMIN2  "
"3H6L7SQT","PMS","FED  ","","NOSTR","N","Y","2005-08-17 11:47:23","2019-04-03 23:22:54","ADMIN2  ","LS2BATCH"
"3H6L7SR2","PMS","IMT  ","","NOSTR","N","Y","2005-08-17 11:47:32","2019-04-05 11:20:04","ADMIN2  ","GIBLINC "
"3H6L7SRA","PMS","SPAP ","","MANL ","Y","Y","2005-08-17 11:49:02","2005-08-17 11:49:02","ADMIN2  ","ADMIN2  "
"1DB1POBW","ASM","STSPR","STASE","STSEL","Y","Y","2014-03-03 13:06:35","2014-03-03 13:06:35","LOANIQ01","LOANIQ01"
"1DB1POFR","ASM","STSPR","STASI","STSIL","Y","Y","2014-03-03 13:07:20","2014-03-03 13:07:20","LOANIQ01","LOANIQ01"
"1DB1POGD","ASM","STSPR","STASP","STSPL","Y","Y","2014-03-03 13:07:39","2014-03-03 13:07:39","LOANIQ01","LOANIQ01"
"1DB1POGU","ASM","STSPR","STASR","STSRL","Y","Y","2014-03-03 13:07:55","2014-03-03 13:07:55","LOANIQ01","LOANIQ01"
"1DB1POHG","ASM","BGFRA","STASE","BGFEL","Y","Y","2014-03-03 13:08:26","2014-03-03 13:08:26","LOANIQ01","LOANIQ01"
"1DB1POI5","ASM","BGFRA","STASI","BGFIL","Y","Y","2014-03-03 13:08:43","2014-03-03 13:08:43","LOANIQ01","LOANIQ01"
"1DB1POIN","ASM","BGFRA","STASP","BGFPL","Y","Y","2014-03-03 13:09:01","2014-03-03 13:09:01","LOANIQ01","LOANIQ01"
"1DB1POJ5","ASM","BGFRA","STASR","BGFRL","Y","Y","2014-03-03 13:09:14","2014-03-03 13:09:14","LOANIQ01","LOANIQ01"
"6DB1I1N0","PMS","CHIPS","","NOSTR","N","Y","2014-02-27 10:11:34","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"6DB1I20P","PMS","CDS  ","","MANL ","N","Y","2014-02-27 10:19:47","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"6DB1I228","PMS","IDTS ","","MANL ","N","Y","2014-02-27 10:20:39","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"6DB1I235","PMS","NOSTR","","NOSTR","N","Y","2014-02-27 10:21:12","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"WIB4AHZ0","CPF","USD  ","GBP  ","NY   ","N","Y","2014-04-22 16:02:22","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AHZ2","CPF","USD  ","EUR  ","NY   ","N","Y","2014-04-22 16:02:48","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AHZ4","CPF","USD  ","JPY  ","NY   ","N","Y","2014-04-22 16:03:10","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"WIB4AHZ6","CPF","USD  ","CAD  ","NY   ","N","Y","2014-04-22 16:03:34","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AHZ8","CPF","USD  ","AUD  ","NY   ","N","Y","2014-04-22 16:03:57","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AHZA","CPF","USD  ","NZD  ","NY   ","N","Y","2014-04-22 16:04:11","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"WIB4AHZC","CPF","USD  ","CHF  ","NY   ","N","Y","2014-04-22 16:04:33","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AHZP","CPF","USD  ","SGD  ","NY   ","N","Y","2014-04-22 16:04:49","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"WIB4AI08","CPF","USD  ","HKD  ","NY   ","N","Y","2014-04-22 16:05:06","2019-04-03 23:22:54","LOANIQ01","LS2BATCH"
"WIB4AI0M","CPF","GBP  ","USD  ","UK   ","N","Y","2014-04-22 16:05:24","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI13","CPF","GBP  ","EUR  ","UK   ","N","Y","2014-04-22 16:05:40","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI1L","CPF","GBP  ","JPY  ","UK   ","N","Y","2014-04-22 16:05:55","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI23","CPF","GBP  ","CAD  ","UK   ","N","Y","2014-04-22 16:06:13","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI2F","CPF","GBP  ","AUD  ","UK   ","N","Y","2014-04-22 16:06:27","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI2W","CPF","GBP  ","NZD  ","UK   ","N","Y","2014-04-22 16:06:41","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI3A","CPF","GBP  ","CHF  ","UK   ","N","Y","2014-04-22 16:06:58","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI3P","CPF","GBP  ","SGD  ","UK   ","N","Y","2014-04-22 16:07:10","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI42","CPF","GBP  ","HKD  ","UK   ","N","Y","2014-04-22 16:07:25","2019-04-03 23:22:53","LOANIQ01","LS2BATCH"
"WIB4AI4I","CPF","EUR  ","USD  ","EUROP","N","Y","2014-04-22 16:07:43","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
