"GB1_TID_TABLE_ID","GB1_CDE_CODE","GB1_DSC_CODE","GB1_IND_ACTIVE","GB1_IND_MAY_DEACT","GB1_TSP_REC_CREATE","GB1_TSP_REC_UPDATE","GB1_UID_REC_CREATE","GB1_UID_REC_UPDATE"
"BET","1656 ","1656","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1657 ","1657","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1658 ","1658","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1659 ","1659","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1660 ","1660","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1661 ","1661","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1662 ","1662","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1663 ","1663","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1664 ","1664","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1665 ","1665","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1666 ","1666","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1667 ","1667","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1668 ","1668","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"RBK","PRIEQ","Natural Resources and Energy","Y","Y","2019-04-05 13:23:50","2020-11-04 10:24:35","KANDERSO","FOULISTR"
"RBK","DCM  ","Debt Markets","Y","Y","2019-04-05 13:25:40","2020-11-04 10:19:38","KANDERSO","FOULISTR"
"RBK","BCF  ","Client Solutions Head Office","Y","Y","2019-04-05 13:26:32","2020-11-04 10:18:29","KANDERSO","FOULISTR"
"RBK","BPB  ","Business Banking Private (BPB)","Y","Y","2019-04-05 13:27:40","2020-11-04 10:11:01","KANDERSO","FOULISTR"
"RBK","BKGOV","Banks and Governments","Y","Y","2019-04-05 13:28:55","2020-11-04 10:17:03","KANDERSO","FOULISTR"
"RBK","GTS  ","Group Treasury Securitisation","Y","Y","2019-04-05 13:34:11","2019-12-04 01:34:49","KANDERSO","BRIANMOK"
"BET","1669 ","1669","Y","N","2014-01-13 17:15:58","2014-01-13 17:15:58","LS2BATCH","LS2BATCH"
"BET","1524 ","1524","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1525 ","1525","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1526 ","1526","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1527 ","1527","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1528 ","1528","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1529 ","1529","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1530 ","1530","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1531 ","1531","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1532 ","1532","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1533 ","1533","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1534 ","1534","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1535 ","1535","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1536 ","1536","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1537 ","1537","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1538 ","1538","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1539 ","1539","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1540 ","1540","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1541 ","1541","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1542 ","1542","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"BET","1543 ","1543","Y","N","2014-01-13 17:15:57","2014-01-13 17:15:57","LS2BATCH","LS2BATCH"
"FCF","ISIN ","ISIN Number","Y","N","2014-01-13 17:15:39","2014-01-13 17:15:39","LS2BATCH","LS2BATCH"
"FFS","ATHIB","ATHIBOR-ATHIBOR","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","ATHRB","ATHIBOR-Reference Banks","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","ATHTL","ATHIBOR-Telerate","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"BET","1098 ","1098","Y","N","2014-01-13 17:15:53","2014-01-13 17:15:53","LS2BATCH","LS2BATCH"
"FFS","BARFD","BA-Reference Dealers","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BATEL","BA-Telerate","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BBRRB","BBR-Reference Banks","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BBRTL","BBR-Telerate","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BMAMS","BMA Municipal Swap Index","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BMK  ","BMK","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"FFS","BRAUB","BBR-AUBBSW","Y","N","2014-01-13 17:15:41","2014-01-13 17:15:41","LS2BATCH","LS2BATCH"
"BET","2868 ","2868","Y","N","2014-01-13 17:16:25","2014-01-13 17:16:25","LS2BATCH","LS2BATCH"
"BET","2869 ","2869","Y","N","2014-01-13 17:16:25","2014-01-13 17:16:25","LS2BATCH","LS2BATCH"
"BET","2870 ","2870","Y","N","2014-01-13 17:16:25","2014-01-13 17:16:25","LS2BATCH","LS2BATCH"
"FAN","FAN39","processingAreaCode","Y","N","2014-01-13 17:16:32","2014-01-13 17:16:32","LS2BATCH","LS2BATCH"
"BTR","APOCA","Automatic Portfolio Origination Cost Adj","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"BTR","EDCHO","Escrow Deposit ChargeOff","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"BTR","IMPRO","Impairment Provisioning","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"BTR","IMPRF","Impairment Provisioning For Facility","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"SNM","FEERI","Fee Receivable Impaired Account                   ","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"SNM","FEEFO","Fee Foregone Account                              ","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"BTR","OCADJ","Origination Cost Amortization Adjustment","Y","Y","2020-11-03 07:23:15","2020-11-03 07:23:15","LS2BATCH","LS2BATCH"
"UFN","914  ","Portfolio And IAS Category Association","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"APT","CCTRN","Contact Change Transaction","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"CEV","CCTRL","Contact Change Transaction Released","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"APT","RSTRC","Restructure Transaction","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"CTT","FCRAI","Facility Restructure Add/Unscheduled Increase","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"DEN","RRSTR","Restructure Released","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"ITP","PASG ","Primary Assignment","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"ELO","1074 ","1074 - Deal Restructure with Netting of Casfhflow","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
"NRT","STAG ","Stabilization Agent","Y","N","2014-01-13 17:15:36","2014-01-13 17:15:36","LS2BATCH","LS2BATCH"
