GB2_CDE_CODE,GB2_CDE_FKEY1,GB2_CDE_FKEY2,GB2_CDE_FKEY3,GB2_CDE_FKEY4,GB2_IND_ACTIVE,GB2_IND_MAY_DEACT,GB2_IND_OPTIONAL_1,GB2_IND_OPTIONAL_2,GB2_IND_OPTIONAL_3,GB2_IND_OPTIONAL_4,GB2_IND_OPTIONAL_5,GB2_IND_OPTIONAL_6,GB2_IND_OPTIONAL_7,GB2_IND_OPTIONAL_8,GB2_IND_OPTIONAL_9,GB2_IND_OPTIONL_10,GB2_IND_OPTIONL_11,GB2_IND_OPTIONL_12,GB2_NUM_OPTIONAL,GB2_RTO_OPTIONAL,GB2_TID_TABLE_ID,GB2_TSP_REC_CREATE,GB2_TSP_REC_UPDATE,GB2_UID_REC_CREATE,GB2_UID_REC_UPDATE,GB2_DSC_CODE,GB2_TXT_COMMENT,GB2_CDE_FKEY5,GB2_CDE_FKEY6,GB2_RTO_OPTIONAL_2,GB2_PRC_OPTIONAL_1,GB2_CDE_FKEY7,GB2_CDE_FKEY8,GB2_CDE_FKEY9,GB2_CDE_FKEY10,GB2_CDE_FKEY11,GB2_CDE_FKEY12,GB2_RTO_OPTIONAL_3,GB2_IND_OPTIONL_13,GB2_IND_OPTIONL_14,GB2_IND_OPTIONL_15,GB2_AMT_OPTIONAL1,GB2_AMT_OPTIONAL2,GB2_AMT_OPTIONAL3,GB2_AMT_OPTIONAL4,GB2_AMT_OPTIONAL5,GB2_NUM_OPTIONAL1,GB2_NUM_OPTIONAL2,GB2_NUM_OPTIONAL3,GB2_IND_OPTIONL_20,GB2_CDE_FKEY13
"1656 ",APRVD,"OTR  ",,"LCDR ",Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1656,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1657 ","NEW  ","OTR  ",,"LCDR ",Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1657,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1658 ",RELSD,"OTR  ",,"LCDR ",Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1658,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1659 ",APRVD,"OTR  ",,LCHOF,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1659,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1660 ","NEW  ","OTR  ",,LCHOF,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1660,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1661 ",RELSD,"OTR  ",,LCHOF,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1661,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1662 ",APRVD,"OTR  ",,LCPIN,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1662,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1663 ","NEW  ","OTR  ",,LCPIN,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1663,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1664 ",RELSD,"OTR  ",,LCPIN,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1664,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1665 ",APRVD,"OTR  ",,LRPPY,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1665,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1666 ","NEW  ","OTR  ",,LRPPY,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1666,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1667 ",RELSD,"OTR  ",,LRPPY,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1667,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1668 ",APRVD,"OTR  ",,MADJS,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1668,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
PRIEQ,,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:23:50,2020-11-04 10:24:35,KANDERSO,FOULISTR,Natural Resources and Energy,,,,,,,,,,,,,N,N,N,,,,,,,,,N,
"DCM  ",,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:25:40,2020-11-04 10:19:38,KANDERSO,FOULISTR,Debt Markets,,,,,,,,,,,,,N,N,N,,,,,,,,,N,
"BCF  ",,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:26:32,2020-11-04 10:18:29,KANDERSO,FOULISTR,Client Solutions Head Office,,,,,,,,,,,,,N,N,N,,,,,,,,,N,
"BPB  ",,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:27:40,2020-11-04 10:11:01,KANDERSO,FOULISTR,Business Banking Private (BPB),,,,,,,,,,,,,N,N,N,,,,,,,,,N,
BKGOV,,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:28:55,2020-11-04 10:17:03,KANDERSO,FOULISTR,Banks and Governments,,,,,,,,,,,,,N,N,N,,,,,,,,,N,
"GTS  ",,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,RBK,2019-04-05 13:34:11,2019-12-04 01:34:49,KANDERSO,BRIANMOK,Group Treasury Securitisation,,,,,,,,,,,,,N,N,N,,,,,,,,,N,
"1669 ","NEW  ","OTR  ",,MADJS,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:58,2014-01-13 17:15:58,LS2BATCH,LS2BATCH,1669,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1524 ",RENEW,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1524,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1525 ",RENME,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1525,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1526 ",RIFPM,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1526,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1527 ",RSCHU,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1527,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1528 ",RTEBS,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1528,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1529 ",RTECH,"OST  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1529,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1530 ",APRVD,"OTR  ",,ABAAJ,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1530,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1531 ","NEW  ","OTR  ",,ABAAJ,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1531,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
