"GB3_CDE_CODE","GB3_CDE_FKEY1","GB3_IND_ACTIVE","GB3_IND_MAY_DEACT","GB3_TID_TABLE_ID","GB3_TSP_REC_CREATE","GB3_TSP_REC_UPDATE","GB3_UID_REC_CREATE","GB3_UID_REC_UPDATE","GB3_IND_OPTIONAL_1","GB3_IND_OPTIONAL_2","GB3_DSC_CODE","GB3_RTO_OPTIONAL","GB3_RTO_OPTIONAL_1"
"F3   ","INTLR","Y","Y","RRC","2019-04-05 12:33:14","2019-04-05 12:33:41","BRIANMOK","BRIANMOK","N","N","F3 Weak/Special Mention","19","0"
"G1   ","INTLR","Y","Y","RRC","2019-04-05 12:34:06","2019-04-05 12:34:06","BRIANMOK","BRIANMOK","N","N","G1 Substandard","20","0"
"G2   ","INTLR","Y","Y","RRC","2019-04-05 12:34:33","2019-04-05 12:34:33","BRIANMOK","BRIANMOK","N","N","G2 Substandard","21","0"
"G3   ","INTLR","Y","Y","RRC","2019-04-05 12:34:57","2019-04-05 12:34:57","BRIANMOK","BRIANMOK","N","N","G3 Substandard","22","0"
"R    ","INTLR","Y","Y","RRC","2019-04-05 12:35:22","2019-04-05 12:35:22","BRIANMOK","BRIANMOK","N","N","R Restructure","23","0"
"H    ","INTLR","Y","Y","RRC","2019-04-05 12:35:42","2019-04-05 12:35:42","BRIANMOK","BRIANMOK","N","N","H Doubtful/Defaulted","24","0"
"A0   ","INTLR","Y","Y","RRC","2019-04-24 16:00:04","2019-04-24 16:00:04","FOULISTR","FOULISTR","N","N","A0 Exceptional","1","0"
"A1   ","INTLR","Y","Y","RRC","2019-04-24 16:00:21","2019-04-24 16:00:21","FOULISTR","FOULISTR","N","N","A1 Exceptional","2","0"
"A2   ","INTLR","Y","Y","RRC","2019-04-24 16:01:50","2019-04-24 16:01:50","FOULISTR","FOULISTR","N","N","A2 Exceptional","3","0"
"A3   ","INTLR","Y","Y","RRC","2019-04-24 16:02:17","2019-04-24 16:02:17","FOULISTR","FOULISTR","N","N","A3 Exceptional","4","0"
"B1   ","INTLR","Y","Y","RRC","2019-04-24 16:03:46","2019-04-24 16:03:46","FOULISTR","FOULISTR","N","N","B1 Very Strong","5","0"
"B2   ","INTLR","Y","Y","RRC","2019-04-24 16:04:07","2019-04-24 16:04:07","FOULISTR","FOULISTR","N","N","B2 Very Strong","6","0"
"B3   ","INTLR","Y","Y","RRC","2019-04-24 16:04:29","2019-04-24 16:04:29","FOULISTR","FOULISTR","N","N","B3 Very Strong","7","0"
"C1   ","INTLR","Y","Y","RRC","2019-04-24 16:05:51","2019-04-24 16:05:51","FOULISTR","FOULISTR","N","N","C1 Strong","8","0"
"C2   ","INTLR","Y","Y","RRC","2019-04-24 16:06:19","2019-04-24 16:06:19","FOULISTR","FOULISTR","N","N","C2 Strong","9","0"
"C3   ","INTLR","Y","Y","RRC","2019-04-24 16:07:55","2019-04-24 16:07:55","FOULISTR","FOULISTR","N","N","C3 Strong","10","0"
"D1   ","INTLR","Y","Y","RRC","2019-04-24 16:08:27","2019-04-24 16:08:27","FOULISTR","FOULISTR","N","N","D1 Good","11","0"
"D2   ","INTLR","Y","Y","RRC","2019-04-24 16:08:39","2019-04-24 16:08:39","FOULISTR","FOULISTR","N","N","D2 Good","12","0"
"D3   ","INTLR","Y","Y","RRC","2019-04-24 16:11:15","2019-04-24 16:11:15","FOULISTR","FOULISTR","N","N","D3 Good","13","0"
"E1   ","INTLR","Y","Y","RRC","2019-04-24 16:12:09","2019-04-24 16:12:09","FOULISTR","FOULISTR","N","N","E1 Satisfactory","14","0"
"E2   ","INTLR","Y","Y","RRC","2019-04-24 16:12:33","2019-04-24 16:12:33","FOULISTR","FOULISTR","N","N","E2 Satisfactory","15","0"
"E3   ","INTLR","Y","Y","RRC","2019-04-24 16:12:57","2019-04-24 16:12:57","FOULISTR","FOULISTR","N","N","E3 Satisfactory","16","0"
"F1   ","INTLR","Y","Y","RRC","2019-04-24 16:13:27","2019-04-24 16:13:27","FOULISTR","FOULISTR","N","N","F1 Weak/Special Mention","17","0"
"F2   ","INTLR","Y","Y","RRC","2019-04-24 16:13:45","2019-04-24 16:13:45","FOULISTR","FOULISTR","N","N","F2 Weak/Special Mention","18","0"
