ABA_CDE_FED_ABA,ABA_NME_SHORT,ABA_CDE_STATE,ABA_NME_CITY,ABA_IND_ACTIVE,ABA_IND_MAY_DEACT,ABA_TSP_REC_CREATE,ABA_UID_REC_CREATE,ABA_TSP_REC_UPDATE,ABA_UID_REC_UPDATE,ABA_NME_FULL
026007715,"BANAMEX NYC       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:38:24,"ADMIN2  ","BANCO NACIONAL DE MEXICO, S.A."
026007728,"NATL AUSTRAL LTD  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,NATIONAL AUSTRALIA BANK
026007760,HARRIS BK INTL NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,HARRIS BANK INTERNATIONAL CORP.
026007825,"IBJ WHITEHALL NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,MIZUHO CORPORATE BANK (USA)
026013275,"CHINATRUST COM    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:30:34,LS2BATCH,CHINATRUST COMMERCIAL BANK
026013673,"COMMERCE BK NA    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:39:46,"ADMIN2  ","COMMERCE BANK, NATIONAL ASSOCIATION"
026069753,NORTHERN TR CO NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:30:34,LS2BATCH,NORTHERN TRUST COMPANY
031000037,"MELLON EAST PSFS  ",PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:30:34,LS2BATCH,MELLON BANK
031000040,"FRB PHIL          ",PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:30:34,LS2BATCH,FEDERAL RESERVE BANK OF PHILADELPHIA
031000053,"PNCBANK PHIL      ",PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:39:55,"ADMIN2  ","PNCBANK, NATIONAL ASSOC"
031100047,"MELLON BK WILM    ",DE,"GREENVILLE          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:00,"ADMIN2  ","MELLON BANK (DE), NA"
031100089,"PNCBANK WILM DEL  ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:08,"ADMIN2  ","PNC BANK, DELAWARE"
