"FEE_FID_FEE","FEE_PID_FACILITY","FEE_PID_DEAL","FEE_CDE_OBJ_STATE","FEE_CDE_OB_ST_CTG","FEE_CDE_FEE_CTGRY","FEE_CDE_FEE_TYPE","FEE_TSP_REC_CREATE","FEE_TSP_REC_UPDATE","FEE_UID_REC_CREATE","FEE_UID_REC_UPDATE","FEE_PCT_RATE","FEE_IND_ADVANCE","FEE_IND_ACCRUABLE","FEE_CDE_PERF_STAT","FEE_CID_PAID_BY","FEE_RID_PAID_BY_SG","FEE_IND_DIST_LIST","FEE_PCT_BALANCE","FEE_DTE_EFFECTIVE","FEE_CDE_PERIOD","FEE_CDE_RATE_BASIS","FEE_AMT_MAXIMUM","FEE_AMT_MINIMUM","FEE_AMT_FLAT","FEE_CDE_ENDTE_RULE","FEE_DTE_EXPIRY","FEE_DTE_FLT_RTE_ST","FEE_CDE_ACT_ACR_RL","FEE_NUM_SPCFC_DAY","FEE_IND_SYNC_BILL","FEE_RID_OWNER","FEE_CDE_OWNER_TYPE","FEE_IND_BILL_BORR","FEE_NUM_BILL_DAYS","FEE_IND_DONT_PRINT","FEE_IND_DONT_MAIL","FEE_IND_ACR_SCHBAL","FEE_IND_CARE_OF","FEE_IND_ABND_FEE","FEE_CDE_BRANCH"
"?REBVOZX","?REBVOYO","?.EBVNFE","RELSD","ACTUA","ONG  ","UNUT ","2020-06-16 17:10:06","2020-08-26 10:45:38","RPTINPAM","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","?REBVOYO","FAC  ","N","10","N","N","N","N","N","CG852"
"?XEBVXQJ","?XEBVXIH","?.EBVNFE","RELSD","ACTUA","ONG  ","UNUT ","2020-06-16 20:22:07","2020-08-26 10:45:38","RPTINPAM","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","?XEBVXIH","FAC  ","N","10","N","N","N","N","N","CG852"
"SUEBXL1J","SUEBXL18","SUEBXL0I","RELSD","ACTUA","ONG  ","UNUT ","2020-06-17 17:36:55","2020-08-26 10:45:38","RPTINPAM","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-19 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-19 00:00:00","","","N","SUEBXL18","FAC  ","N","10","N","N","N","N","N","CG852"
"SUEBXL2M","SUEBXL2B","SUEBXL0I","RELSD","ACTUA","ONG  ","UNUT ","2020-06-17 17:36:56","2020-08-26 10:45:38","RPTINPAM","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-19 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-19 00:00:00","","","N","SUEBXL2B","FAC  ","N","10","N","N","N","N","N","CG852"
"Q+EDKVGH","Q+EDKVFH","Q+EDKVCZ","RELSD","ACTUA","ONG  ","UNUT ","2020-07-19 18:07:11","2020-08-26 10:45:38","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","Q+EDKVFH","FAC  ","N","10","N","N","N","N","N","CG852"
"Q+EDKVZT","Q+EDKVL5","Q+EDKVCZ","RELSD","ACTUA","ONG  ","UNUT ","2020-07-19 18:20:46","2020-08-26 10:45:38","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","Q+EDKVL5","FAC  ","N","10","N","N","N","N","N","CG852"
"Q+EDKWM4","Q+EDKW7K","Q+EDKVCZ","RELSD","ACTUA","ONG  ","UNUT ","2020-07-19 18:34:07","2020-08-26 10:45:39","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","Q+EDKW7K","FAC  ","N","10","N","N","N","N","N","CG852"
":*EDFUVU",":*EDFUUO",":@EDDZTB","PEND ","POTEN","ONG  ","UNUT ","2020-07-17 00:41:47","2020-07-17 00:41:47","FJUSRAM ","FJUSRAM ","0.0175","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","BANK ","","","","TOAD ","","","","","N",":*EDFUUO","FAC  ","N","10","N","N","N","N","N","CG852"
"Q4EDGQM9","Q4EDGQL9",":*EDG12Y","RELSD","ACTUA","ONG  ","UNUT ","2020-07-17 11:54:24","2020-08-26 10:45:38","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","Q4EDGQL9","FAC  ","N","10","N","N","N","N","N","CG852"
"QFEDH1OY","QFEDH1MI",":*EDG12Y","RELSD","ACTUA","ONG  ","UNUT ","2020-07-17 16:21:17","2020-08-26 10:45:38","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","QFEDH1MI","FAC  ","N","10","N","N","N","N","N","CG852"
