"FEP_RID_FPRC_RULE","FEP_PID_DEAL","FEP_CDE_FEE","FEP_CDE_MATRX_CHNG","FEP_CDE_NONBUS_DAY","FEP_TSP_REC_CREATE","FEP_TSP_REC_UPDATE","FEP_UID_REC_CREATE","FEP_UID_REC_UPDATE","FEP_IND_BILL_BORR","FEP_NUM_BILL_DAYS","FEP_CDE_BRANCH"
"V8EF471B","V8EF4706","UNUT ","EFFEC","NEXT ","2020-08-18 12:27:50","2020-08-18 12:27:50","LIQUSR05","LIQUSR05","N","10","CG852"
"0REF4FJI","0REF4EYL","UNUT ","EFFEC","NEXT ","2020-08-18 16:06:54","2020-08-18 16:06:54","LIQUSR03","LIQUSR03","N","10","CG852"
"9ZEF82GK","9ZEF82FK","UNUT ","EFFEC","NEXT ","2020-08-20 16:50:26","2020-08-20 16:50:26","JAQUITAN","JAQUITAN","N","10","CG852"
".FEF9QTR",".FEF9QSQ","UNUT ","EFFEC","NEXT ","2020-08-21 14:40:04","2020-08-21 14:40:04","LIQUSR03","LIQUSR03","N","10","CG852"
"YZEFEX5X","YZEFEWH5","UNUT ","EFFEC","NEXT ","2020-08-24 10:04:53","2020-08-24 10:04:53","SMANZANO","SMANZANO","N","10","CG852"
"Y5EFF558","Y5EFF54H","UNUT ","EFFEC","NEXT ","2020-08-24 12:27:19","2020-08-24 12:27:19","LIQUSR03","LIQUSR03","N","10","CG852"
"(7EFGUEP","(7EFGUDN","UNUT ","EFFEC","NEXT ","2020-08-25 10:19:44","2020-08-25 10:19:44","CMARTILL","CMARTILL","N","10","CG852"
"@EEFGYUB","@EEFGXO8","UNUT ","EFFEC","NEXT ","2020-08-25 12:36:00","2020-08-25 12:36:00","SMANZANO","SMANZANO","N","10","CG852"
"@-EFH36Y","@-EFH363","UNUT ","EFFEC","NEXT ","2020-08-25 14:08:07","2020-08-25 14:08:07","JAQUITAN","JAQUITAN","N","10","CG852"
"C6EFHAR5","C6EFHAQ1","UNUT ","EFFEC","NEXT ","2020-08-25 16:18:31","2020-08-25 16:18:31","JAQUITAN","JAQUITAN","N","10","CG852"
"I:EFMEGJ","IREFMCO3","UNUT ","EFFEC","NEXT ","2020-08-28 10:58:12","2020-08-28 10:58:12","SMANZANO","SMANZANO","N","10","CG852"
"?REBVOYN","?.EBVNFE","UNUT ","EFFEC","NEXT ","2020-06-16 17:04:43","2020-06-16 17:04:43","RPTINPAM","RPTINPAM","N","10","CG852"
"SUEBXL13","SUEBXL0I","UNUT ","EFFEC","NEXT ","2020-06-17 17:36:54","2020-06-17 17:36:54","RPTINPAM","RPTINPAM","N","10","CG852"
"3+EEFX50","3+EEFX4B","UNUT ","EFFEC","NEXT ","2020-08-05 11:13:44","2020-08-05 11:13:44","DJRHINPT","DJRHINPT","Y","2",""
"3+EEFX52","3+EEFX4B","UTIL ","EFFEC","NEXT ","2020-08-05 11:13:44","2020-08-05 11:13:44","DJRHINPT","DJRHINPT","Y","2",""
"3ZEFFD2V","3ZEFFD20","UNUT ","EFFEC","NEXT ","2020-08-24 14:36:10","2020-08-24 14:36:10","JAQUITAN","JAQUITAN","N","10","CG852"
"3.EFFDZK","3.EFFDYP","UNUT ","EFFEC","NEXT ","2020-08-24 15:00:44","2020-08-24 15:00:44","JAQUITAN","JAQUITAN","N","10","CG852"
"Q+EDKVE0","Q+EDKVCZ","UNUT ","EFFEC","MNEXT","2020-07-19 17:38:20","2020-07-19 17:38:20","FJUSRAM ","FJUSRAM ","N","10","CG852"
"O;EGCFC5","O;EGCFBK","UNUT ","EFFEC","NEXT ","2020-09-11 11:30:21","2020-09-11 11:30:21","JAQUITAN","JAQUITAN","N","10",""
":MEDEX4J",":@EDDZTB","UNUT ","EFFEC","MNEXT","2020-07-16 12:59:29","2020-07-16 12:59:29","FJUSRAM ","FJUSRAM ","N","10","CG852"
"S#EESVR0","S#EESVPY","UNUT ","EFFEC","NEXT ","2020-08-12 11:35:57","2020-08-12 11:35:57","CMARTILL","CMARTILL","N","10","CG852"
"@+EFH6WQ","3MEFH2AH","UNUT ","EFFEC","NEXT ","2020-08-25 14:47:01","2020-08-25 14:47:01","LIQUSR03","LIQUSR03","N","10","CG852"
"Z;EF7YMJ","Z;EF7YLY","UNUT ","EFFEC","NEXT ","2020-08-20 15:33:45","2020-08-20 15:33:45","LIQUSR03","LIQUSR03","N","10",""
"(7EFGXMB","(7EFGXIA","UNUT ","EFFEC","NEXT ","2020-08-25 12:09:58","2020-08-25 12:09:58","CMARTILL","CMARTILL","N","10","CG852"
"#!EFTRP8","#!EFTROA","UNUT ","EFFEC","NEXT ","2020-09-01 09:34:13","2020-09-01 09:34:13","CMARTILL","CMARTILL","N","10","CG852"
"+IE8QQMC","+IE8QQLT","UNUT ","EFFEC","NEXT ","2020-04-16 08:57:43","2020-04-16 08:57:43","FJUSR01 ","FJUSR01 ","Y","2",""
"PPE67X2N","PPE67X24","UNUT ","EFFEC","NEXT ","2020-02-27 06:39:52","2020-02-27 06:39:52","RPTINP01","RPTINP01","N","10",""
":*EDFY1J",":*EDFXA8","UNUT ","EFFEC","MNEXT","2020-07-17 02:16:59","2020-07-17 02:16:59","FJUSRAM ","FJUSRAM ","N","10","CG852"
":*EDG1HY",":*EDG12Y","UNUT ","EFFEC","MNEXT","2020-07-17 03:31:35","2020-07-17 03:31:35","FJUSRAM ","FJUSRAM ","N","10","CG852"
"40EDZTEC","40EDZTD7","UNUT ","RETRO","NEXT ","2020-07-27 18:46:33","2020-07-27 18:46:33","INPCHER ","INPCHER ","Y","10","CG852"
";TEHGERB",";TEHGEQS","UNUT ","EFFEC","NEXT ","2020-10-03 01:01:48","2020-10-03 01:01:48","MIGGY_IN","MIGGY_IN","Y","2",""
"SOEI1ZQK","SOEI1ZPV","UNUT ","RETRO","NEXT ","2020-10-14 15:25:19","2020-10-14 15:25:19","SMANZANO","SMANZANO","Y","10",""
"XGEI24D9","XGEI24BO","UNUT ","RETRO","NEXT ","2020-10-14 19:19:07","2020-10-14 19:19:07","CESSINP1","CESSINP1","Y","10","CG852"
"I1EI276N","I1EI2752","UNUT ","RETRO","NEXT ","2020-10-14 20:02:43","2020-10-14 20:02:43","CESSINP1","CESSINP1","Y","10","CG852"
"#+EI35QU","#+EI35Q6","UNUT ","RETRO","NEXT ","2020-10-15 08:34:44","2020-10-15 08:34:44","SMANZANO","SMANZANO","Y","10","CG852"
":YEI3DUP",":YEI3DT4","UNUT ","RETRO","NEXT ","2020-10-15 11:42:31","2020-10-15 11:42:31","CESSINP1","CESSINP1","Y","10","CG852"
":6EI3GFA",":6EI3GEF","UNUT ","EFFEC","NEXT ","2020-10-15 11:59:13","2020-10-15 11:59:13","LIQUSR03","LIQUSR03","N","10","CG852"
"9EEK5YCA","9EEK5YAZ","UNUT ","RETRO","MNEXT","2020-11-24 18:35:58","2020-11-24 18:35:58","SKOUSR01","SKOUSR01","Y","10","CG852"
"9EEK5YCB","9EEK5YAZ","IPFEI","RETRO","MNEXT","2020-11-24 18:36:13","2020-11-24 18:36:13","SKOUSR01","SKOUSR01","Y","10","CG852"
"+TEHQIQC","+TEHQIIH","UNUT ","EFFEC","NEXT ","2020-10-08 13:36:08","2020-10-08 13:36:08","ARFELI01","ARFELI01","Y","2","CG852"
"F*EHSKCP","F*EHSKAE","UNUT ","EFFEC","NEXT ","2020-10-09 15:52:28","2020-10-09 15:52:28","ARFELI01","ARFELI01","Y","2","CG852"
"S4EI1RIH","S4EI1RHY","UNUT ","RETRO","NEXT ","2020-10-14 15:19:25","2020-10-14 15:19:25","JAQUITAN","JAQUITAN","Y","10",""
"I1EI279E","I1EI277T","UNUT ","RETRO","NEXT ","2020-10-14 20:34:18","2020-10-14 20:34:18","CESSINP1","CESSINP1","Y","10","CG852"
":YEI3FIT",":YEI3F1E","UNUT ","RETRO","NEXT ","2020-10-15 12:55:20","2020-10-15 12:55:20","CESSINP1","CESSINP1","Y","10","CG852"
"Q.EJEGN4","Q.EJEGLJ","UNUT ","RETRO","NEXT ","2020-11-09 21:52:59","2020-11-09 21:52:59","CESSINP1","CESSINP1","Y","10","CG852"
"ZUEJHTY8","ZUEJHS93","UNUT ","EFFEC","NEXT ","2020-11-11 15:01:40","2020-11-11 15:01:40","FOULISTR","FOULISTR","N","10","CB141"
"#XEHOQ7I","#XEHOQ6X","UNUT ","EFFEC","NEXT ","2020-10-07 11:22:02","2020-10-07 11:22:02","LIQSVR04","LIQSVR04","N","10","CG852"
"04EHQHRO","04EHQHQV","UNUT ","EFFEC","NEXT ","2020-10-08 13:14:57","2020-10-08 13:14:57","CMARTILL","CMARTILL","N","10",""
"+TEHQIBZ","+TEHQI9O","UNUT ","EFFEC","NEXT ","2020-10-08 13:19:44","2020-10-08 13:19:44","ARFELI01","ARFELI01","Y","2","CG852"
"AREHQR5Q","AREHQR3F","UNUT ","EFFEC","NEXT ","2020-10-08 15:29:08","2020-10-08 15:29:08","ARFELI01","ARFELI01","Y","2","CG852"
"4GEHSB0Z","4GEHSAYO","UNUT ","EFFEC","NEXT ","2020-10-09 11:33:56","2020-10-09 11:33:56","ARFELI01","ARFELI01","Y","2","CG852"
"4GEHSB3G","4GEHSB15","UNUT ","EFFEC","NEXT ","2020-10-09 11:59:22","2020-10-09 11:59:22","ARFELI01","ARFELI01","Y","2","CG852"
"4GEHSB5X","4GEHSB3M","UNUT ","EFFEC","NEXT ","2020-10-09 12:18:13","2020-10-09 12:18:13","ARFELI01","ARFELI01","Y","2","CG852"
"FYEHSEP2","FYEHSEG7","UNUT ","EFFEC","NEXT ","2020-10-09 14:04:17","2020-10-09 14:04:17","ARFELI01","ARFELI01","Y","2","CG852"
"F$EHSHT6","F$EHSHQV","UNUT ","EFFEC","NEXT ","2020-10-09 14:51:31","2020-10-09 14:51:31","ARFELI01","ARFELI01","Y","2","CG852"
