"FDE_CDE_FUND_DESK","FDE_DSC_FUND_DESK","FDE_IND_ACTIVE","FDE_IND_MAY_DEACT","FDE_CDE_CURRENCY","FDE_CDE_COUNTRY","FDE_UID_REC_CREATE","FDE_UID_REC_UPDATE","FDE_TSP_REC_CREATE","FDE_TSP_REC_UPDATE","FDE_PCT_TOLERANCE","FDE_CDE_OFFSET_EXP","FDE_TXT_TRS_CUTOFF"
"NOK  ","Norwegian Kroner              ","N","Y","NOK","NO   ","SMANZANO","SMANZANO","2020-10-21 16:55:12","2020-10-21 16:55:52","0","",""
"EUR  ","Europe (Amsterdam)            ","Y","Y","EUR","NL   ","BRIANMOK","BRIANMOK","2020-01-28 05:53:52","2020-01-28 05:53:52","0","",""
"AUD  ","Australian (Sydney)           ","Y","Y","AUD","AU   ","LOANIQ01","LOANIQ01","2014-02-18 11:51:42","2014-02-18 11:51:42","0","",""
"EURO ","Euro                          ","N","Y","EUR","EU   ","LS2BATCH","KANDERSO","1999-04-12 00:00:00","2018-05-18 00:00:00","0","",""
"NY   ","U.S. (New York)               ","Y","Y","USD","US   ","LS2BATCH","JCUSR01 ","1999-03-16 00:00:00","2020-09-07 12:42:02","0","",""
"EUROP","European                      ","N","Y","EUR","FR   ","LOANIQ01","KANDERSO","2014-02-18 00:00:00","2018-05-18 00:00:00","0","",""
"UK   ","U.K. (London)                 ","N","Y","GBP","GB   ","LOANIQ01","KANDERSO","2014-02-18 00:00:00","2018-05-18 00:00:00","0","",""
"ASIA ","Asia                          ","N","Y","USD","SG   ","GIBLINC ","JCUSR01 ","2019-05-21 09:49:57","2020-10-14 18:31:54","0","",""
"NZD  ","New Zealand                   ","Y","Y","NZD","NZ   ","LOANIQ01","LOANIQ01","2020-01-14 04:27:58","2020-01-14 04:27:58","0","",""
"GBP  ","U.K. (London)                 ","Y","Y","GBP","GB   ","FOULISTR","FOULISTR","2020-11-04 09:47:55","2020-11-04 09:48:30","0","",""
