"CMT_RID_COMMENT","CMT_UID_AUTHOR","CMT_TSP_REC_CREATE","CMT_TSP_REC_UPDATE","CMT_UID_REC_CREATE","CMT_UID_REC_UPDATE","CMT_CDE_CMT_SUBTYP","CMT_TID_TABLE_ID","CMT_RID_GENRIC_KEY","CMT_PID_DEAL","CMT_CID_CUST_ID","CMT_TXT_TTL_CMNT","CMT_TXT_COMMENT","CMT_CDE_BRANCH"
"?XEBVYF3","RPTINPAM","2020-06-16 20:37:01","2020-06-16 20:37:01","RPTINPAM","RPTINPAM","CPRIC","IDE","?XEBVYDH","?.EBVNFE","","Pricing Comment","Full Interest and Ongoing Fees.","CG852"
"FFEE38VN","INPCHER ","2020-07-29 14:58:42","2020-07-29 14:58:42","INPCHER ","INPCHER ","CPRIC","IDE","FFEE38VD","40EDZTD7","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
"FFEE38W7","INPCHER ","2020-07-29 15:00:49","2020-07-29 15:00:49","INPCHER ","INPCHER ","CPRIC","IDE","FFEE38VW","40EDZTD7","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
"H+EFJ2M3","LIQUSR03","2020-08-26 15:47:24","2020-08-26 15:47:24","LIQUSR03","LIQUSR03","GENRL","OTR","H+EFJ2JW","0REF4EYL","","MCP_OST_RLSED_TC007","MCP_OST_RLSED_TC007","CG852"
"YFEFEX4D","JCAPR01 ","2020-08-24 08:28:13","2020-08-24 08:28:13","JCAPR01 ","JCAPR01 ","OSTCT","OST","YFEFEX4C","","","Outstanding Changed","Released Loan Change Transaction - -Changed Repayment Schedule Sync Indicator from true to false.",""
"2OEFMVBA","LIQUSR05","2020-08-28 15:06:09","2020-08-28 15:06:09","LIQUSR05","LIQUSR05","GENRL","PTR","2OEFMVB4","V8EF4706","","Upfront Fee Payment from Borrower / Agen","UpFront Fee Payment","CG852"
"Z$EG8MR2","CMARTILL","2020-09-09 10:07:48","2020-09-09 10:07:48","CMARTILL","CMARTILL","GENRL","PCP","Z$EG8MQO","S#EESVPY","","Reverse Paper Clip for AMSTER BILAT DEAL","rev paperclip","CG852"
"K2EG78D6","CMARTILL","2020-09-08 17:01:51","2020-09-08 17:01:51","CMARTILL","CMARTILL","GENRL","PCP","K2EG78BG","S#EESVPY","","Reverse Paper Clip for AMSTER BILAT DEAL","MCP_OST_REV_RLSED_TC004 reversal","CG852"
"G$EGNIWG","JAQUITAN","2020-09-17 11:53:48","2020-09-17 11:53:48","JAQUITAN","JAQUITAN","GENRL","DAM","G$EGNIWD","9ZEF82FK","","Amendment","COMMENT","CG852"
"0JEGNQ0H","SMANZANO","2020-09-17 13:12:47","2020-09-17 13:12:47","SMANZANO","SMANZANO","GENRL","DAM","0JEGNQ0E","YZEFEWH5","","Amendment","Adding USD facility","CG852"
"0DEGNSPZ","SMANZANO","2020-09-17 13:32:51","2020-09-17 13:32:51","SMANZANO","SMANZANO","GENRL","PTR","0DEGNSPV","YZEFEWH5","","Upfront Fee Payment from Borrower / Agen","upfront fee payment USD","CG852"
