"ACN_CDE_ACCT_NUM","ACN_DSC_ACCT_NUM","ACN_IND_ACTIVE","ACN_IND_MAY_DEACT","ACN_TSP_REC_CREATE","ACN_TSP_REC_UPDATE","ACN_UID_REC_CREATE","ACN_UID_REC_UPDATE","ACN_IND_ON_BAL_SHT","ACN_CDE_SUBLEDGER","ACN_IND_VALID","ACN_CDE_ASSET_CLAS"
"28006000000    ","Interest Payable - Intercompany HB Borrower                           ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"46010001838    ","Facility Commitment Fee Income                                        ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","INCOM","",""
"46422001838    ","Facility Commitment Fee Income (Line Fee)                             ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","INCOM","",""
"22021001838    ","Fees Held Awaiting Disposition (FHAD)                                 ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","WIP  ","",""
"18129001838    ","Deferred Admin/Agency/Security Trustee Fee                            ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"12250001838    ","Position Discount (Deferred Upfront Fees)                             ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"46304001838    ","Amortised Interest Income (Upfront Fees)                              ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","INCOM","",""
"21288001838    ","Position Discount - Intercompany                                      ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"46423001838    ","Amortised Interest Income - Intercompany                              ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","INCOM","",""
"18063000000    ","Accounts Receivable - Suspense                                        ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","WIP  ","",""
"28098000000    ","Accounts Payable - Suspense                                           ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","WIP  ","",""
"28087000000    ","GST Payable Account                                                   ","N","Y","2019-04-03 23:44:18","2019-04-03 23:44:18","LS2BATCH","LS2BATCH","Y","TRANS","",""
"90238001838    ","Unused Commitment                                                     ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","LTD  ","",""
"90240001838    ","Unused Commitment Offset                                              ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","LTD  ","",""
"90239001816    ","L/C Principal Account - Perf Guarantee/SBLC                           ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"90239001817    ","L/C Principal Account - Financial Guarantee/SBLC                      ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"90239001815    ","L/C Principal Account - SFBG Performance Guarantee                    ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"90239001839    ","L/C Principal Account - SFBG Financial Guarantee                      ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"90239001838    ","L/C Sold - NHB Share of L/C Principal                                 ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"90241001838    ","L/C Principal Offset - Full Amount of L/C                             ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","N","BAL  ","",""
"50472000000    ","Treasury Loan Interest Expense - Intercompany                         ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","Y","INCOM","",""
"21140000000    ","Treasury Loan Accrued Interest Payable - Intercompany                 ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","Y","INCOM","",""
"21138000000    ","Loan from Treasury - Intercompany                                     ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","Y","TRANS","",""
"56260001838    ","Legal Fees                                                            ","N","Y","2019-04-03 23:44:19","2019-04-03 23:44:19","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FEESSYAGPNL    ","Syndication & Agency Fees - GST Exclusive                             ","Y","Y","2019-04-04 18:05:25","2019-04-04 18:05:25","KANDERSO","KANDERSO","Y","INCOM","",""
"CASHMIGSUSP    ","Loan IQ Migration Use ONLY                                            ","Y","Y","2019-06-26 03:57:03","2019-06-26 03:57:03","ADM_PETE","ADM_PETE","Y","TRANS","",""
"GLDDFI         ","Drop Dead Fee Income                                                  ","N","Y","2014-01-13 17:17:03","2020-11-03 07:23:14","LS2BATCH","LS2BATCH","Y","INCOM","",""
"CASHNOSTCLR    ","Loan IQ Cash Clearing with SAP                                        ","Y","Y","2019-04-03 23:44:08","2019-04-03 23:44:08","LS2BATCH","LS2BATCH","Y","TRANS","",""
"LOANPRNEVAR    ","Loan Principal - Variable                                             ","Y","Y","2019-04-03 23:44:08","2019-04-03 23:44:08","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANPRNEFIX    ","Loan Principal - Fixed                                                ","Y","Y","2019-04-03 23:44:08","2019-04-03 23:44:08","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANPRNIVAR    ","Loan Principal - Intergroup Variable                                  ","Y","Y","2019-04-03 23:44:08","2019-04-03 23:44:08","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANPRNIFIX    ","Loan Principal - Intergroup Fixed                                     ","Y","Y","2019-04-03 23:44:08","2019-04-03 23:44:08","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANINTEVAR    ","Interest Receivable - Loans Variable                                  ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANINTEFIX    ","Interest Receivable - Loans Fixed                                     ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANINTIVAR    ","Interest Receivable - Intergroup Variable                             ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"LOANINTIFIX    ","Interest Receivable - Intergroup Fixed                                ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"FEESSBLCREC    ","Fees Receivable - SBLC Fee                                            ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"FEESIBLDREC    ","Fees Receivable - IB Lending Fee                                      ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"INCMINTEVAR    ","Interest Income - Loans Variable                                      ","Y","Y","2019-04-03 23:44:09","2019-04-03 23:44:09","LS2BATCH","LS2BATCH","Y","INCOM","",""
"ZZTIOFFSREC    ","L/C Principal Offset                                                  ","Y","Y","2020-11-04 14:06:51","2020-11-04 14:06:51","FOULISTR","FOULISTR","N","BAL  ","",""
"ZZTISOLDREC    ","L/C Sold                                                              ","Y","Y","2020-11-04 14:07:18","2020-11-04 14:07:18","FOULISTR","FOULISTR","N","BAL  ","",""
"ZZTITRADEREC   ","L/C Principal Account                                                 ","Y","Y","2020-11-04 14:05:51","2020-11-04 14:05:51","FOULISTR","FOULISTR","N","BAL  ","",""
"INCMINTEFIX    ","Interest Income - Loans Fixed                                         ","Y","Y","2019-04-03 23:44:10","2019-04-03 23:44:10","LS2BATCH","LS2BATCH","Y","INCOM","",""
"INCMINTIVAR    ","Interest Income - Intergroup Variable                                 ","Y","Y","2019-04-03 23:44:10","2019-04-03 23:44:10","LS2BATCH","LS2BATCH","Y","INCOM","",""
"INCMINTIFIX    ","Interest Income - Intergroup Fixed                                    ","Y","Y","2019-04-03 23:44:10","2019-04-03 23:44:10","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FEESDCMKPNL    ","Debt Capital Markets Income (Excluding Agency)                        ","Y","Y","2019-04-03 23:44:12","2019-04-03 23:44:12","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FEESBREKPNL    ","Break Cost Fee Account                                                ","Y","Y","2019-04-03 23:44:12","2019-04-03 23:44:12","LS2BATCH","LS2BATCH","Y","INCOM","",""
"GFEESFBPPNL    ","Guarantee Fee Income - SFBG Perf                                      ","Y","Y","2019-04-03 23:44:12","2019-04-05 15:35:37","LS2BATCH","KANDERSO","Y","INCOM","",""
"GFEEPERFPNL    ","Guarantee Fee Income - Performance                                    ","Y","Y","2019-04-03 23:44:12","2019-04-03 23:44:12","LS2BATCH","LS2BATCH","Y","INCOM","",""
"GFEEFINCPNL    ","Guarantee Fee Income - Finance                                        ","Y","Y","2019-04-03 23:44:12","2019-04-03 23:44:12","LS2BATCH","LS2BATCH","Y","INCOM","",""
"GFEESFBFPNL    ","Guarantee Fee Income - SFBG Finance                                   ","Y","Y","2019-04-03 23:44:12","2019-04-03 23:44:12","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FFEECOMMPNL    ","Facility Commitment Fee Income                                        ","Y","Y","2019-04-03 23:44:13","2019-04-03 23:44:13","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FEELINEPNL     ","Facility Commitment Fee Income (Line Fee)                             ","N","Y","2019-04-03 23:44:13","2019-04-03 23:44:13","LS2BATCH","LS2BATCH","Y","INCOM","",""
"FEESFHADPAY    ","Fees Held Awaiting Disposition                                        ","Y","Y","2019-04-03 23:44:13","2019-04-03 23:44:13","LS2BATCH","LS2BATCH","Y","WIP  ","",""
"FEESDEFRREC    ","Deferred Admin/Agency/Security Trustee Fee (B/S)                      ","Y","Y","2019-04-03 23:44:13","2019-04-05 15:36:30","LS2BATCH","KANDERSO","Y","BAL  ","",""
"FEESPDISREC    ","Position Discount (Deferred Upfront Fee)                              ","Y","Y","2019-04-03 23:44:13","2019-04-03 23:44:13","LS2BATCH","LS2BATCH","Y","BAL  ","",""
"FEESAMIIPNL    ","Amortised Interest Income (Upfront Fees)                              ","Y","Y","2019-04-03 23:44:13","2019-04-03 23:44:13","LS2BATCH","LS2BATCH","Y","INCOM","",""
