"CLM_RID_GL_CLASS","CLM_NUM_SORT_ORDER","CLM_CDE_LEGAL_CODE","CLM_CDE_RISK_TYPE","CLM_CDE_TAX_STATUS","CLM_CDE_COLLA_TYPE","CLM_IND_REV_EXP","CLM_CDE_SIC_MAP","CLM_CDE_LOAN_PURSE","CLM_IND_MATCHED","CLM_CDE_GL_FED","CLM_CDE_GL_MAP","CLM_IND_ACTIVE","CLM_IND_MAY_DEACT","CLM_UID_REC_CREATE","CLM_UID_REC_UPDATE","CLM_TSP_REC_CREATE","CLM_TSP_REC_UPDATE"
"$VEJ4SJL","5","","T1   ","","","","","","","T1   ","T1   ","Y","Y","FOULISTR","FOULISTR","2020-11-04 14:01:04","2020-11-04 14:01:16"
"YIB41054","11","","","","","","","","","OTHER","OTHER","Y","Y","LOANIQ01","FOULISTR","2014-04-17 13:00:48","2020-11-04 14:01:16"
"A$DPARMV","1","AFFIL","FIXED","","","","","","","INFIX","INFIX","Y","Y","KANDERSO","KANDERSO","2019-04-04 16:49:03","2019-04-04 16:49:17"
"A$DPARMX","2","AFFIL","","","","","","","","INVAR","INVAR","Y","Y","KANDERSO","KANDERSO","2019-04-04 16:49:32","2019-04-04 16:49:42"
"A$DPARMZ","3","","FIXED","","","","","","","FIXED","FIXED","Y","Y","KANDERSO","KANDERSO","2019-04-04 16:50:05","2019-04-04 16:50:05"
"A$DPARN1","4","","C1   ","","","","","","","C1   ","C1   ","Y","Y","KANDERSO","KANDERSO","2019-04-04 16:50:25","2019-04-04 16:50:25"
"A$DPARN3","7","","C3   ","","","","","","","C3   ","C3   ","Y","Y","KANDERSO","FOULISTR","2019-04-04 16:50:42","2020-11-04 14:01:16"
"A$DPARN5","6","","C2   ","","","","","","","C2   ","C2   ","Y","Y","KANDERSO","FOULISTR","2019-04-04 16:51:03","2020-11-04 14:01:16"
"A$DPARN7","8","","C4   ","","","","","","","C4   ","C4   ","Y","Y","KANDERSO","FOULISTR","2019-04-04 16:51:20","2020-11-04 14:01:16"
"A$DPARN9","9","","S1   ","","","","","","","S1   ","S1   ","Y","Y","KANDERSO","FOULISTR","2019-04-04 16:51:41","2020-11-04 14:01:16"
"A$DPARNB","10","","S2   ","","","","","","","S2   ","S2   ","Y","Y","KANDERSO","FOULISTR","2019-04-04 16:51:57","2020-11-04 14:01:16"
