"SNM_CDE_GL_SHTNAME","SNM_DSC_GL_SHTNAME","SNM_CDE_MAP_PROCES","SNM_CDE_GL_GROUPNG","SNM_IND_HIGH_LEVEL","SNM_IND_MGL_ALLOW","SNM_IND_PORTPOS_AG","SNM_CDE_SUBLGR_BAL","SNM_CDE_NATURL_BAL","SNM_IND_INC_GL_AGR"
"FEERI","Fee Receivable Impaired Account                   ","ACCT ","FEERC","N","N","N","BAL  ","DR   ",""
"FEEFO","Fee Foregone Account                              ","ACCT ","FEEIN","N","Y","N","INCOM","CR   ",""
"DISCP","Discount Process","PL   ","","Y","N","N","","",""
"ARRAN","Arranger Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"STRUN","Structuring Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"STRUC","Service Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"WORKF","Work Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"UTILI","Indemnity Fee - Usage","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SWIFT","International Money Transfer","CAMAP","","N","N","N","TRANS","CR   ","N"
"RTGS ","RTGS (AUD)","CAMAP","","N","N","N","TRANS","CR   ","N"
"UNUTI","Indemnity Fee - Commitment","ACCT ","","N","Y","N","INCOM","CR   ","N"
"FACII","Indemnity Fee - Line","ACCT ","","N","Y","N","INCOM","CR   ","N"
"DOSAI","Def Outst Unamort Discount","ACCT ","DOSAI","N","N","N","BAL  ","CR   ","N"
"DPLSL","Def. P&L on Sale Process","PL   ","","Y","N","N","","",""
"DPLTR","Def. P&L on Transfer Process","PL   ","","Y","N","N","","",""
"DRDAI","Def Re-Discount Unamort Spread","ACCT ","DRDAI","N","N","N","BAL  ","CR   ","N"
"DRPDF","Drop Dead Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"DSCSH","Discount Short","ACCT ","DPSHT","N","N","N","BAL  ","DR   ",""
"DSCSP","Discount Process - Short","PL   ","","Y","N","N","","","N"
"DTBNY","Due to/from","ACCT ","","N","Y","N","TRANS","CR   ","N"
"DTBOC","Due to/from BT of Canada","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTBTC","Due to/from BTC","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTDCI","Due to/from BT Del. Cayman Is.","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTDEL","Due to/from BT Delaware","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTHLD","Due to/from BT Holdings","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTIBF","Due to/from BT IBF","ACCT ","","N","Y","N","TRANS","CR   ",""
"DTLON","Due to/from BT London","ACCT ","","N","Y","N","TRANS","CR   ",""
"ECAPL","ECA Premium Loss","ACCT ","","N","Y","N","INCOM","CR   ","N"
"ECAPP","ECA Premium Paid","WIP  ","ECAPP","N","Y","N","WIP  ","DR   ","N"
"ECAPR","ECA Premium Profit","ACCT ","","N","Y","N","INCOM","CR   ","N"
"ECPTR","ECA Premium to be Received","WIP  ","ECAPP","N","Y","N","WIP  ","CR   ","N"
"EFAIN","Event Fee Amort Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"ENTIF","Enticement Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"ESCRW","Escrow Deposit Account","WIP  ","","N","Y","N","WIP  ","CR   ",""
"FACIF","Facility Commitment Fee Inc","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"FDCLG","Funding Clearing","ACCT ","","N","N","N","TRANS","CR   ","N"
"FEEEX","Fee Expense Process","FEE  ","FEEIN","Y","N","Y","","","N"
"FEEIN","Fee Income Process","FEE  ","","Y","N","N","","",""
"FEEPY","Fee Payable Account","ACCT ","FEEPY","N","N","N","BAL  ","CR   ","N"
"FEERC","Fee Rec. Account","ACCT ","FEERC","N","N","N","BAL  ","DR   ",""
