"IMT_RID_IMT_OUT","IMT_CDE_MSG_TYPE","IMT_RID_OWNER","IMT_CDE_OWNER_TYPE","IMT_RID_CASHFLOW","IMT_CDE_CURRENCY","IMT_AMT_OUT_TOT","IMT_TSP_REC_CREATE","IMT_TSP_REC_UPDATE","IMT_UID_REC_CREATE","IMT_UID_REC_UPDATE","IMT_CDE_INST_CODE","IMT_TXT_REG_REF","IMT_TXT_ADD_INFO","IMT_TSP_ITEM_SENT","IMT_DTE_BUSINESS","IMT_DTE_VALUE_DATE","IMT_PID_DEAL","IMT_PID_FACILITY","IMT_NUM_SEQUENCE","IMT_CDE_QUEUE_STAT","IMT_CDE_BRANCH","IMT_CDE_SERVICE","IMT_CDE_DTLS_CHGES","IMT_IND_SDAY_FUNDS","IMT_CDE_BNK_OP","IMT_TXT_ADD_PARTY","IMT_TXT_PAYMT_DTLS","IMT_TXT_SDR_RVR_TX","IMT_DSC_NARRATIVE","IMT_TXT_UETR_CDE"
"3#E9RTT0","MT103","3ME9RTDT","ACP  ","3ME9RTFN","AUD","32.88","2020-05-06 17:48:03","2020-05-06 17:48:03","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","550dd4ea-89e7-4ae0-8719-566dfa100655"
"3#E9RTT7","MT202","3ME9RTDT","ACP  ","3ME9RTFN","AUD","32.88","2020-05-06 17:48:03","2020-05-06 17:48:03","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","550dd4ea-89e7-4ae0-8719-566dfa100655"
"3#E9RTTK","MT202","3ME9RTDT","ACP  ","3ME9RTFP","AUD","16.44","2020-05-06 17:48:03","2020-05-06 17:48:03","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","38826a0c-f5a4-44ed-a232-c190c215a46f"
"3#E9RTTD","MT103","3ME9RTDT","ACP  ","3ME9RTFP","AUD","16.44","2020-05-06 17:48:03","2020-05-06 17:48:03","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","BEN  ","","SPRI "," "," "," "," ","38826a0c-f5a4-44ed-a232-c190c215a46f"
"3#E9RTYM","MT103","3ME9RT8M","ACP  ","3ME9RTAI","AUD","6558.9","2020-05-06 17:49:32","2020-05-06 17:49:32","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","BEN  ","","SPRI "," "," "," "," ","45ff3fed-1a63-4793-9d3e-70bf34b961a0"
"3#E9RTYT","MT202","3ME9RT8M","ACP  ","3ME9RTAI","AUD","6558.9","2020-05-06 17:49:32","2020-05-06 17:49:32","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","45ff3fed-1a63-4793-9d3e-70bf34b961a0"
"3#E9RTYG","MT202","3ME9RT8M","ACP  ","3ME9RTAG","AUD","4898.63","2020-05-06 17:49:32","2020-05-06 17:49:32","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","327e6638-77c4-4024-a83a-e2bf44c189d6"
"3#E9RTY9","MT103","3ME9RT8M","ACP  ","3ME9RTAG","AUD","4898.63","2020-05-06 17:49:32","2020-05-06 17:49:32","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","327e6638-77c4-4024-a83a-e2bf44c189d6"
"W7EAFEPL","MT202","WDEAFCK6","LRP  ","WDEAFD4B","AUD","150000","2020-05-19 10:14:05","2020-05-19 10:14:05","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","a874e189-531b-4369-b500-05bc6f627d81"
"W7EAFEPE","MT103","WDEAFCK6","LRP  ","WDEAFD4B","AUD","150000","2020-05-19 10:14:05","2020-05-19 10:14:05","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","BEN  ","","SPRI "," "," "," "," ","a874e189-531b-4369-b500-05bc6f627d81"
