"IMR_RID_SWFT_ROLE","IMR_CDE_SWFT_RTYP","IMR_RID_REM_INSTR","IMR_CDE_OWNER_TYPE","IMR_UID_REC_CREATE","IMR_UID_REC_UPDATE","IMR_TSP_REC_CREATE","IMR_TSP_REC_UPDATE","IMR_RID_SWFT_ID","IMR_TXT_ACCT_NO","IMR_TXT_CLG_CODE","IMR_TXT_TELEX_NO","IMR_TXT_ANSWRBACK","IMR_CDE_LOCCL_TYPE","IMR_TXT_DESC","IMR_CDE_BRANCH"
"A4E8XPYK","BENCR","A4E8XPYJ","IRI  ","APP1MANS","APP1MANS","2020-04-20 03:41:30","2020-04-20 03:41:30","","","","","","","CUSTLEGAL21154",""
"KIE9B4EU","BENCR","KIE9B4ET","IRI  ","RPTINP01","RPTINP01","2020-04-27 17:32:52","2020-04-27 17:32:52","","","","","","","ESPS11413431",""
"KIE9B4EV","ORCSR","KIE9B4ET","IRI  ","RPTINP01","RPTINP01","2020-04-27 17:32:52","2020-04-27 17:32:52","","","","","","","ESPS11413431",""
"KIE9B4UQ","BENIN","KIE9B4UP","IRI  ","RPTINP01","RPTINP01","2020-04-27 17:33:07","2020-04-27 17:33:07","","","","","","","ESPS11413431",""
"GEEDOPSX","ORCSR","GEEDOPSV","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:49:25","2020-07-21 18:49:25","","","","","","","CUSTLEGAL55127",""
"GEEDOPSW","BENCR","GEEDOPSV","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:49:25","2020-07-21 18:49:25","","","","","","","CUSTLEGAL55127",""
"GEEDOQ11","ORCSR","GEEDOQ0Z","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:50:25","2020-07-21 18:50:25","","","","","","","CUSTLEGAL55127",""
"GEEDOQ10","BENCR","GEEDOQ0Z","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:50:25","2020-07-21 18:50:25","","","","","","","CUSTLEGAL55127",""
"ZXEF80SZ","BENCR","ZXEF80SY","IRI  ","JAQUITAN","JAQUITAN","2020-08-20 15:37:52","2020-08-20 15:37:52","","","","","","","WSS Janice",""
"ZXEF80T0","ORCSR","ZXEF80SY","IRI  ","JAQUITAN","JAQUITAN","2020-08-20 15:37:52","2020-08-20 15:37:52","","","","","","","WSS Janice",""
"9:EF86H5","BENCR","9:EF86H4","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:37:34","2020-08-20 17:37:34","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"9:EF86PC","ACWIN","9:EF86H4","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:37:34","2020-08-20 17:37:34","@*DZF8R7","","","","","","",""
"9:EF86XA","BENCR","9:EF86X9","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:39:42","2020-08-20 17:39:42","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"9:EF86XB","ORCSR","9:EF86X9","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:39:42","2020-08-20 17:39:42","","","","","","","ARIHANT TRADING COMPANY",""
"9:EF875H","ACWIN","9:EF86X9","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:39:42","2020-08-20 17:39:42","@*DZF8R7","","","","","","",""
")OEF88XT","ORCSR",")OEF88XR","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:35:50","2020-08-20 18:35:50","","","","","","","ARIHANT TRADING COMPANY",""
"9:EF86H6","ORCSR","9:EF86H4","IRI  ","ALNINP01","ALNINP01","2020-08-20 17:37:34","2020-08-20 17:37:34","","","","","","","ARIHANT TRADING COMPANY",""
")OEF88XS","BENCR",")OEF88XR","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:35:50","2020-08-20 18:35:50","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")OEF895Z","ACWIN",")OEF88XR","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:35:50","2020-08-20 18:35:50","@*DZF8R7","","","","","","",""
")OEF89DX","BENCR",")OEF89DW","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:38:05","2020-08-20 18:38:05","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")OEF89DY","ORCSR",")OEF89DW","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:38:05","2020-08-20 18:38:05","","","","","","","ARIHANT TRADING COMPANY",""
")OEF89M4","ACWIN",")OEF89DW","IRI  ","MGRALN01","MGRALN01","2020-08-20 18:38:05","2020-08-20 18:38:05","@*DZF8R7","","","","","","",""
")XEF8B8U","ORCSR",")XEF8B8S","IRI  ","INPALN01","INPALN01","2020-08-20 19:02:18","2020-08-20 19:02:18","","","","","","","ARIHANT TRADING COMPANY",""
")XEF8B8T","BENCR",")XEF8B8S","IRI  ","INPALN01","INPALN01","2020-08-20 19:02:18","2020-08-20 19:02:18","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")XEF8BH0","ACWIN",")XEF8B8S","IRI  ","INPALN01","INPALN01","2020-08-20 19:02:18","2020-08-20 19:02:18","@*DZF8R7","","","","","","",""
")XEF8BOY","BENCR",")XEF8BOX","IRI  ","INPALN01","INPALN01","2020-08-20 19:04:38","2020-08-20 19:04:38","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")XEF8BOZ","ORCSR",")XEF8BOX","IRI  ","INPALN01","INPALN01","2020-08-20 19:04:38","2020-08-20 19:04:38","","","","","","","ARIHANT TRADING COMPANY",""
")XEF8BX5","ACWIN",")XEF8BOX","IRI  ","INPALN01","INPALN01","2020-08-20 19:04:38","2020-08-20 19:04:38","@*DZF8R7","","","","","","",""
")?EF8989","BENCR",")?EF8988","IRI  ","SMANZANO","SMANZANO","2020-08-20 19:06:13","2020-08-20 19:06:13","","","","","","","AMS CUSTOMER",""
")?EF898A","ORCSR",")?EF8988","IRI  ","SMANZANO","SMANZANO","2020-08-20 19:06:13","2020-08-20 19:06:13","","","","","","","AMS CUSTOMER",""
")?EF89FZ","BENIN",")?EF89FY","IRI  ","SMANZANO","SMANZANO","2020-08-20 19:06:41","2020-08-20 19:06:41","","","","","","","AMS CUSTOMER",""
")VEF8DJX","ORCSR",")VEF8DJV","IRI  ","INPALN01","INPALN01","2020-08-20 19:36:15","2020-08-20 19:36:15","","","","","","","ARIHANT TRADING COMPANY",""
"GZEF480D","ORCSR","GZEF480B","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:24:56","2020-08-18 15:24:56","","","","","","","MNC COMPANY LTD",""
"GZEF480C","BENCR","GZEF480B","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:24:56","2020-08-18 15:24:56","","/66000012345678                         ","","","","","MNC COMPANY LTD",""
"GZEF488J","ACWIN","GZEF480B","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:24:56","2020-08-18 15:24:56","@*DZF8R7","","","","","","MNC COMPANY LTD",""
"GZEF48GI","ORCSR","GZEF48GG","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:26:43","2020-08-18 15:26:43","","","","","","","MNC COMPANY LTD",""
"GZEF48GH","BENCR","GZEF48GG","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:26:43","2020-08-18 15:26:43","","/66000012345678                         ","","","","","MNC COMPANY LTD",""
"GZEF48OO","ACWIN","GZEF48GG","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:26:43","2020-08-18 15:26:43","@*DZF8R7","","","","","","MNC COMPANY LTD",""
"GZEF48WN","ORCSR","GZEF48WL","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:28:30","2020-08-18 15:28:30","","","","","","","MNC COMPANY LTD",""
"GZEF48WM","BENCR","GZEF48WL","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:28:30","2020-08-18 15:28:30","","/08888812345678                         ","","","","","MNC COMPANY LTD",""
"GZEF494T","ACWIN","GZEF48WL","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:28:30","2020-08-18 15:28:30","41660452","","","","","","MNC COMPANY LTD",""
"GZEF49CR","BENCR","GZEF49CQ","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:30:17","2020-08-18 15:30:17","","/08888812345678                         ","","","","","MNC COMPANY LTD",""
"GZEF49CS","ORCSR","GZEF49CQ","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:30:17","2020-08-18 15:30:17","","","","","","","MNC COMPANY LTD",""
"GZEF49KY","ACWIN","GZEF49CQ","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:30:17","2020-08-18 15:30:17","41660452","","","","","","",""
"GZEF49SW","BENIN","GZEF49SV","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:32:06","2020-08-18 15:32:06","","","","","","","MNC COMPANY LTD",""
"GZEF4A2C","ACWIN","GZEF49SV","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:32:06","2020-08-18 15:32:06","41812865","","//SC700225          ","","","","MNC COMPANY LTD",""
"GZEF4A5H","BENCR","GZEF49SV","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:32:06","2020-08-18 15:32:06","","","","","","","MNC COMPANY LTD",""
"GZEF4A8J","ORCSR","GZEF49SV","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:32:06","2020-08-18 15:32:06","","","","","","","MNC COMPANY LTD",""
"GZEF4ADU","ORCSR","GZEF4ADS","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:33:12","2020-08-18 15:33:12","","","","","","","MNC COMPANY LTD",""
"GZEF4ADT","BENCR","GZEF4ADS","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:33:12","2020-08-18 15:33:12","","/4237218260                             ","","","","","MNC COMPANY LTD",""
"GZEF4AM4","RCCOR","GZEF4ADS","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:33:12","2020-08-18 15:33:12","41812865","","//SC700225          ","","","","MNC COMPANY LTD",""
"GZEF4ATY","BENIN","GZEF4ATX","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:34:39","2020-08-18 15:34:39","","","","","","","MNC COMPANY LTD 1413932",""
