"IRT_CDE_INTRTG_TYP","IRT_CDE_INTRL_RTG","IRT_PCT_INTRL_RTG","IRT_DTE_RATING_EFF","IRT_TSP_REC_CREATE","IRT_TSP_REC_UPDATE","IRT_UID_REC_CREATE","IRT_UID_REC_UPDATE","IRT_RID_INTRL_RTG","IRT_AMT_INTRL_RTG","IRT_CID_CUST_ID","IRT_PID_PRODUCT_ID","IRT_CDE_PROD_TYPE","IRT_DTE_RATING_EXP","IRT_TXT_INTRL_RTG","IRT_CDE_BRANCH"
"INTLR","E1   ","1","2020-09-08 00:00:00","2020-08-18 15:58:36","2020-08-18 15:58:36","ALNINP01","ALNINP01","V+EF49L8","","V+EF49HF","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-19 10:50:30","2020-08-19 10:50:30","RONINP01","RONINP01","!3EF5RIS","","ALEF5OUC","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-19 19:52:28","2020-08-19 19:52:28","INPRON01","INPRON01","KGEF6IK3","","KQEF6H17","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-24 08:22:47","2020-08-24 08:22:47","ALNINP01","ALNINP01","YPEFEVVK","","YPEFEVVD","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-24 09:57:05","2020-08-24 09:57:05","INPALN01","INPALN01","Y3EFEZQI","","Y3EFEZQB","","",""," ",""
"INTLR","D1   ","1","2020-09-10 00:00:00","2020-08-24 10:56:42","2020-08-24 10:56:42","JOBINP  ","JOBINP  ","Y?EFF2EK","","Y?EFF2ED","","",""," ",""
"INTLR","D1   ","1","2020-09-10 00:00:00","2020-08-25 09:58:02","2020-08-25 09:58:02","INPRON01","INPRON01","(IEFGRQ4","","(IEFGRPX","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-25 15:58:26","2020-08-25 15:58:26","INPALN01","INPALN01","CTEFHBUT","","CTEFHBUM","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-27 13:55:11","2020-08-27 13:55:11","INPALN01","INPALN01","?NEFKRYD","","?NEFKRY6","","",""," ",""
"INTLR","D1   ","1","2020-09-10 00:00:00","2020-08-27 18:02:46","2020-08-27 18:02:46","JOBINP  ","JOBINP  ","N?EFL3F4","","N?EFL3EX","","",""," ",""
"INTLR","D1   ","1","2018-11-28 00:00:00","2020-09-01 10:37:23","2020-09-01 10:37:23","INPROS01","INPROS01","#ZEFTUUB","","#ZEFTUU3","","","2021-11-26 00:00:00"," ",""
"INTLR","E1   ","1","2018-11-28 00:00:00","2020-08-18 10:45:50","2020-08-18 10:45:50","ALNINP01","ALNINP01","LUEF3WI1","","LUEF3WHP","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-20 20:53:14","2020-08-20 20:53:14","INPRON01","INPRON01","E8EF8FPE","","E8EF8FP7","","",""," ",""
"INTLR","E1   ","1","2018-11-23 00:00:00","2020-08-19 08:18:00","2020-08-19 08:18:00","ALNINP01","ALNINP01","A1EF5M5E","","A1EF5M56","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-20 18:20:45","2020-08-20 18:20:45","INPRON01","INPRON01",")3EF892N","",")3EF892G","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-21 07:48:45","2020-08-21 07:48:45","INPRON01","INPRON01","EBEF9AE2","","EBEF9ADV","","",""," ",""
"INTLR","E1   ","1","2018-11-28 00:00:00","2020-08-26 12:47:48","2020-08-26 12:48:34","INPALN01","INPALN01","1KEFIX0M","","1KEFIX0F","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-26 15:28:16","2020-08-26 15:28:16","INPALN01","INPALN01","=UEFJ4XC","","=UEFJ4X5","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-26 18:17:32","2020-08-26 18:17:32","INPALN01","INPALN01","$#EFJ9IA","","$#EFJ9I3","","",""," ",""
"INTLR","D1   ","1","2020-09-11 00:00:00","2020-08-27 19:38:33","2020-08-27 19:38:33","INPAMT01","INPAMT01","XOEFL7QH","","XOEFL7K0","","",""," ",""
"INTLR","E1   ","1","2020-09-11 00:00:00","2020-08-28 11:15:12","2020-08-28 11:15:12","INPALN01","INPALN01","I2EFMH4A","","I2EFMH43","","",""," ",""
"INTLR","D1   ","1","2020-09-10 00:00:00","2020-08-26 17:14:37","2020-08-26 17:14:37","JOBINP  ","JOBINP  ","=REFJ6EO","","=REFJ68W","","",""," ",""
"INTLR","E1   ","1","2018-06-15 00:00:00","2020-09-09 13:59:26","2020-09-09 13:59:26","INPALN01","INPALN01","9:EG8XBD","","9:EG8XB6","","",""," ",""
"INTLR","A0   ","1","2020-05-27 00:00:00","2020-08-12 10:51:19","2020-08-12 10:51:19","CMARTILL","CMARTILL","SIEESUTV","","SIEESUTN","","",""," ",""
"INTLR","E1   ","1","2018-11-28 00:00:00","2020-08-14 12:11:27","2020-08-14 12:11:27","ALNSUP01","ALNSUP01","#.EEWMPU","","#.EEWMPJ","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-25 14:56:07","2020-08-25 14:56:07","INPALN01","INPALN01","@*EFH8X7","","@*EFH8X0","","",""," ",""
"INTLR","D1   ","1","2021-09-15 00:00:00","2020-10-30 12:03:05","2020-10-30 12:03:05","DANUSR01","DANUSR01","RIEIV8S4","","RIEIV8RR","","",""," ",""
"INTLR","D1   ","1","2013-04-02 00:00:00","2020-01-22 11:52:05","2020-01-22 11:52:05","RPTINP01","RPTINP01","?ZE4CIAI","","?ZE4CIA6","","",""," ",""
"INTLR","D1   ","1","2020-09-09 00:00:00","2020-08-19 16:35:59","2020-08-19 16:35:59","INPRON01","INPRON01","KREF69EF","","KREF69E8","","",""," ",""
"INTLR","E1   ","1","2020-05-06 00:00:00","2020-08-26 13:40:14","2020-08-26 13:40:14","INPALN01","INPALN01","1MEFJ055","","1MEFJ04Y","","",""," ",""
"INTLR","E1   ","1","2020-09-10 00:00:00","2020-08-27 16:46:42","2020-08-27 16:46:42","INPALN01","INPALN01","7NEFL00L","","7NEFL00E","","",""," ",""
"INTLR","D1   ","1","2020-10-14 00:00:00","2020-09-08 15:16:16","2020-09-08 15:16:16","INPAMT01","INPAMT01","FCEG76RV","","FCEG76R8","","",""," ",""
"INTLR","D1   ","1","2020-10-15 00:00:00","2020-09-11 17:11:56","2020-09-11 17:11:56","INPROS01","INPROS01","Y0EGCUAO","","CAEFH7KI","","","2020-11-17 00:00:00"," ",""
