"IFA_IID_INV_ID","IFA_PID_FACILITY","IFA_FID_FAC_INV_ID","IFA_CDE_CURRENCY","IFA_AMT_CLOSE","IFA_AMT_PRE_CLOSE","IFA_AMT_CURRENT","IFA_TSP_REC_CREATE","IFA_TSP_REC_UPDATE","IFA_UID_REC_CREATE","IFA_UID_REC_UPDATE","IFA_PID_DEAL","IFA_PCT_INV_PRICE","IFA_PCT_SKIM_INT","IFA_AMT_DISCOUNT","IFA_PCT_DEAL_FXRTE","IFA_CDE_INT_TYPE","IFA_RID_SWAP_TRAN","IFA_CDE_BRANCH"
"?XEBVYDH","?REBVOYO","?XEBVYDW","EUR","400000000","400000000","400000000","2020-06-16 20:38:26","2020-06-16 20:47:35","RPTINPAM","RPTSUPAM","?.EBVNFE","1","0","0","1","SKIM ","","CG852"
"?XEBVYDH","?XEBVXIH","?XEBVYDV","EUR","200000000","200000000","200000000","2020-06-16 20:38:26","2020-06-16 20:47:35","RPTINPAM","RPTSUPAM","?.EBVNFE","1","0","0","1","SKIM ","","CG852"
"SUEBXP74","SUEBXL18","SUEBXP7C","EUR","200000000","200000000","200000000","2020-06-17 19:13:39","2020-06-17 19:19:44","RPTINPAM","RPTSUPAM","SUEBXL0I","1","0","0","1","SKIM ","","CG852"
"SUEBXP74","SUEBXL2B","SUEBXP7D","EUR","300000000","300000000","300000000","2020-06-17 19:13:39","2020-06-17 19:19:44","RPTINPAM","RPTSUPAM","SUEBXL0I","1","0","0","1","SKIM ","","CG852"
"Q(EDHBLY","Q4EDGQL9","Q(EDHBM9","EUR","50000000","50000000","50000000","2020-07-17 20:40:32","2020-07-19 16:58:18","FJUSRAM ","FJMGRAM ",":*EDG12Y","1","0","0","1","SKIM ","","CG852"
"Q(EDHBLY","QFEDH1QH","Q(EDHBMA","EUR","20000000","20000000","20000000","2020-07-17 20:40:32","2020-07-19 16:58:18","FJUSRAM ","FJMGRAM ",":*EDG12Y","1","0","0","1","SKIM ","","CG852"
"Q(EDHBLY","QFEDH1MI","Q(EDHBMB","EUR","30000000","30000000","30000000","2020-07-17 20:40:32","2020-07-19 16:58:18","FJUSRAM ","FJMGRAM ",":*EDG12Y","1","0","0","1","SKIM ","","CG852"
"Q+EDKWYH","Q+EDKVFH","Q+EDKWZ2","EUR","50000000","50000000","50000000","2020-07-19 18:44:05","2020-07-19 19:03:29","FJUSRAM ","FJMGRAM ","Q+EDKVCZ","1","0","0","1","SKIM ","","CG852"
"Q+EDKWYH","Q+EDKW7K","Q+EDKWZ3","EUR","20000000","20000000","20000000","2020-07-19 18:44:05","2020-07-19 19:03:29","FJUSRAM ","FJMGRAM ","Q+EDKVCZ","1","0","0","1","SKIM ","","CG852"
"Q+EDKWYH","Q+EDKVL5","Q+EDKWZ4","EUR","30000000","30000000","30000000","2020-07-19 18:44:05","2020-07-19 19:03:29","FJUSRAM ","FJMGRAM ","Q+EDKVCZ","1","0","0","1","SKIM ","","CG852"
