"JBF_CDE_JOB_FUNC","JBF_CDE_BSNS_AREA","JBF_IND_DIST_DEPT","JBF_IND_ACTIVE","JBF_IND_MAY_DEACT","JBF_TSP_REC_CREATE","JBF_TSP_REC_UPDATE","JBF_UID_REC_CREATE","JBF_UID_REC_UPDATE","JBF_IND_DSTRS_GRP","JBF_TXT_AUTHID","JBF_NUM_RANKING","JBF_DSC_JOB_FUNC","JBF_TXT_FUNCTION","JBF_TXT_REST_FUNC"
"DRW  ","SERV ","N","Y","Y","2019-04-03 23:44:20","2019-07-03 03:32:21","LS2BATCH","KANDERSO","N","LS2OSB  ","1","DataNet Report Writer","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000"
"SDA  ","SERV ","Y","Y","Y","2019-04-03 23:44:20","2020-03-03 05:12:26","LS2BATCH","ADMIN1  ","N","LS2OSB  ","10","Senior Deal Administrator","22222 222 2 22210202222 222 222222 01  20000111 02 220222222 222 2022            2   220 2002222222022 222 2     2222200000000000000022111 2 2021222222222222022211  2002021222211112202 212222201122001222002021 210222222222222222 0212122222200111000012 12000222 00001120012022020200022   02 2   22202222221202000000020222200200220022020 0000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111001222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000020000000000000000020000000000000000000000000000201002000002 00000000  100222202200022000 012 0200000000000  000000000000 000002 0000002222  000    0022          02 0 002     00 2220 20020  120  0    20000000 222 00 200 1020 0 0 0 2   02  0200000000200         00 0   22 2   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 2 111     220  00  0 0001   02 0002 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   2     20      000000002      0  0  0  20000000010   0  0       00000000222    0   22000000 0  1 0         0 0   00000     0      000000000 0000000 222              002     0000        000 0 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  000              2020    1111111111001100 00211 00      000 0000    22   20 2  1   020 0    0       10  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000  00 0   0  0  0","22222 222 2 22210202222 222 222222 01  20000111 02 220222222 222 2022            2   220 2002222222022 222 2     2222200000000000000022111 2 2021222222222222022211  2002021222211112202 212222201122001222002021 210222222222222222 0212122222200111000012 12000222 00001120012022020200022   02 2   22202222221202000000020222200200220022020 0000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111001222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000020000000000000000020000000000000000000000000000201002000002 00000000  100222202200022000 012 0200000000000  000000000000 000002 0000002222  000    0022          02 0 002     00 2220 00020  120  0    20000000 222 00 200 1020 0 0 0 2   02  0200000000200         00 0   22 2   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 2 111     220  00  0 0001   02 0002 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   2     20      000000002      0  0  0  20000000010   0  0       00000000222    0   22000000 0  1 0         0 0   00000     0      000000000 0000000 222              002     0000        000 0 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  000              2020    1111111111001100 00211 00      000 0000    22   20 2  1   020 0    0       10  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000   0     0  0"
"FIA  ","SERV ","Y","Y","Y","2019-04-03 23:44:20","2019-07-03 03:33:56","LS2BATCH","KANDERSO","N","LS2OSB  ","1","Finance Administrator","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000"
"BAT  ","SERV ","N","Y","Y","2014-03-04 13:05:39","2014-03-14 10:39:28","LOANIQ01","LOANIQ01","N","LS2OSB  ","1","Batch Administrator","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"INQUI","SERV ","N","Y","Y","2014-03-04 13:06:46","2019-07-03 03:35:51","LOANIQ01","KANDERSO","N","LS2OSB  ","1","Inquiry","",""
"DAM  ","SERV ","Y","Y","Y","1993-06-18 17:14:12","2019-10-14 07:11:26","LS2BATCH","ADM_PETE","N","LS2OSB  ","10","Deal Administration Manager","22222 222 2 22210202222 222 222222 01  20000111 02 220222222 222 2022            2   220 0002222222022 222 2     2222200000000000000022111 2 2021222222222222022211  2002021222211112202 212222201122001222002021 210222222222222222 0212122222200111000012 12000222 00001120012022020200020   02 2   22202222221202000000020222200200220022020 0000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111001222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000200002000002 00000000  100222202200022000 012 0200000000000  000000000000 000002 0000002222  000    0022          02 0 002     00 2220 00020  120  0    20000000 222 00 200 1020 0 0 0 2   02  0200000000200         00 0   22 2   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 2 111     220  00  0 0001   02 0002 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   2     20      000000002      0  0  0  22000000010   0  0       00000000222    0   22000000 0  1 0         0 0   00000     0      000000000 0000000 222              002     0000        000 0 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  000              2020    1111111111001100 00211 00      000 0000    22   20 2  1   020 0    0       10  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000   0     0  0","22222 222 2 22210202222 222 222222 01  20000111 02 220222222 222 2022            2   220 0002222222022 222 2     2222200000000000000022111 2 2021222222222222022211  2002021222211112202 212222201122001222002021 210222222222222222 0212122222200111000012 12000222 00001120012022020200020   02 2   22202222221202000000020222200200220022020 0000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111001222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000200002000002 00000000  100222202200022000 012 0200000000000  000000000000 000002 0000002222  000    0022          02 0 002     00 2220 00020  120  0    20000000 222 00 200 1020 0 0 0 2   02  0200000000200         00 0   22 2   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 2 111     220  00  0 0001   02 0002 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   2     20      000000002      0  0  0  22000000010   0  0       00000000222    0   22000000 0  1 0         0 0   00000     0      000000000 0000000 222              002     0000        000 0 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  000              2020    1111111111001100 00211 00      000 0000    22   20 2  1   020 0    0       10  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000   0     0  0"
"FIM  ","SERV ","Y","Y","Y","2019-04-03 23:44:20","2019-06-26 05:50:35","LS2BATCH","ADM_PETE","N","LS2OSB  ","1","Finance Manager","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   0","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   0"
"SA   ","SERV ","Y","Y","Y","2019-06-26 05:48:54","2019-06-26 07:51:39","ADM_PETE","ADM_PETE","N","LS2OSB  ","5","Servicing Administrator","01111 111 1 12110202222 222 222222 01  20000111 02 220111111 212 1222            2   220 0001111222012 111 2     2122200000000000000021111 2 1021112111121122111111  1001021222211112202 111212201111111212122111 221122222222222222 1222121211111212000011 12121221 22212020212011010200020   02 2   22202222222222000200120222200222122111022 0120000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111201222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000121001100002 00000000  100222222200222000 012 0100000000000  000000000000 200002 0000001122  000    0021          02 0 002     00 2220 00010  220  0    20000000 222 00 200 2020 0 0 0 1   02  0200000000200         00 0   22 1   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 200 2 101     220  02  0 0001   02 0001 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   1     20      000000002      0  0  0  21000000010   0  0       00000000222    0   21000000 0  0 0         0 0   00000     0      000000000 0000000 222              011     2222        000 1 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  111              2020    1111111111000120 00211 00      000 0000    22   20 2  1   220 2    2       00  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000","01111 111 1 12110202222 222 222222 01  20000111 02 220111111 212 1222            2   220 0001111222012 111 2     2122200000000000000021111 2 1021112111121122111111  1001021222211112202 111212201111111212122111 221122222222222222 1222121211111212000011 12121221 22212020212011010200020   02 2   22202222222222000200120222200222122111022 0120000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111201222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000121001100002 00000000  100222222200222000 012 0100000000000  000000000000 200002 0000001122  000    0021          02 0 002     00 2220 00010  220  0    20000000 222 00 200 2020 0 0 0 1   02  0200000000200         00 0   22 1   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 200 2 101     220  02  0 0001   02 0001 01  00   00220 0  0    0 00   0     201 0 220      00 0 0 00   1     20      000000002      0  0  0  21000000010   0  0       00000000222    0   21000000 0  0 0         0 0   00000     0      000000000 0000000 222              011     2222        000 1 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  111              2020    1111111111000120 00211 00      000 0000    22   20 2  1   220 2    2       00  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000"
"DRV  ","SERV ","N","Y","Y","2019-04-03 23:44:20","2019-07-03 03:32:09","LS2BATCH","KANDERSO","N","LS2OSB  ","1","DataNet Report Viewer","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000","00000 000 0 11000101111 111 111111 00  10100000 10 110100000 101 0111            1   111 0010000111101 110 1     1011100000000000000020000 1 1010111000000100111111  1001000110000000111 110111111111111101110111 111100000000000000 1111111100111111111110 01001111 00001111111011110100010   01 1   11111111111111000100111111100111110000110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 000000010111  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000010000000000000000000000000000011001000101 00000000  010000010100111011 000 0000000000000  011100000010 001110 0111010011  001    0010          01 1 111     11 1111 00011  111  1    10000000 011 11 100 0000 0 0 1 0   01  1100000000101         00 0   10 0   1 11   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 111 1 000     111  00  1 1110   11 0001 10  00   10110 0  0    0 10   0     110 1 111      00 0 0 01   0     00      111111101      0  1  0  10000000001   1  1       00000000111    1   11000000 1  0 0         0 0   00000     0      000000000 0000000 111              000     0000        110 0 00  11  0000        0   1    011111 11             0 00 1 1 1    0 00 1000000000000000000000000 0 0  111              0101    0000000000000011 11100 11      111 0011    11   10 1  1   011 0    1       00  11110 000  011111111111111111111111111111111111111111111111111111111111111111111111111111111111111 1111 00011111100 0000011 101000111111111000  0011 0 0000000 000 1100010   000"
"TR   ","DIST ","N","N","Y","1993-06-18 17:14:12","2019-04-03 23:44:20","LS2BATCH","LS2BATCH","N","LS2TRD  ","5","Trader","22222 222 2 21212212111 112 111122 22  11112111 11 121222222 121 2112            1   111 0212222221122 222 1     12121               12222 1 1012111222212111121211  2112122112222222111 112211111111111121111111 111111111111111111 1112111122111112111112 02111211 11121111111211111111010 00010100011112222222222000200111211100120110222110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 00022221110100                                                                                                                                                                                                        0200000000000000000100000000000000000000000000002000112001010000000000001000001010000000000000100000000000000000000000","22222 222 2 21212212111 112 111122 22  11112111 11 121222222 121 2112            1   111 0212222221122 222 1     12121               12222 1 1012111222212111121211  2112122112222222111 112211111111111121111111 111111111111111111 1112111122111112111112 02111211 11121111111211111111010 00010100011112222222222000200111211100120110222110 0010011111111111111111111111111111111111110011111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111011111111110  0 00022221110100                                                                                                                                                                                                        0200000000000000000100000000000000000000000000002000112001010000000000001000001010000000000000100000000000000000000000"
