"LCN_RID_LOCCL_NUM","LCN_IND_ACTIVE","LCN_IND_MAY_DEACT","LCN_CDE_LOCCL_NUM","LCN_DSC_LOCCL_NUM","LCN_CDE_LOCCL_TYPE","LCN_UID_REC_CREATE","LCN_UID_REC_UPDATE","LCN_TSP_REC_CREATE","LCN_TSP_REC_UPDATE"
"EIB3V55C","Y","Y","0001        ","The Bank of New York Mellon         ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:02:55","2014-04-14 09:02:55"
"EIB3V55E","Y","Y","0002        ","JPMorgan Chase Bank, N.A.           ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:03:45","2014-04-14 09:03:45"
"EIB3V56J","Y","Y","0008        ","Citibank, N.A.                      ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:04:27","2014-04-14 09:04:27"
"EIB3V57O","Y","Y","0023        ","Morgan Guaranty Trust Co.           ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:05:06","2014-04-14 09:05:06"
"EIB3V58S","Y","Y","0049        ","Union Bank, N.A.                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:05:49","2014-04-14 09:05:49"
"EIB3V59Z","Y","Y","0103        ","Deutsche Bank Trust Co. Americas    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:06:37","2014-04-14 09:06:37"
"EIB3V6YK","Y","Y","0108        ","HSBC Bank USA                       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:42:50","2014-04-14 09:42:50"
"EIB3V6ZP","Y","Y","0112        ","Northern Trust Intl Corp            ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:43:29","2014-04-14 09:43:29"
"EIB3V70S","Y","Y","0159        ","American Express Bank Ltd           ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:44:10","2014-04-14 09:44:10"
"EIB3V71W","Y","Y","0160        ","BB & T                              ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:44:49","2014-04-14 09:44:49"
"EIB3V730","Y","Y","0174        ","Mashreqbank PSC                     ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:45:30","2014-04-14 09:45:30"
"EIB3V746","Y","Y","0184        ","Banco Bilbao Vizcaya, S.A.          ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:46:18","2014-04-14 09:46:18"
"EIB3V75H","Y","Y","0217        ","The National Bank of Kuwait SAK     ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:47:02","2014-04-14 09:47:02"
"EIB3V76Q","Y","Y","0253        ","Bank of Nova Scotia                 ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:47:41","2014-04-14 09:47:41"
"EIB3V78U","Y","Y","0256        ","Standard Chartered Bank             ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:48:58","2014-04-14 09:48:58"
"EIB3V79W","Y","Y","0257        ","Barclays Bank PLC                   ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:49:32","2014-04-14 09:49:32"
"EIB3V7AW","Y","Y","0279        ","Bank Leumi Trust Co. of N.Y.        ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:50:21","2014-04-14 09:50:21"
