"LEV_RID_LEND_EVENT","LEV_IID_INV_ID","LEV_FID_FAC_INV_ID","LEV_CDE_EVENT_TYPE","LEV_DTE_EFFECTIVE","LEV_PID_DEAL","LEV_PID_FACILITY","LEV_TSP_REC_CREATE","LEV_TSP_REC_UPDATE","LEV_UID_REC_CREATE","LEV_UID_REC_UPDATE","LEV_TXT_EVENT_CMT","LEV_RID_TRADE_TKT","LEV_CDE_BRANCH"
"QFEDH2ZC","QFEDH2Z8","","CRTE ","",":*EDG12Y","","2020-07-17 17:01:15","2020-07-17 17:01:15","FJUSRAM ","FJUSRAM ","","","CG852"
"Q(EDHB28","QFEDH2Z8","","CAN  ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-17 19:41:37","2020-07-17 19:41:37","FJUSRAM ","FJUSRAM ","Lender commitment cancelled effective 27-May-2020. Reason: Borrower Does Not Consent.","","CG852"
"Q(EDHB2Q","Q(EDHB2M","","CRTE ","",":*EDG12Y","","2020-07-17 19:44:04","2020-07-17 19:44:04","FJUSRAM ","FJUSRAM ","","","CG852"
"Q(EDHB9B","Q(EDHB2M","","CAN  ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-17 20:00:00","2020-07-17 20:00:00","FJUSRAM ","FJUSRAM ","Lender commitment cancelled effective 27-May-2020. Reason: Cancelled by Trade Ticket Entry.","","CG852"
"Q(EDHFSX","Q(EDHBLY","","PORTF","2020-05-27 00:00:00",":*EDG12Y","","2020-07-17 21:38:10","2020-07-17 21:38:10","FJUSRAM ","FJUSRAM ","","","CG852"
"Q(EDHFZY","Q(EDHBLY","","CIRD ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-17 21:42:22","2020-07-17 21:42:22","FJUSRAM ","FJUSRAM ","Facility: INTERNAL FULLY DRAWN1707202011 circled for 50,000,000.00 EUR.  Facility: INTUND17072020162113DYT circled for 20,000,000.00 EUR.  Facility: PARDRAW17072020155700OXM circled for 30,000,000.00 EUR.","","CG852"
"Q(EDHG1J","Q(EDHBLY","","STSA ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-17 21:43:20","2020-07-17 21:43:20","FJUSRAM ","FJUSRAM ","Warnings occurred during validation: No","","CG852"
"QLEDKTT6","Q(EDHBLY","","CRTP ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-19 16:25:16","2020-07-19 16:25:16","FJUSRAM ","FJUSRAM ","Reason: Test","","CG852"
"QLEDKTTQ","Q(EDHBLY","","STSA ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-19 16:26:29","2020-07-19 16:26:29","FJUSRAM ","FJUSRAM ","Warnings occurred during validation: No","","CG852"
"?XEBVYDK","?XEBVYDH","","CRTE ","","?.EBVNFE","","2020-06-16 20:36:07","2020-06-16 20:36:07","RPTINPAM","RPTINPAM","","","CG852"
"?XEBVYIA","?XEBVYDH","","CIRD ","2020-05-27 00:00:00","?.EBVNFE","","2020-06-16 20:38:52","2020-06-16 20:38:52","RPTINPAM","RPTINPAM","Facility: CBANLD_FACTEST_200M circled for 200,000,000.00 EUR.  Facility: CBANLD_FACTEST_400M circled for 400,000,000.00 EUR.","","CG852"
"?XEBVYJM","?XEBVYDH","","PORTF","2020-05-27 00:00:00","?.EBVNFE","","2020-06-16 20:39:41","2020-06-16 20:39:41","RPTINPAM","RPTINPAM","","","CG852"
"?IEBVZ11","?XEBVYDH","","CLDT ","2020-05-27 00:00:00","?.EBVNFE","","2020-06-16 20:47:35","2020-06-16 20:47:35","RPTSUPAM","RPTSUPAM","","","CG852"
"SUEBXP77","SUEBXP74","","CRTE ","","SUEBXL0I","","2020-06-17 19:13:03","2020-06-17 19:13:03","RPTINPAM","RPTINPAM","","","CG852"
"SUEBXP9G","SUEBXP74","","CIRD ","2020-05-19 00:00:00","SUEBXL0I","","2020-06-17 19:14:26","2020-06-17 19:14:26","RPTINPAM","RPTINPAM","Facility: CBANLD_FACTEST_200M circled for 200,000,000.00 EUR.  Facility: CBANLD_FACTEST_300M circled for 300,000,000.00 EUR.","","CG852"
