"LVO_RID_VOTE","LVO_RID_TALLY","LVO_CDE_TALLY_TYPE","LVO_CID_VOTER","LVO_CDE_RESPONSE","LVO_UID_REC_UPDATE","LVO_UID_REC_CREATE","LVO_TSP_REC_UPDATE","LVO_TSP_REC_CREATE","LVO_NME_RES_USER","LVO_CID_SELLER","LVO_PCT_OF_PRODUCT","LVO_AMT_POS_IN_PRD","LVO_DTE_RSP_RECEIV","LVO_DTE_DOC_RECEIV","LVO_NME_SALES_CONT","LVO_IID_INV_ID","LVO_DTE_RSP_UPDATE","LVO_CDE_BRANCH"
"C#EI0130","CNEI006J","CONTR","E2E4RAUV","NOREP","RPTMGR01","RPTMGR01","2020-10-13 16:51:26","2020-10-13 16:51:26","","","0.3","30000000","","","","","","CG852"
"C#EI012Z","CNEI006J","CONTR","FPE4MRNP","NOREP","RPTMGR01","RPTMGR01","2020-10-13 16:51:26","2020-10-13 16:51:26","","","0.7","70000000","","","","","","CG852"
"$UEI1KBP","=+EI1JUN","CONTR","AMDPAOVM","NOREP","JAQUITAN","JAQUITAN","2020-10-14 11:47:37","2020-10-14 11:47:37","","","0.4","200000000","","","","","","CG852"
"$UEI1KBO","=+EI1JUN","CONTR","FPE4MRNP","NOREP","JAQUITAN","JAQUITAN","2020-10-14 11:47:37","2020-10-14 11:47:37","","","0.6","300000000","","","","","","CG852"
"G=EGNIF7","GREGNHWB","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-09-17 11:32:25","2020-09-17 11:32:25","","","1","100000000","","","","","","CG852"
"GNEGNM8D","G$EGNIWD","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-09-17 12:04:09","2020-09-17 12:04:09","","","1","214893665.91","","","","","","CG852"
"3MEHZORW","38EHZON9","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-10-13 11:05:18","2020-10-13 11:05:18","","","1","270339869.23","","","","","","CG852"
"@;EHZTB0","@9EHZSTA","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-10-13 13:06:02","2020-10-13 13:06:02","","","1","500127201.05","","","","","","CG852"
"CUEHZVVV","CKEHZVE5","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-10-13 14:40:22","2020-10-13 14:40:22","","","1","786834312.53","","","","","","CG852"
"C=EI00KX","C6EI002B","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-10-13 16:05:44","","","1","844175734.83","","","","","","CG852"
"N)EI1WEV","NPEI1VNG","CONTR","E2E4RAUV","NOREP","JANICEA1","JANICEA1","2020-10-14 16:56:52","2020-10-14 16:56:52","","","0.4","8000000","","","","","","CG852"
"N)EI1WEU","NPEI1VNG","CONTR","FPE4MRNP","NOREP","JANICEA1","JANICEA1","2020-10-14 16:56:52","2020-10-14 16:56:52","","","0.6","12000000","","","","","","CG852"
"I4EI21CC","X-EI20PZ","CONTR","E2E4RAUV","NOREP","MANZANOS","MANZANOS","2020-10-14 18:43:41","2020-10-14 18:43:41","","","0.4","24000000","","","","","","CG852"
"I4EI21CB","X-EI20PZ","CONTR","FPE4MRNP","NOREP","MANZANOS","MANZANOS","2020-10-14 18:43:41","2020-10-14 18:43:41","","","0.6","36000000","","","","","","CG852"
"I;EI231B","IKEI22DR","CONTR","E2E4RAUV","NOREP","MANZANOS","MANZANOS","2020-10-14 19:23:12","2020-10-14 19:23:12","","","3.4236339528432","3307128697.38","","","","","","CG852"
"I;EI231A","IKEI22DR","CONTR","FPE4MRNP","NOREP","MANZANOS","MANZANOS","2020-10-14 19:23:12","2020-10-14 19:23:12","","","5.1354509293683","4960693046.17","","","","","","CG852"
"2!EI25VN","I-EI25BL","CONTR","E2E4RAUV","NOREP","MANZANOS","MANZANOS","2020-10-14 20:09:47","2020-10-14 20:09:47","","","3.4262216599267","3309938750.82","","","","","","CG852"
"2!EI25VM","I-EI25BL","CONTR","FPE4MRNP","NOREP","MANZANOS","MANZANOS","2020-10-14 20:09:47","2020-10-14 20:09:47","","","5.1393324899522","4964908126.29","","","","","","CG852"
":8EI3ACD","B4EI393D","CONTR","E2E4RAUV","NOREP","LIQAPCP3","LIQAPCP3","2020-10-15 10:54:48","2020-10-15 10:54:48","","","5.7938490909669","6122116134.52","","","","","","CG852"
":8EI3ACC","B4EI393D","CONTR","FPE4MRNP","NOREP","LIQAPCP3","LIQAPCP3","2020-10-15 10:54:48","2020-10-15 10:54:48","","","8.6907736365071","9183174201.84","","","","","","CG852"
"LZEJEMXR","5LEJELXZ","CONTR","E2E4RAUV","NOREP","CESSMNG1","CESSMNG1","2020-11-10 00:25:49","2020-11-10 00:25:49","","","0.3","90000000","","","","","","CG852"
"LZEJEMXQ","5LEJELXZ","CONTR","FPE4MRNP","NOREP","CESSMNG1","CESSMNG1","2020-11-10 00:25:49","2020-11-10 00:25:49","","","0.7","210000000","","","","","","CG852"
"0REGNQIP","0JEGNQ0E","CONTR","E2E4RAUV","NOREP","MANZANOS","MANZANOS","2020-09-17 13:17:38","2020-09-17 13:17:38","","","1","100000000","","","","","","CG852"
