"LNE_CDE_CODE","LNE_TXT_DESCRIPTIN"
"LMCHG","Limit Changed"
"_XSCF","Sent for Setting Cost of Funds"
"ASBCH","Accrue on Schedule Balance Changed"
"SLSEL","Sublimit Selected"
"CATO ","Changed Automated Transaction Override"
"READF","Reviewed Additional Fields"
"TSDMP","Trade Settlement Details Message Processed in E-Settlement System"
"DCADJ","Delayed Compensation Amount Adjusted by Markit"
"SADEC","Stabilization Amount Decrease Applied"
"SAINC","Stabilization Amount Increase Applied"
"SASCU","Stabilization Amount Schedule Updated"
"SRTBS","Stabilization Rate Basis Changed"
"STRAT","Stabilization Rates Set"
"RLSQR","Released Stabilization Quick Loan Repricing"
"STSPR","Stabilization Spread Changed"
"RGLE ","Reversed G/L Entry"
"OSTRZ","Outstanding Reduced to Zero"
"UPDTD","Updated"
"FXVAL","FX Valuation Adjustment Applied"
"CMPRD","Commission Payment Released"
"CMAAA","Commission Accrual Adjustment Applied"
"CMPAR","Commission Payment Adjustment Released"
"EXMSD","Message Sent"
"LNKCR","Link Created"
"ACTRD","Asset Change Transaction Released"
"ARTRD","Asset Reactivation Transaction Released"
"AITRD","Asset Inactivation Transaction Released"
"FPDAU","Funding Priority Date Changed"
"COACR","Collateral Accounting  Reversed"
"PDPCH","Past Due Pricing Changed"
"PDPAC","Past Due Pricing Applies Indicator Changed"
"TXADJ","Tax Adjustment Released"
"BTXAD","Borrower Tax Override Added"
"BTXCH","Borrower Tax Override Changed"
"BTXDL","Borrower Tax Override Deleted"
"TXRCH","Tax Rate Changed"
"TXPCH","Tax Percentage Changed"
"CPYMT","Payment Completed"
"RPYMT","Payment Released"
"UDTCD","User Defined Task Copied"
"RFDST","Revised Funding Details Sent to Treasury Interface"
"FLLKD","Funding Liability Linked"
"CTIDC","Contract ID Changed"
"PDCR ","Past Due Created"
"PDUP ","Past Due Updated"
"PDDL ","Past Due Deleted"
"CCCYC","Cashflow Currency Changed"
"AUTCH","Generated via Auto-Charge"
"AUTGN","Generated via Auto-Generation"
"CANPY","Payment Cancelled"
"CANRP","Reversed Payment Cancelled"
"LFRCH","Fixed Rate Changed"
"WVEFR","Waive Event Fee Transaction Released"
"STACR","Sent to Approval for Cashflow Release"
"GUACR","Guarantor Accounting  Reversed"
"AAREC","Automatic Asset Revaluation Completed"
"ARLRD","Asset Revaluation Transaction Released"
"IITRD","Insurance Inactivation Transaction Released"
"IRTRD","Insurance Reactivation Transaction Released"
"PRTRD","Partial Relief Transaction Released"
"INCTR","Insurance Change Transaction Released"
"SUEDC","SBLC Usage Expiration Date Changed"
"STEDT","Stabilization Effective Date Changed"
"DCONV","Data Conversion Completed"
"BXFEE","Bill of Exchange Fee Released"
"LRAUT","Rates Set By Batch/Automatically"
"LRMAN","Rates Set Manually"
"ESCRI","Initial Statement Generated"
"ESCRA","Annual Statement Generated"
"ESCRO","One-Off Statement Generated"
"ESCRC","Projections for the Coming Year Generated"
"ESCRL","Projections for the Last Year Generated"
"AURTS","Auto Rates Set"
"AURTA","Auto Rates Set Approved"
"PSTCH","Paying Status Changed"
"DCFC ","Delayed Compensation Fee Changed"
"OTFC ","One Time Fee Changed"
"CHART","Changed Auto-Rate Fix Indicator"
"PBDEL","Pending Bill Deleted"
"CRRCH","Currency Rule Changed"
"CLBCH","Clawback Code Changed"
"CFTAP","Prefunding Cashflow Approved"
"ARMLB","ARM Rate Look-back"
"ARMFE","ARM Payment Amount Forecast Event"
"IPNCE","Insurance Policy Number Changed"
"BENFC","Beneficiary Changed"
"PINCE","Property Id Number Changed"
"APACE","Annual Payment Amount Changed"
"ESADL","Escrow Account Deleted"
"ESAIN","Escrow Account Inactivated"
"DSCHU","Disbursement Schedule Updated"
"CDPCH","Consider Deposit for Pay-Off Indicator Changed"
"CIPCH","Consider Disbursement Item for Pay-Off Indicator Changed"
"ESARA","Escrow Account Reactivated"
"FPGEN","Force Placed"
"DTCCF","Data extracted for DTCC LoanSERV"
"PTCCA","Promoted From Short to Complete"
"IPRAC","Interpolated Rate Appiles Indicator Changed"
"PLNRL","Workflow Plan Released"
"ALCAJ","Automatic Accrual Share Adjustment Applied"
"UPBRN","User Profile Branch changed"
"UPJBF","User Profile Job Function Changed"
"UPPSA","User Profile Processing Area Changed"
"MADJ ","Modification Adjustment Applied"
"AFCAJ","Automatic Fee Accrual Share Adjustment Applied"
"DRCME","Deal Re-sync with ABL Collateral Module Completed"
"EURLR","Extracted to Euroclear LoanReach File"
"PAYCR","Payment Created"
"GTAXD","Tax Due Notice Generated"
"TAXAS","Tax Assessment Released"
"RTAXA","Reverse Tax Assessment Released"
"TAXAP","Tax Assessment Payment Released"
"RTAXP","Reverse Tax Assessment Payment Released"
"TAXCH","Taxable Amount Changed"
"STXWV","Stamp Tax Waived Indicator Changed"
"ESTCH","E-Settlement Trade Id Changed"
"FPSCH","Force Placement Status Changed"
"MPBCC","Missed Payment Behaviour Changed"
"BSGCH","Borrower Servicing Group Changed"
"CBOCH","Consolidated Billing Option Changed"
"EFWCH","Excluded from Withholding Indicator Changed"
"STCHG","Statement Summary Transaction Type Changed"
"PORTS"," "
"ODRAF","Override Documents Required At Funding"
"LNKCH","Link Changed"
"COACG","Collateral Accounting Generated"
"GUACG","Guarantor Accounting Generated"
"BUSOU","Business Object Updated"
"EIBDM","Escrow Item Bill Amount Due Date Modified"
"EIBFM","Escrow Item Bill Amount Frequency Modified"
"ESIAG","Escrow Initial Analysis Generated"
"ESIAD","Escrow Initial Analysis Deleted"
"IMDIC","Include In Mass Disbursement Indicator Changed"
"AGAIC","Auto Generate Analysis Indicator Changed"
"TDRCR","Troubled Debt Restructuring Type Change Transaction Applied"
"FUALD","Funding Allocation Details Sent to Treasury Interface"
"IMPPR","Impairment Provision Reversal"
"FLGUL","Failed Login - User is Locked"
"FLGWP","Failed Login - Wrong Password"
"FLRSD","Float Rate Start Date Changed"
"FLSSD","Float Spread Start Date Changed"
"FLSTD","Float Start Date Changed"
"FM   ","Facility Matured"
"FNDG ","Funding Status Changed"
"FNDRW","Funding Reviewed"
"FPADJ","Fee Payment Adjustment Released"
"FPP  ","First Principal Payment"
"FPYCL","Fee Payment Cancelled"
"FR   ","Facility Retraction"
"FREE ","Freeform Transaction"
"FRMCH","Formula Change"
"FSD  ","First SBLC/Guarantee Drawing"
"FSI  ","First SBLC/Guarantee Issuance"
"FUNDD","Funding Decision Done"
"FUNDM","Funding Memo Done"
"FUP  ","Facility Upgraded"
"FWAIV","Fully Waived Payment"
"GENLS","Lender Shares Generated"
"GFXFX","F/X Rate Setting Notices Generated"
"GNSFC","Stamping Fee Change Notices Generated"
"IBADD","Issuing Bank Added"
"IBCHG","Issuing Bank Share Changed"
"IBRMV","Issuing Bank Removed"
"IFADJ","Issuance Fee Payment Adjusted"
"IFPMT","Issuance Fee Payment Released"
"ILDCH","IntraLinks Details Changed"
"INACT","Inactivated"
"INTEX","Exporter Interest Payment Released"
"INTPY","Interest Payment Released"
"INTST","Stabilization Interest Payment Released"
"IPADJ","Interest Payment Adjustment Released"
"IPRC ","Interest Pricing Changed"
"IPT  ","Internal Portfolio Transfer"
"IRDEL","Internal Risk Rating Deleted"
"IRSET","Internal Risk Rating Set"
"ISBSH","Issuing Bank Shares Created"
"ISSRT","Issuing Fee Rate Changed"
"LATPM","Late Payment Reminder Generated"
"LCCM ","Confirmation Fee Payment Released"
"LCFI ","Issuance Processing Fee Payment Released"
"LCHFR","Legal Writeoff Released"
"LCRA ","Late Charge Rule Assigned"
"LCRC ","Late Charge Rule Changed"
"LCREA","Created"
"LDIMP","Lenders Imported"
"LDRCH","Lender Changed"
"LG2FX","Rate Setting Notices Generated"
"LGCOF","Host Cost Of Funds Set"
"LGENF","Intent Notices Generated"
"LGRAC","RAC Rate Setting Notices Generated"
"LGRCH","Rate Change Notices Generated"
"LICHG","Line Item Changed"
"LNDR ","Drawdown Processing Fee Payment Released"
"LSRAT","Rates Set"
"MADJS","Manual Share Adjustment Applied"
"MCCHN","MIS Code Changed"
"MCFRB","Match-Funded COF Rate Basis Changed"
"MPDSA","Past Due Item Share Adjustment Applied"
"PLCDE","Pledge Code Changed"
"LDRLS","Loan De-Recognition Released"
"IMSCT","Loan Impairment Stage Change"
"FISCT","Facility Impairment Stage Change"
"ARBCH","Accounting Rate Basis Changed"
"FGVC ","FATCA GIIN Value Changed"
"MCFRD","Manual Cashflow Released"
"MFFRD","Manual Funds Flow Released"
"MGLRD","Manual G/L Released"
"MGNRT","Margin Rate Changed"
"MRQDR","Requested Amount Modified"
"MSRIL","Manual Sync Request with IntraLinks"
"NACC ","Changed to Non-Accrual"
"NAIFP","Changed to Non-Accrual/Interest & Fees to Principa"
"NBAMT","Distributed Non-Book Amounts"
"NC   ","Name Changed"
"NEW  ","Created"
"NEWCU","Facility ISIN / CUSIP Entered"
"NLOCK","Node Locked"
"NRFDT","No Recurrences After Date Changed"
"NTDCH","New Trades Allowed Indicator Changed"
"NUNLK","Node Unlocked"
"OAB  ","Outside Assignment Buy"
"OAS  ","Outside Assignment Sale"
"OATRL","SLM Update"
"OLSBA","Outstanding Lender Shares Based on Availability Indicator changed"
"OPRC ","Ongoing Fee Pricing Changed"
"OPTB ","Outside Participation Transfer Buy"
"OPTP ","Outside Participation Transfer Pend"
"OPTS ","Outside Participation Transfer Sale"
"OUPRC","Offered Upfront Fee Pricing Change"
"PATRM","Participation Agreement Terms Changed"
"PCLTC","Primary Collateral Type Changed"
"PCPRI","Post-Closing Primary"
"PCTCL","Paper Clip Transaction Cancelled"
"PCTRL","Paper Clip Transaction Released"
"PIEFP","Penalty Interest Event Fee Released"
"PIKAD","PIK Interest Payment Adjustment Released"
"REGFS","Registration Filing Status Changed"
"PATDB","Potential Available To Draw Breached"
"PIKAJ","PIK Accrual Adjustment Applied"
"PIKIN","PIK Interest Payment Released"
"PIKRD","PIK Rule Deleted"
"PIKRS","PIK Rule Set"
"PIKRT","PIK Rate Changed"
"PIKRV","PIK Reverse Interest Payment Released"
"PLSAD","Portfolio Adjustment Released"
"PMLCH","Pricing Matrix Level Change"
"POOL ","Pool Allocations Done"
"PORTF","Portfolio Allocations Done"
"PRCCH","Pricing Changed"
"PRCHR","Pricing Change Transaction Released"
"PRCVI","Conversion Applied"
"PRDEC","Conversion Applied"
"PREP ","Prepayment Penalty Fee Applied"
"PRICE","Price Changed"
"LATE ","Late Charge Fee Released"
"PRINC","Increase Applied"
"PRINP","Principal Payment Applied"
"PROMB","Promoted From Background Agreement"
"RRCNF","Reject Reason Code Not Found"
"APBKD","Approved for Backdating"
"CFCNA","Cashflow Cancellation Not Allowed"
