LRP_RID_LOAN_REPRC,LRP_DTE_EFFECTIVE,LRP_CDE_STATUS,LRP_IND_AUTO_RLS,LRP_UID_PROCESSOR,LRP_PID_FACILITY,LRP_PID_DEAL,LRP_TSP_REC_CREATE,LRP_TSP_REC_UPDATE,LRP_UID_REC_CREATE,LRP_UID_REC_UPDATE,LRP_AMT_NEW_OUTSTD,LRP_DSC_REPRICING,LRP_CID_BORROWER,LRP_IND_PRIN_PYMT,LRP_AMT_OUTS_CHG,LRP_CDE_OB_ST_CTG,LRP_IND_BORR_NET,LRP_IND_SETTLE_NET,LRP_CDE_TYPE,LRP_IND_AUTO_RDUCE,LRP_RID_GROUP,LRP_CDE_GROUP_TYPE,LRP_IND_NET_SCHITM,LRP_CDE_BRANCH
Z@EF81A3,2020-06-03 00:00:00,LWREL,N,LIQSVR04,V8EF471U,V8EF4706,2020-08-20 14:49:34,2020-09-30 14:50:00,LIQUSR05,LIQUSR05,51,"EURLI --> EURLI                         ",5QEF3VVU,Y,-200,POTEN,N,Y,COMPR,N,,,N,CG852
J+EFFE2C,2020-05-27 00:00:00,"PEND ",N,LIQSVR05,V8EF471U,V8EF4706,2020-08-24 14:09:18,2020-08-28 10:08:39,LIQUSR05,LIQSVR05,731,"EURLI --> EURLI                         ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
Y.EFF1B9,2020-06-03 00:00:00,AWSTA,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-24 09:33:55,2020-08-28 09:52:06,LIQUSR05,LIQUSR05,213,"EURLI --> EURLI                         ",5QEF3VVU,Y,-300,POTEN,N,Y,COMPR,N,,,N,CG852
J+EFFEKT,2020-05-27 00:00:00,AWSTA,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-24 14:20:38,2020-10-15 10:45:29,LIQUSR05,LIQUSR05,2293,"EURLI/EURLI/EURLI --> EURLI             ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
2YEFMLQ8,2020-05-29 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-08-28 12:01:47,2020-08-28 13:17:55,JAQUITAN,JANICEA1,2100000,"EURLI --> EURLI/EURLI                   ",ZHEF7YY1,N,1100000,ACTUA,N,Y,COMPR,N,,,N,CG852
"!TEG50TC",2020-05-29 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-07 11:10:24,2020-09-07 11:24:19,JAQUITAN,JANICEA1,1300000,"EURLI --> EURLI                         ",ZHEF7YY1,N,100000,ACTUA,N,Y,COMPR,N,,,N,CG852
4IEG5EY8,2020-06-03 00:00:00,RELSD,N,JAQUITAN,3ZEFFD2W,3ZEFFD20,2020-09-07 17:19:20,2020-09-07 17:51:49,JAQUITAN,JANICEA1,1400000,"EURLI --> EURLI                         ",ZHEF7YY1,Y,-100000,ACTUA,N,Y,COMPR,N,,,N,CG852
KREG5NDH,2020-06-03 00:00:00,"PEND ",N,SMANZANO,9ZEF82GL,9ZEF82FK,2020-09-07 19:32:20,2020-09-07 19:32:20,SMANZANO,SMANZANO,0,"EURLI                                   ",ZHEF7YY1,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
KREG5NFQ,2020-06-03 00:00:00,RELSD,N,MANZANOS,3ZEFFD2W,3ZEFFD20,2020-09-07 19:37:40,2020-09-08 08:29:56,SMANZANO,SMANZANO,100000,"EURLI --> EURLI                         ",ZHEF7YY1,N,100000,ACTUA,N,Y,COMPR,N,,,N,CG852
44EF64K3,2020-06-03 00:00:00,CNPRM,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-19 13:25:29,2020-08-20 14:34:33,LIQUSR05,LIQUSR05,3900,"EURLI --> EURLI                         ",5QEF3VVU,N,3000,INACT,N,Y,COMPR,N,,,N,CG852
