"LOC_CDE_LOCATION","LOC_DSC_LOCATION","LOC_CDE_COUNTRY","LOC_CDE_STATE","LOC_IND_ACTIVE","LOC_IND_MAY_DEACT","LOC_TSP_REC_CREATE","LOC_TSP_REC_UPDATE","LOC_UID_REC_CREATE","LOC_UID_REC_UPDATE","LOC_CDE_COUNTY","LOC_CDE_PROVINCE"
"CED  ","Cedar Rapids, IA United States","US","IA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:51","LS2BATCH","LS2BATCH","",""
"A    ","Atlanta, GA,United States","US","GA","Y","Y","1993-06-11 23:22:40","2019-04-03 23:44:20","LS2BATCH","LS2BATCH","",""
"AA   ","Ada, MI","US","MI","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:20","LS2BATCH","LS2BATCH","",""
"AAB  ","Aabenraa, Denmark","DK","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"AAC  ","Aachen, Germany","DE","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"AAL  ","Aaland, Denmark","DK","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"AAR  ","Aarhus, Denmark","DK","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"AAS  ","Aalesund, Norway","NO","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"AB   ","Boha, India","IN","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABA  ","Ababa, Saudi Arabia","SA","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABB  ","Abbotsford, NSW,Australia","AU","","Y","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","","NSW  "
"ABD  ","Abany Dougherty, GA","US","GA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABI  ","Abidjan, Ivory Coast (Cote D'ivoire)","CI","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABL  ","Abilene, KS","US","KS","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABN  ","Abilene, TX","US","TX","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABR  ","Abbott Park, IL","US","IL","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:21","LS2BATCH","LS2BATCH","",""
"ABU  ","Abu Dhabi, United Arab Emirates","AE","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ABY  ","Albany, GA","US","GA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ACC  ","Accra, Ghana","GH","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ACD  ","Arcadia, CA","US","CA","N","Y","1995-09-27 13:07:52","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ACE  ","Atlantic City, NJ","US","NJ","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ACN  ","Archimedeslaan, Netherlands","NL","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ACT  ","Acton, MA","US","MA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"AD   ","Ardee, Ireland","IE","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
