"LGE_RID_EVENT","LGE_CHR_USER_ID","LGE_CHR_LOGIN_ID","LGE_CHR_NODE","LGE_CDE_EVENT","LGE_TXT_COMMENT","LGE_TSP_REC_CREATE","LGE_TSP_REC_UPDATE","LGE_UID_REC_CREATE","LGE_UID_REC_UPDATE"
"*O5E0DUA","LOANIQ  ","LOANIQ                                                          ","00000A08125B","SLGIN"," ","2003-04-30 13:37:22","2003-04-30 13:37:22","LS2LOCK ","LS2LOCK "
"*R66D1AP","        ","truser01                                                        ","00000A081263","FLGIU"," ","2004-11-01 17:16:01","2004-11-01 17:16:01","LS2LOCK ","LS2LOCK "
"*Y5L9ORL","LOANIQ  ","LOANIQ                                                          ","00000A08125B","FLGWP"," ","2003-09-18 16:06:57","2003-09-18 16:06:57","LS2LOCK ","LS2LOCK "
"#16LZD9F","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-09-01 09:05:39","2005-09-01 09:05:39","LS2LOCK ","LS2LOCK "
"#M6K76WK","ADMIN2  ","ADMIN2                                                          ","00000A900BF6","SLGIN"," ","2005-07-28 17:21:55","2005-07-28 17:21:55","LS2LOCK ","LS2LOCK "
"#O5DYOF1","LOANIQ  ","SASPRIME                                                        ","00000A08125B","SLGIN"," ","2003-04-29 15:30:37","2003-04-29 15:30:37","LS2LOCK ","LS2LOCK "
"#Y5L7EEA","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-17 10:27:48","2003-09-17 10:27:48","LS2LOCK ","LS2LOCK "
"+H6LJ83D","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-23 15:52:25","2005-08-23 15:52:25","LS2LOCK ","LS2LOCK "
"+R66D1AF","        ","dnmosier                                                        ","00000A081263","FLGIU"," ","2004-11-01 17:15:51","2004-11-01 17:15:51","LS2LOCK ","LS2LOCK "
"=H6LBBV4","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-19 09:33:04","2005-08-19 09:33:04","LS2LOCK ","LS2LOCK "
