"OFS_CID_LENDER","OFS_CDE_PORTFOLIO","OFS_CDE_EXPENSE","OFS_CDE_BRANCH","OFS_RID_CUS_SVC_GR","OFS_RID_OUTSTANDNG","OFS_AMT_LEGAL","OFS_OTF_AMT_NON_MF","OFS_AMT_NON_BOOK","OFS_AMT_CHARGE_OFF","OFS_AMT_RECOVERY","OFS_AMT_INT_AP_PR","OFS_AMT_FEE_AP_PR","OFS_AMT_DSC_AP_PR","OFS_AMT_DISCOUNT","OFS_AMT_NONACCRUAL","OFS_AMT_NET_ALL"
"E2E4RAUV","HFIEU","BP_COL         ","CG852","@ME4QUQW","(7EFHXA9","0","0","0","0","0","0","0","0","0","0","0"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","RZEFHIPH","0","0","0","0","0","0","0","0","0","0","0"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","44EF64ER","750","750","0","0","0","0","0","0","0","0","750"
"E2E4RAUV","HFIEU","BP_COL         ","CG852","@ME4QUQW","Y@EFF7N9","0","0","0","0","0","0","0","0","0","0","0"
"E2E4RAUV","HFIEU","BP_COL         ","CG852","@ME4QUQW","#!EFUH6R","1500","1500","0","0","0","0","0","0","0","0","1500"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","ZFEF7YYO","1000000","1000000","0","0","0","0","0","0","0","0","1000000"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","Z;EF7YBJ","1100000","1100000","0","0","0","0","0","0","0","0","1100000"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","ZIEF9NP7","731","731","0","0","0","0","0","0","0","0","731"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","YVEGDOS1","0","0","0","0","0","0","0","0","0","0","0"
"E2E4RAUV","HFIEU","BP_COL         ","CG852","@ME4QUQW","L*EGNM1D","5000","5000","0","0","0","0","0","0","0","0","5000"
"E2E4RAUV","HFIEU","BP_COL         ","CG852","@ME4QUQW","L*EGNKLO","12000","12000","0","0","0","0","0","0","0","0","12000"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","PHEGO8R1","0","0","0","0","0","0","0","0","0","0","0"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","9@EGPQ6A","1000000","1000000","0","0","0","0","0","0","0","0","1000000"
"E2E4RAUV","HFIEU","BG_COL         ","CG852","@ME4QUQW","-VEGLP8S","125000","125000","0","0","0","0","0","0","0","0","125000"
