ORT_RID_MF_RATES,ORT_RID_OUTSTANDNG,ORT_TSP_REC_CREATE,ORT_TSP_REC_UPDATE,ORT_UID_REC_CREATE,ORT_UID_REC_UPDATE,ORT_CDE_OWNER_TYPE,ORT_IND_ADVANCE,ORT_IND_FLAT_AMT,ORT_IND_AVG_RATE,ORT_PCT_MARGIN,ORT_IND_AUTO_COF,ORT_AMT_MINIMUM,ORT_PCT_BASE_RATE,ORT_PCT_COST_FUND,ORT_PCT_SPREAD,ORT_CDE_RATE_BASIS,ORT_DTE_FLT_RTE_ST,ORT_DTE_FLT_SPR_ST,ORT_CDE_MFCF_RT_BS,ORT_CDE_FEE_TYPE,ORT_PCT_RAC_RATE,ORT_NUM_OVRD_PRCSN,ORT_RTE_EFFECTIVE,ORT_AMT_NET_PR_VAL,ORT_PCT_SWAP_RCVE,ORT_IND_FIX_SPREAD,ORT_PCT_PRIOR_BASE,ORT_PCT_PRIOR_SPRD,ORT_NUM_SPCFC_DAY,ORT_IND_SYNC_BILL,ORT_PCT_PRF_FORMLA,ORT_CDE_PRF_USAGE,ORT_PCT_BALI_RATE,ORT_IND_CAP_OVRIDE,ORT_IND_FLR_OVRIDE,ORT_PCT_PNLTY_SPRD,ORT_CDE_PNLTY_STAT,ORT_IND_INTPL_RATE,ORT_CDE_BASE_RATE,ORT_CDE_BRANCH
"!(EG52QS","!(EG52QL",2020-09-07 11:27:23,2020-09-07 11:30:22,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-02 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
"!1EG56P4","!1EG56OY",2020-09-07 11:46:04,2020-09-07 15:54:19,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
"!MEK3RJV","!MEK3RJO",2020-11-23 15:27:01,2020-11-23 15:27:17,"B116594 ","B116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
"!REG54ID","!REG54I6",2020-09-07 11:32:35,2020-09-07 11:37:33,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-06-02 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
"!TEG50VX","!TEG50VR",2020-09-07 11:11:24,2020-09-07 15:54:19,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
"!ZEF5V98","!ZEF5V91",2020-08-19 10:15:34,2020-08-19 12:20:31,LIQUSR05,LIQSVR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
"#!EFUAP1","#!EFUAOU",2020-09-01 17:22:24,2020-09-01 19:26:35,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
"#!EFUH6Y","#!EFUH6R",2020-09-01 19:42:36,2020-09-01 20:06:29,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.015,,0.02,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.035,N,N,0,"OFF  ",N,LIBOR,CG852
"#:EHOMSX","#:EHOMSQ",2020-10-07 09:40:56,2020-10-15 10:42:15,LIQSVR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-06-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
"#AEFTQDS","#AEFTQDM",2020-09-01 10:07:55,2020-09-04 13:06:45,SMANZANO,LS2BATCH,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-05-28 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
"#AEFTQWN","#AEFTQWG",2020-09-01 10:23:37,2020-09-04 13:06:45,SMANZANO,LS2BATCH,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-05-28 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
$1EI1NWX,$1EI1NWQ,2020-10-14 12:22:22,2020-10-14 12:22:28,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
$;EI1MDG,$;EI1MD1,2020-10-14 12:10:55,2020-10-14 12:11:00,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
$DEJ343D,$DEJ3436,2020-11-03 21:36:00,2020-11-03 21:36:20,"A116594 ","A116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
$NEI1PDW,$NEI1PDQ,2020-10-14 12:42:43,2020-10-14 12:42:54,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
$UEHMNMI,$UEHMNMB,2020-10-06 11:19:13,2020-10-06 14:56:02,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
(4EFFHC8,(4EFFHA2,2020-08-24 17:34:11,2020-08-24 17:41:23,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.07,N,N,0,"OFF  ",N,LIBOR,CG852
(7EFGVF6,(7EFGVEZ,2020-08-25 11:24:24,2020-08-25 11:25:00,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.039,N,N,0,"OFF  ",N,LIBOR,CG852
(7EFH0YQ,(7EFH0YK,2020-08-25 13:22:10,2020-08-25 13:32:04,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.043,N,N,0,"OFF  ",N,"FIX  ",CG852
(7EFHGVG,(7EFHGVA,2020-08-25 14:06:05,2020-08-25 14:17:43,CMARTILL,RPTMGR01,"LOAN ",N,N,N,0,N,,0.02,,0.019,"G365 ",,2020-04-03 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.039,N,N,0,"OFF  ",N,LIBOR,CG852
