"OTR_RID_OST_TRAN","OTR_RID_COMMIT_TRN","OTR_RID_LINK_TRN","OTR_AMT_ACTUAL","OTR_AMT_REQUESTED","OTR_AMT_NEW_RELSE","OTR_CDE_TYPE","OTR_CDE_LOAN_PURP","OTR_CDE_OBJ_STATE","OTR_CDE_OB_ST_CTG","OTR_CDE_PROC_AREA","OTR_CDE_REPR_FREQ","OTR_CDE_ACCR_FREQ","OTR_CDE_RISK_TYPE","OTR_DTE_EFFECTIVE","OTR_DTE_RELEASE","OTR_DTE_REPRICING","OTR_IND_AUTO_RELSE","OTR_PID_SUBLIMIT","OTR_RID_GROUP_TRAN","OTR_CDE_GROUP_TYPE","OTR_RID_OUTSTANDNG","OTR_UID_PROCESSOR","OTR_IND_CREATE_TRN","OTR_TSP_REC_CREATE","OTR_TSP_REC_UPDATE","OTR_UID_REC_CREATE","OTR_UID_REC_UPDATE","OTR_IND_NON_ACCR","OTR_AMT_FUND_FROZN","OTR_IND_PMT_FR_BOR","OTR_IND_AUTO_RDUCE","OTR_AMT_SCHED_BAL","OTR_AMT_PREMIUM","OTR_CDE_TRNS_PURP","OTR_RID_ORIG_OST","OTR_IND_UPD_FLEX","OTR_TXT_APP_TYPE","OTR_TXT_SYS_SOURCE","OTR_DTE_ACCR_EFFEC","OST_AMT_DISCOUNT","OST_DTE_NOTE","OST_IND_ELG_99A","OTR_AMT_CAP_CL_AMT","OTR_AMT_CAPT_INCRE","OTR_AMT_DF_PIN_AMT","OTR_AMT_IN_CHO_AMT","OTR_CDE_TAX_W_METH","OTR_DTE_TRN","OTR_IND_ATO_RDE_EX","OTR_IND_DEFR_AMT","OTR_IND_FIX_RA_RT","OTR_IND_ISTAX_REV","OTR_IND_MANUAL_CR","OTR_IND_ONDEL","OTR_IND_PREPAYMENT","OTR_IND_RFL_ALD","OTR_IND_ST_TR_UNSC","OTR_IND_TMP_UPD","OTR_IND_UNFREEZE","OTR_IND_UPDATED","OTR_RID_BORR_RLSD","OTR_RID_CSHFLTRN","OTR_RID_INT_PMT","OTR_RID_LOAN_CONV","OTR_RID_PD_ITM_TN","OTR_UID_ORIG","OTR_CDE_AGNT_ALIAS","OTR_RID_AGNT_TRANS","OTR_OID_OST_TRAN","OTR_CDE_BRANCH"
"5EEDMJTJ","","5EEDMJTG","1000","1000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-05-27 00:00:00","","","N","","","","5EEDMJSP","JCAPR02 ","N","2020-07-20 15:55:24","2020-07-20 18:33:47","INPCHER ","RPTMGR01","","","Y","N","0","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","313eedc8784e9d507f87240",""
"+MEDQ8JH","","+MEDQ8JE","1000","1000","","IBT  ","","AWSTA","POTEN","AUSAG","","","","2020-05-29 00:00:00","","","N","","","","+MEDQ8IP","INPCHER ","N","2020-07-22 14:39:55","2020-07-22 14:39:55","INPCHER ","INPCHER ","","","Y","N","0","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3168002d20b8ceafaf8728e",""
"!BEDUE2I","","!BEDUE2F","1000","1000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-06-01 00:00:00","","","N","","","","!BEDUE1Q","JCAPR02 ","N","2020-07-24 20:30:04","2020-07-24 21:21:40","INPCHER ","RPTMGR01","","","Y","N","0","0","","","N","","","2020-06-01 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","319752c76cca1f861f872d0",""
"+1EDQ9Q1","","+1EDQ9PY","1000","1000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-05-29 00:00:00","","","N","","","","+1EDQ9P9","JCAPR02 ","N","2020-07-22 15:18:41","2020-07-22 15:33:22","INPCHER ","RPTMGR01","","","Y","N","0","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","316891d4ba452c2faf87294",""
"4:EDZPE6","","4:EDZPE3","-1000","-1000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-06-02 00:00:00","","","N","","","","!BEDUE1Q","JCAPR02 ","N","2020-07-27 17:30:20","2020-07-27 17:47:45","INPCHER ","RPTMGR01","","","Y","N","0","0","","","N","","","2020-06-02 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","31d3ff25a6771ee13f872d2",""
"?2EBX2ON","","","1000000","1000000","","ID   ","WCA  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","?2EBX2O1","RPTINPAM","Y","2020-06-17 10:03:07","2020-06-18 11:15:22","RPTINPAM","RPTINPAM","N","","Y","N","1000000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2e81aaac28656d3914e682d","CG852"
"(WE9T5I3","","(WE9T5I0","1000000","1000000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-04-28 00:00:00","","","N","","","","(WE9T5H7","RPTSUP01","N","2020-05-07 10:21:47","2020-05-07 10:24:01","RPTINP01","RPTSUP01","","","Y","N","0","0","","","N","","","2020-04-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2b212156e0e0b23d17f938a",""
"SJEBYUHT","","","1000000","1000000","","ID   ","WCA  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-21 00:00:00","2020-05-27 00:00:00","2020-05-22 00:00:00","N","","","","SJEBYUH5","RPTINPAM","Y","2020-06-18 10:05:49","2020-06-18 10:09:50","RPTINPAM","RPTSUPAM","N","","Y","N","1000000","0","","","N","","","2020-05-21 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2e96d3b76dcb31b284e6835","CG852"
"SREBYXVB","","","5000000","5000000","","ID   ","WCA  ","RELSD","ACTUA","EUOPS","","QUA  ","FIXED","2020-05-27 00:00:00","2020-05-27 00:00:00","","N","","","","SREBYXUN","RPTINPAM","Y","2020-06-18 11:19:59","2020-06-18 11:35:30","RPTINPAM","RPTSUPAM","N","","Y","N","5000000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2e97e24c50f0c2eaa4e683e","CG852"
"SHEBZ0EO","","","100000","100000","","ID   ","WCA  ","LWREL","POTEN","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","","2020-06-05 00:00:00","N","","","","SHEBZ0E0","RPTINPAM","Y","2020-06-18 11:42:53","2020-06-18 11:50:58","RPTINPAM","RPTSUPAM","N","","Y","N","100000","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2e9840f341e566b5f4e6845","CG852"
"SDEBZ248","","","2000000","2000000","","ID   ","WCA  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","SDEBZ23K","RPTINPAM","Y","2020-06-18 12:03:29","2020-06-18 12:31:36","RPTINPAM","RPTSUPAM","N","","Y","N","2000000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2e988f9772d0e59c74e684c","CG852"
"7REC0QTU","","","-50000","-50000","","PPPMT","","LWREL","POTEN","EUOPS","1D   ","","LOANS","2020-05-27 00:00:00","","2020-05-22 00:00:00","N","","","","SJEBYUH5","RPTINPAM","N","2020-06-19 10:27:18","2020-06-19 10:29:07","RPTINPAM","RPTSUPAM","","","Y","N","-50000","0","","SJEBYUH5","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","2eac3f39c8af5c5c54e6854","CG852"
"+EEDQ1EP","","+EEDQ1EM","1000","1000","","IBT  ","","AWSTA","POTEN","AUSAG","","","","2020-05-29 00:00:00","","","N","","","","+EEDQ1DX","JCAPR02 ","N","2020-07-22 11:59:59","2020-07-22 14:57:59","INPCHER ","JCAPR02 ","","","Y","N","0","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3165ab9494394de88f87283",""
"A3EDRWCK","","A3EDRWCH","-1000","-1000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-06-01 00:00:00","","","N","","","","+1EDQ9P9","JCAPR02 ","N","2020-07-23 12:15:36","2020-07-23 12:32:27","INPCHER ","RPTMGR01","","","Y","N","0","0","","","N","","","2020-06-01 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","317b035907df1524af872ae",""
"S9E5C64X","","S9E5C64U","10000","10000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-02-13 00:00:00","","","N","","","","S9E5C647","MWHEELER","N","2020-02-10 03:35:49","2020-02-10 03:38:18","WBAYERS ","MWHEELER","","","Y","N","0","0","","","N","","","2020-02-13 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","23f00255cb3487bc76cbb44",""
"7JE5CBBS","","7JE5CBBP","-8000","-8000","","IBT  ","","RELSD","ACTUA","AUSAG","","","","2020-02-14 00:00:00","","","N","","","","S9E5C647","MWHEELER","N","2020-02-10 05:11:54","2020-02-10 05:12:58","WBAYERS ","MWHEELER","","","Y","N","0","0","","","N","","","2020-02-14 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","23f16fede1ef13c356cbb51",""
"44EF64N4","","","3900","3900","","RCMF ","ACQ  ","CNCLD","INACT","EUOPS","7D   ","WEEK ","LOANS","2020-06-03 00:00:00","","2020-06-10 00:00:00","N","","44EF64K3","LRP  ","44EF64MK","LIQUSR05","Y","2020-08-19 13:28:15","2020-08-20 14:34:33","LIQUSR05","LIQUSR05","N","","Y","N","3900","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33b59a100f47b181b4eddec","CG852"
"7)EET3RC","","","700000","700000","","ID   ","CONSH","LWREL","POTEN","EUOPS","1M   ","MON  ","LOANS","2020-05-27 00:00:00","","2020-06-29 00:00:00","N","","","","7)EET3QP","RPTSUP01","Y","2020-08-12 15:22:02","2020-08-12 15:38:02","CMARTILL","RPTMGR01","N","","Y","N","700000","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3323916b50c69e30c49920b","CG852"
"!ZEF5V9L","","","900","900","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-06-03 00:00:00","N","","","","!ZEF5V91","LIQUSR05","Y","2020-08-19 10:15:34","2020-08-19 12:20:31","LIQUSR05","LIQSVR05","N","","Y","N","900","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33b2bec384977ca4e4eddb7","CG852"
