OST_RID_OUTSTANDNG,OST_NME_ALIAS,OST_CID_BORROWER,OST_PID_DEAL,OST_PID_FACILITY,OST_CDE_OUTSTD_TYP,OST_CDE_PRICE_OPT,OST_CDE_OBJ_STATE,OST_CDE_OB_ST_CTG,OST_TSP_REC_CREATE,OST_TSP_REC_UPDATE,OST_UID_REC_CREATE,OST_UID_REC_UPDATE,OST_AMT_BANK_GROSS,OST_AMT_BANK_NET,OST_IND_FLOAT_RATE,OST_IND_MATCH_FUND,OST_IND_HAS_RPR_DT,OST_CDE_PERF_STAT,OST_CDE_ENDTE_RULE,OST_IND_ACCRUABLE,OST_RTE_FC_RATE,OST_RTE_FC_HS_RATE,OST_AMT_FC_BNK_GRS,OST_AMT_FC_BNK_NET,OST_CDE_TRSRY_AREA,OST_CDE_RQST_CCY,OST_IND_AC_CF_ONLY,OST_AMT_FC_CURRENT,OST_CDE_CURRENCY,OST_CDE_LOAN_PURP,OST_DTE_REPRICING,OST_CDE_REPR_FREQ,OST_CDE_RISK_TYPE,OST_PID_SUBLIMIT,OST_DTE_EFFECTIVE,OST_AMT_ORIGINAL,OST_AMT_CURRENT,OST_CDE_ACR_PERIOD,OST_IND_AUTO_EXTND,OST_CDE_EXTENSION,OST_NUM_NOTIFICATN,OST_IND_REINSTATBL,OST_NUM_EXT_INCR,OST_DTE_EXPIRY_ENT,OST_DTE_EXPIRY_CLC,OST_DTE_EXPIRY_FNL,OST_CDE_SIC,OST_CDE_GL_CLASS,OST_IND_NOTF_RCVD,OST_IND_FACING_FEE,OST_IND_ISSUIN_FEE,OST_DTE_PAID_DOWN,OST_CDE_FRG_WTHHLD,OST_PCT_FRG_WTHHLD,OST_CDE_TAX_EXEMPT,OST_PCT_TAX_EXEMPT,OST_CDE_RAC_REPRIC,OST_CDE_SIC_CNTRY,OST_DTE_RAC_REPRIC,OST_CDE_ACT_ACR_RL,OST_RID_COLLAT_DEF,OST_IND_AC_SCD_BAL,OST_AMT_SCHED_BAL,OST_IND_AUTO_PREPF,OST_IND_BILL_BORR,OST_NUM_BILL_DAYS,OST_IND_DONT_PRNT,OST_IND_DONT_MAIL,OST_IND_BILL_MATR,OST_AMT_NACR_TLRNC,OST_PCT_NACR_TLRNC,OST_RID_LCHG_RULE,OST_CDE_OVERAGE_RL,OST_IND_SEPACRFEES,OST_IND_PMAT_INT,OST_IND_ANV_DTE_AP,OST_DTE_ANIVERSARY,OST_CDE_ANVDTE_EOM,OST_IND_INT_DUE_RP,OST_IND_SYNC_PC_RP,OST_DTE_ACT_REPRIC,OST_CDE_DEC_ROUND,OST_CDE_FRAC_ROUND,OST_CDE_DEC_PRECN,OST_CDE_FRAC_IRATE,OST_CDE_RAP_MTHD,OST_IND_INC_XMLBIL,OST_CDE_UNSCHP_MTH,OST_IND_CARE_OF,OST_AMT_PREP_FEE,OST_IND_TEMP_PYMT,OST_CDE_PLEDGE,OST_AMT_ADJBAL,OST_AMT_BASE_DISC,OST_AMT_SCH_DISC,OST_CDE_CON_BIL_OP,OST_CDE_F_ACR_CUR,OST_CDE_GRACE_CAL,OST_CDE_OWNER_TYPE,OST_CDE_PSD_IT_TYP,OST_CDE_STDTE_RULE,OST_CDE_STMT_FREQ,OST_DTE_ART_SET,OST_DTE_CDS_NEXT,OST_DTE_EOC_DDLPI,OST_DTE_EOM_DDLPI,OST_DTE_FFPMT_EFF,OST_DTE_FX_RATE,OST_DTE_IFPMT_EFF,OST_DTE_INTENT,OST_DTE_NOTE,OST_DTE_RATE_SETT,OST_IND_AUTO_GEN,OST_IND_AUTO_OPYMT,OST_IND_AUTO_RD_EX,OST_IND_AUTO_REL,OST_IND_AUTO_RTF,OST_IND_BULLET_PAY,OST_IND_CMP_INT,OST_IND_CSFL_FRMTO,OST_IND_DIR_NOTE,OST_IND_ELG_98,OST_IND_ELG_99DIV,OST_IND_FDPR_DATE,OST_IND_MRT_SET,OST_IND_PMT_PLAN,OST_IND_PSTDUE_ACR,OST_IND_RP_SCH_SYN,OST_IND_SEP_99AC,OST_IND_STA_HB_SHR,OST_IND_UNED_INT,OST_IND_WAIVE_STTX,OST_NME_ACCT_NAME,OST_NME_PROPERTY,OST_NUM_PDUE_GDAYS,OST_TXT_CONTRACTID,OST_RID_LINKED_DEP,OST_RID_OWNER,OST_RID_PSTD_ITEM,OST_RID_PSTDUE_PRA,OST_RTE_AC_HS_RATE,OST_RTE_ACR_RATE,OST_RTE_PURCHASED,OST_TXT_CNTNO,OST_TXT_EOC_SRP,OST_TXT_SRC_SYS_ID,OST_CDE_IMP_STAGE,OST_IND_CFA_CHO,OST_IND_IMP_ST_OVR,OST_IND_INSCH_RPDT,OST_IND_DEPO_PAYOF,OST_IND_ITEM_PAYOF,OST_DTE_MSD_PRC,OST_DTE_MSD_INT,OST_CDE_MSD_PRC,OST_CDE_MSD_INT,OST_IND_MSD_PRC,OST_IND_MSD_INT,OST_OID_OUTSTANDNG,OST_CDE_BRANCH
?2EBX2O1,"60000027       ",?ZE4CIA6,?.EBVNFE,?REBVOYO,"LOAN ",EURLI,LRELS,ACTUA,2020-06-17 10:03:07,2020-06-18 11:15:22,RPTINPAM,RPTINPAM,1000000,1000000,N,N,Y,"ACCR ","TOAD ",Y,1,1,1000000,1000000,"AU   ",EUR,N,1000000,EUR,"WCA  ",2020-05-28 00:00:00,"1D   ",LOANS,,2020-05-27 00:00:00,1000000,1000000,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0420      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,1000000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-26 00:00:00,,2020-05-25 00:00:00,,2020-05-26 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,2e81a9e65679733874e682c,CG852
SJEBYUH5,"60000028       ",?ZE4CIA6,SUEBXL0I,SUEBXL2B,"LOAN ",EURLI,LRELS,ACTUA,2020-06-18 10:05:49,2020-06-18 10:09:50,RPTINPAM,RPTSUPAM,1000000,1000000,N,N,Y,"ACCR ","TOAD ",Y,1,1,1000000,1000000,"AU   ",EUR,N,1000000,EUR,"WCA  ",2020-05-22 00:00:00,"1D   ",LOANS,,2020-05-21 00:00:00,1000000,1000000,"DAL  ",N,,,N,,2025-05-19 00:00:00,,,"0420      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,1000000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-19 00:00:00,,,,,2020-05-19 00:00:00,,2020-05-18 00:00:00,,2020-05-19 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-19 00:00:00,2025-05-19 00:00:00,"LMTR ","LMTR ",N,N,2e96d3b6ad7d8a4974e6834,CG852
SREBYXUN,"60000029       ",?ZE4CIA6,?.EBVNFE,?XEBVXIH,"LOAN ",FIXED,LRELS,ACTUA,2020-06-18 11:19:59,2020-06-18 11:35:30,RPTINPAM,RPTSUPAM,5000000,5000000,N,N,N,"ACCR ","TOAD ",Y,1,1,5000000,5000000,"AU   ",EUR,N,5000000,EUR,"WCA  ",,,FIXED,,2020-05-27 00:00:00,5000000,5000000,"QUA  ",N,,,N,,2025-05-27 00:00:00,,,"0420      ",FIXED,N,N,N,,,0,,0,,AU,,,,N,5000000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,N,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,,,,,,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,2e97e24a70a47233f4e683d,CG852
SHEBZ0E0,"60000030       ",?ZE4CIA6,?.EBVNFE,?REBVOYO,"LOAN ",EURLI,"PEND ",POTEN,2020-06-18 11:42:53,2020-10-27 10:07:38,RPTINPAM,LIQUSR05,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"AU   ",EUR,N,,EUR,"WCA  ",2020-06-05 00:00:00,"7D   ",LOANS,,2020-05-29 00:00:00,100000,,"WEEK ",N,,,N,,2025-05-27 00:00:00,,,"0420      ",,N,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-06-03 00:00:00,,2020-06-02 00:00:00,,2020-06-03 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,2e9840f21480613d24e6844,CG852
SDEBZ23K,"60000031       ",?ZE4CIA6,SUEBXL0I,SUEBXL2B,"LOAN ",EURLI,LRELS,ACTUA,2020-06-18 12:03:29,2020-06-18 12:31:36,RPTINPAM,RPTSUPAM,2000000,2000000,N,N,Y,"ACCR ","TOAD ",Y,1,1,2000000,2000000,"AU   ",EUR,N,2000000,EUR,"WCA  ",2020-05-28 00:00:00,"1D   ",LOANS,,2020-05-27 00:00:00,2000000,2000000,"DAL  ",N,,,N,,2025-05-19 00:00:00,,,"0420      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,2000000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-26 00:00:00,,2020-05-25 00:00:00,,2020-05-26 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-19 00:00:00,2025-05-19 00:00:00,"LMTR ","LMTR ",N,N,2e988f9c1f59928954e684b,CG852
7)EET3QP,"60000130       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,"PEND ",POTEN,2020-08-12 15:22:02,2020-08-20 11:05:45,CMARTILL,CMARTILL,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"NZ   ",EUR,N,,EUR,CONSH,2020-06-29 00:00:00,"1M   ",LOANS,,2020-05-27 00:00:00,700000,,"MON  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",,N,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-06-25 00:00:00,,2020-06-24 00:00:00,,2020-06-25 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,3323910c71053baf649920a,CG852
7)EETAU9,"60000131       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,LRELS,ACTUA,2020-08-12 17:52:14,2020-11-24 13:13:22,CMARTILL,RPTSUP01,200000,200000,N,N,Y,"ACCR ","TOAD ",Y,1,1,200000,200000,"NZ   ",EUR,N,200000,EUR,CONSH,2020-05-28 00:00:00,"1D   ",LOANS,,2020-05-27 00:00:00,200000,200000,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,200000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-26 00:00:00,,2020-05-25 00:00:00,,2020-05-26 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,3325d002b6d17cfb5499211,CG852
7)EETFNR,"60000132       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,INCAN,INACT,2020-08-12 19:39:41,2020-09-04 14:31:39,CMARTILL,LS2BATCH,0,0,N,N,Y,"ACCR ","TOAD ",Y,1,1,0,0,"NZ   ",EUR,N,0,EUR,CONSH,2020-05-28 00:00:00,"1D   ",LOANS,,2020-05-27 00:00:00,150000,0,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,2020-05-27 00:00:00,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-26 00:00:00,,2020-05-25 00:00:00,,2020-05-26 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,332756742b988557549921a,CG852
"!ZEF5V91","60000297       ",5QEF3VVU,V8EF4706,V8EF471U,"LOAN ",EURLI,LRELS,ACTUA,2020-08-19 10:15:34,2020-09-30 09:50:11,LIQUSR05,LIQUSR05,0,0,N,N,Y,"ACCR ","TOAD ",Y,1,1,0,0,"NL   ",EUR,N,0,EUR,"ACQ  ",2020-06-03 00:00:00,"7D   ",LOANS,,2020-05-27 00:00:00,900,0,"WEEK ",N,,,N,,2027-06-25 00:00:00,,,"0130      ",OTHER,N,N,N,2020-05-29 00:00:00,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NEAR ","NEAR ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-29 00:00:00,,2020-05-28 00:00:00,,2020-05-29 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2027-06-25 00:00:00,2027-06-25 00:00:00,"LMTR ","LMTR ",N,N,33b2bd8b7205e56924eddb6,CG852
44EF64ER,"60000298       ",5QEF3VVU,V8EF4706,V8EF471U,"LOAN ",EURLI,LRELS,ACTUA,2020-08-19 13:17:33,2020-10-13 10:53:42,LIQUSR05,LIQUSR05,750,750,N,N,Y,"ACCR ","TOAD ",Y,1,1,750,750,"NL   ",EUR,N,750,EUR,"ACQ  ",2020-06-03 00:00:00,"7D   ",LOANS,,2020-05-27 00:00:00,3750,750,"WEEK ",N,,,N,,2027-06-25 00:00:00,,,"0130      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,750,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NEAR ","NEAR ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-29 00:00:00,,2020-05-28 00:00:00,,2020-05-29 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2027-06-25 00:00:00,2027-06-25 00:00:00,"LMTR ","LMTR ",N,N,33b56d01b3c76de634edddc,CG852
