"PTF_CDE_PORTFOLIO","PTF_CDE_INTENT","PTF_CDE_ACCT_METH","PTF_CDE_PORTF_MAP","PTF_CDE_PRIC_FREQ","PTF_DSC_PORTFOLIO","PTF_IND_ACTIVE","PTF_IND_MAY_DEACT","PTF_IND_FEE_AMORT","PTF_IND_TRD_MARK","PTF_TSP_REC_CREATE","PTF_TSP_REC_UPDATE","PTF_UID_REC_CREATE","PTF_UID_REC_UPDATE"
"HDINV","HDINV","COST ","","","Hold for Investment","N","Y","Y","N","2005-08-03 14:59:56","2019-04-03 23:23:39","ADMIN2  ","LS2BATCH"
"HDSLE","HDSLE","LOCOM","","MNLY ","Hold for Sale","N","Y","N","Y","2005-08-03 15:00:29","2019-04-03 23:23:39","ADMIN2  ","LS2BATCH"
"INSYN","SYND ","COST ","","","In Syndication","N","Y","N","N","2005-08-03 15:01:04","2019-04-03 23:23:39","ADMIN2  ","LS2BATCH"
"MTM  ","TRADE","MTM  ","","MNLY ","Mark to Market","N","Y","N","Y","2005-08-03 15:01:31","2019-04-03 23:23:39","ADMIN2  ","LS2BATCH"
"AFSAU","HDSLE","COST ","","","Available for Sale - Australia","Y","Y","N","N","2019-04-05 10:47:52","2019-04-05 15:52:29","GIBLINC ","KANDERSO"
"SYNAU","SYND ","COST ","","","In Syndication - Australia","Y","Y","N","N","2019-04-05 10:48:40","2019-04-05 10:48:40","GIBLINC ","GIBLINC "
"NPLAU","HDINV","COST ","","","Non-Performing Loans - Australia","Y","Y","N","N","2019-04-05 10:49:37","2019-04-05 15:18:15","GIBLINC ","GIBLINC "
"INTER","HDINV","COST ","","","Intercompany Loans with Affiliates","Y","Y","Y","N","2019-04-05 10:50:39","2019-04-05 10:50:39","GIBLINC ","GIBLINC "
"HFIAU","HDINV","COST ","","","Hold for Investment - Australia","Y","Y","Y","N","2019-04-05 10:46:19","2019-04-05 15:18:32","GIBLINC ","GIBLINC "
"HFIEU","HDINV","COST ","","","Hold for Investment - Europe","Y","Y","Y","N","2020-01-29 00:45:00","2020-01-29 00:45:00","BRIANMOK","BRIANMOK"
"INEUR","HDINV","COST ","","","Intercompany Loans with Affiliates - Europe","Y","Y","Y","N","2020-01-29 01:00:55","2020-01-29 01:00:55","BRIANMOK","BRIANMOK"
"HFGBP","HDINV","COST ","","","Hold for Investment - GBP","Y","Y","Y","N","2020-11-04 10:03:30","2020-11-04 10:05:15","FOULISTR","FOULISTR"
"INGBP","HDINV","COST ","","","Intercompany Loans with Affiliates - GBP","Y","Y","Y","N","2020-11-04 10:04:52","2020-11-04 10:04:52","FOULISTR","FOULISTR"
