"PRF_RID_RMTNC","PRF_RID_OWNER","PRF_CID_CUSTOMER","PRF_RID_SVC_GROUP","PRF_CDE_ROLE","PRF_UID_REC_UPDATE","PRF_UID_REC_CREATE","PRF_TSP_REC_UPDATE","PRF_TSP_REC_CREATE","PRF_TXT_FROM_STRNG","PRF_TXT_TO_STRNG","PRF_IND_TX_WTH_REQ","PRF_PCT_TX_WTHHLD","PRF_CDE_OWNER_TYPE","PRF_IND_FPML_ENBLD","PRF_CDE_BRANCH"
"G;E8OGII","G;E8OGHL","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-15 02:37:48","2020-04-15 02:37:48","","","N","0","DEA  ","N",""
"G6E8OH64","G6E8OH5P","J5E4FAXX","J5E4FAZ1","BORR ","APP1MANS","APP1MANS","2020-04-15 02:47:51","2020-04-15 02:47:51","","","N","0","DEA  ","N",""
"G#E8ONKB","G#E8ONJW","J5E4FAXX","J5E4FAZ1","BORR ","APP1MANS","APP1MANS","2020-04-15 06:13:19","2020-04-15 06:13:19","","","N","0","DEA  ","N",""
"G#E8ONLX","G#E8ONJW","AMDPAOVM","@*DZF8KQ","AGENT","APP1MANS","APP1MANS","2020-04-15 06:15:07","2020-04-15 06:15:07","","","N","0","DEA  ","N",""
"0-E8OWG1","0-E8OWFL","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-15 09:09:52","2020-04-15 09:09:52","","","N","0","DEA  ","N",""
"0-E8OWG9","0-E8OWFL","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-15 09:11:06","2020-04-15 09:11:06","","","N","0","DEA  ","N",""
"0-E8OWGI","0-E8OWFL","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-15 09:12:18","2020-04-15 09:12:18","","","N","0","DEA  ","N",""
"0-E8OWGN","0-E8OWFL","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-15 09:13:51","2020-04-15 09:13:51","","","N","0","DEA  ","N",""
"+TE8Q66U","+TE8Q66E","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-16 01:02:10","2020-04-16 01:02:10","","","N","0","DEA  ","N",""
"+TE8Q672","+TE8Q66E","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-16 01:03:31","2020-04-16 01:03:31","","","N","0","DEA  ","N",""
"+TE8Q67B","+TE8Q66E","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-16 01:04:45","2020-04-16 01:04:45","","","N","0","DEA  ","N",""
"+TE8Q67G","+TE8Q66E","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-16 01:06:20","2020-04-16 01:06:20","","","N","0","DEA  ","N",""
"+3E8QDTI","+3E8QDM4","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-16 04:39:27","2020-04-16 04:39:27","","","N","0","DEA  ","N",""
"*LE8SN48","*LE8SN3S","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-17 09:04:37","2020-04-17 09:04:37","","","N","0","DEA  ","N",""
"*LE8SN4G","*LE8SN3S","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-17 09:05:49","2020-04-17 09:05:49","","","N","0","DEA  ","N",""
"*VE8SO80","*VE8SO7L","J5E4FAXX","J5E4FAZ1","BORR ","APP1MANS","APP1MANS","2020-04-17 09:14:13","2020-04-17 09:14:13","","","N","0","DEA  ","N",""
"A#E8YCXC","A#E8YCWV","A7E8Y5AF","A2E8Y6MH","BORR ","APP1MANS","APP1MANS","2020-04-20 11:46:31","2020-04-20 11:46:31","","","N","0","DEA  ","N",""
"A#E8YGPP","A#E8YGKK","A7E8Y5AF","A2E8Y6MH","BORR ","APP1MANS","APP1MANS","2020-04-20 13:23:01","2020-04-20 13:23:01","","","N","0","DEA  ","N",""
"A#E8YGTH","A#E8YGKK","AMDPAOVM","@*DZF8KQ","AGENT","APP1MANS","APP1MANS","2020-04-20 13:25:04","2020-04-20 13:25:04","","","N","0","DEA  ","N",""
"R7E4ZRDV","R7E4ZQ2R","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-02-03 11:56:24","2020-02-03 11:56:24","","","N","0","DEA  ","N",""
"R7E4ZRER","R7E4ZQ2R","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-02-03 11:56:56","2020-02-03 11:56:56","","","N","0","DEA  ","N",""
"RGE4ZZLC","RGE4ZZIU","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-02-03 14:53:42","2020-02-03 14:53:42","","","N","0","DEA  ","N",""
"RGE4ZZNB","RGE4ZZIU","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-02-03 14:54:52","2020-02-03 14:54:52","","","N","0","DEA  ","N",""
