"RMA_RID_RMT_ASC","RMA_RID_RMT_CNTNR","RMA_RID_RMT_INST","RMA_UID_REC_UPDATE","RMA_UID_REC_CREATE","RMA_TSP_REC_UPDATE","RMA_TSP_REC_CREATE","RMA_IND_AUTO_DOIT","RMA_IND_HOST_CORRS","RMA_CDE_DBL_IMPCT","RMA_CDE_BRANCH"
":@EDDZTS",":@EDDZTQ","BDEDBA40","FJUSRAM ","FJUSRAM ","2020-07-16 00:07:20","2020-07-16 00:07:20","Y","N","","CG852"
":@EDDZU2",":@EDDZTV","6UE501U6","FJUSRAM ","FJUSRAM ","2020-07-16 00:09:10","2020-07-16 00:09:10","Y","N","","CG852"
":@EDDZU0",":@EDDZTV","6UE4ZZWB","FJUSRAM ","FJUSRAM ","2020-07-16 00:09:10","2020-07-16 00:09:10","Y","N","","CG852"
":@EDDZU1",":@EDDZTV","6UE5010J","FJUSRAM ","FJUSRAM ","2020-07-16 00:09:10","2020-07-16 00:09:10","Y","N","","CG852"
":@EDDZU3",":@EDDZTV","6UE502IL","FJUSRAM ","FJUSRAM ","2020-07-16 00:09:10","2020-07-16 00:09:10","Y","N","","CG852"
":*EDFXFR",":*EDFXF3","BDEDBA40","FJUSRAM ","FJUSRAM ","2020-07-17 02:03:48","2020-07-17 02:03:48","Y","N","","CG852"
":*EDFXJN",":*EDFXJ7","6UE4ZZWB","FJUSRAM ","FJUSRAM ","2020-07-17 02:06:07","2020-07-17 02:06:07","Y","N","","CG852"
":*EDFXJQ",":*EDFXJ7","6UE502IL","FJUSRAM ","FJUSRAM ","2020-07-17 02:06:07","2020-07-17 02:06:07","Y","N","","CG852"
":*EDFXJO",":*EDFXJ7","6UE5010J","FJUSRAM ","FJUSRAM ","2020-07-17 02:06:07","2020-07-17 02:06:07","Y","N","","CG852"
":*EDFXJP",":*EDFXJ7","6UE501U6","FJUSRAM ","FJUSRAM ","2020-07-17 02:06:07","2020-07-17 02:06:07","Y","N","","CG852"
":*EDG17C",":*EDG16Q","BDEDBA40","FJUSRAM ","FJUSRAM ","2020-07-17 03:25:09","2020-07-17 03:25:09","Y","N","","CG852"
":*EDG1AQ",":*EDG1AA","6UE501U6","FJUSRAM ","FJUSRAM ","2020-07-17 03:27:07","2020-07-17 03:27:07","Y","N","","CG852"
