"PRE_PID_PRODUCT_ID","PRE_CDE_PROD_TYPE","PRE_CDE_EVENT_TYPE","PRE_TSP_REC_CREATE","PRE_TSP_REC_UPDATE","PRE_UID_REC_CREATE","PRE_UID_REC_UPDATE","PRE_DTE_EFFECTIVE","PRE_RID_PROD_EVENT","PRE_TXT_AMEND_NUM","PRE_RID_OLD_PRD_EV","PRE_CDE_OWNER_TYPE","PRE_RID_OWNER","PRE_DTE_PREVIOUS","PRE_TXT_USER_DATA","PRE_TXT_EVENT_CMT","PRE_CDE_BRANCH"
"!OEI5XYB","DEA  ","CRTE ","2020-10-16 20:11:17","2020-10-16 20:11:17","DELINP01","DELINP01","2021-03-08 00:00:00","!OEI5XYG","","","","","","","Host Bank Deal.","CG852"
"!OEI5XYB","DEA  ","URDEA","2020-10-16 20:14:16","2020-10-16 20:14:16","DELINP01","DELINP01","2021-03-08 00:00:00","!OEI5Y04","","","","","","","","CG852"
"#!EFTRNS","DEA  ","CRTE ","2020-09-01 09:25:09","2020-09-01 09:25:09","CMARTILL","CMARTILL","2020-05-29 00:00:00","#!EFTRNX","","","","","","","Host Bank Deal.","CG852"
"#!EFTROA","DEA  ","APRVD","2020-09-01 10:26:10","2020-09-01 10:26:10","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFTU7W","","","","","","","Approval completed.  Approver: SUPERVISOR, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"#!EFTROA","DEA  ","APRVD","2020-09-01 10:26:12","2020-09-01 10:26:12","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFTU7Y","","","","","","","Approval completed.  Approver: SUPERVISOR, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"#!EFTROA","DEA  ","CLDT ","2020-09-01 11:09:12","2020-09-01 11:09:12","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFTUAX","","","","","","","","CG852"
"#!EFTROA","DEA  ","CRTE ","2020-09-01 09:27:06","2020-09-01 09:27:06","CMARTILL","CMARTILL","2020-05-29 00:00:00","#!EFTROF","","","","","","","Host Bank Deal.","CG852"
"#!EFTROA","DEA  ","PSPDU","2020-09-01 11:09:00","2020-09-01 11:09:00","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFTUA5","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 29-May-2020","CG852"
"#!EFTROA","DEA  ","STA  ","2020-09-01 10:05:40","2020-09-01 10:05:40","CMARTILL","CMARTILL","2020-05-29 00:00:00","#!EFTRZG","","","","","","","Warnings occurred during validation: N","CG852"
"#!EFTROA","DEA  ","URDEA","2020-09-01 09:31:42","2020-09-01 09:31:42","CMARTILL","CMARTILL","2020-05-29 00:00:00","#!EFTRP2","","","","","","","","CG852"
