"PHC_RID_CALENDAR","PHC_IND_BORR_INT","PHC_CDE_CALENDAR","PHC_IND_EFFEC_DATE","PHC_IND_FXRATE_STG","PHC_IND_INTRTE_STG","PHC_RID_OWNER","PHC_CDE_OWNER_TYPE","PHC_IND_PADV_DATES","PHC_IND_BILLING","PHC_TSP_REC_CREATE","PHC_TSP_REC_UPDATE","PHC_UID_REC_CREATE","PHC_UID_REC_UPDATE","PHC_CDE_BRANCH"
"!(EG52QM","Y","NLAMS","Y","Y","Y","!(EG52QL","OST  ","Y","Y","2020-09-07 11:27:23","2020-09-07 11:27:23","JAQUITAN","JAQUITAN","CG852"
"!1EG56MK","Y","NLAMS","Y","Y","Y","!1EG56MJ","LRP  ","Y","Y","2020-09-07 11:45:42","2020-09-07 11:45:42","JAQUITAN","JAQUITAN","CG852"
"!1EG56OZ","Y","NLAMS","Y","Y","Y","!1EG56OY","OST  ","Y","Y","2020-09-07 11:46:04","2020-09-07 11:46:04","JAQUITAN","JAQUITAN","CG852"
"!MEK3RJP","Y","NLAMS","Y","Y","Y","!MEK3RJO","OST  ","Y","Y","2020-11-23 15:27:01","2020-11-23 15:27:01","B116594 ","B116594 ","CG852"
"!OEI5Y05","Y","NLAMS","Y","Y","Y","!OEI5XYB","DEA  ","Y","Y","2020-10-16 20:15:40","2020-10-16 20:15:40","DELINP01","DELINP01","CG852"
"!OEI5Y06","Y","AUSYD","Y","Y","Y","!OEI5XYB","DEA  ","Y","Y","2020-10-16 20:15:52","2020-10-16 20:15:52","DELINP01","DELINP01","CG852"
"!REG54I7","Y","NLAMS","Y","Y","Y","!REG54I6","OST  ","Y","Y","2020-09-07 11:32:35","2020-09-07 11:32:35","JAQUITAN","JAQUITAN","CG852"
"!TEG50TD","Y","NLAMS","Y","Y","Y","!TEG50TC","LRP  ","Y","Y","2020-09-07 11:10:24","2020-09-07 11:10:24","JAQUITAN","JAQUITAN","CG852"
"!TEG50VS","Y","NLAMS","Y","Y","Y","!TEG50VR","OST  ","Y","Y","2020-09-07 11:11:24","2020-09-07 11:11:24","JAQUITAN","JAQUITAN","CG852"
"!ZEF5V92","Y","NLAMS","Y","Y","Y","!ZEF5V91","OST  ","Y","Y","2020-08-19 10:15:34","2020-08-19 10:15:34","LIQUSR05","LIQUSR05","CG852"
"#!EFTRNU","Y","NLAMS","Y","Y","Y","#!EFTRNS","DEA  ","Y","Y","2020-09-01 09:25:09","2020-09-01 09:25:09","CMARTILL","CMARTILL","CG852"
"#!EFTROC","Y","NLAMS","Y","Y","Y","#!EFTROA","DEA  ","Y","Y","2020-09-01 09:27:06","2020-09-01 09:27:06","CMARTILL","CMARTILL","CG852"
"#!EFUAOV","Y","NLAMS","Y","Y","Y","#!EFUAOU","OST  ","Y","Y","2020-09-01 17:22:24","2020-09-01 17:22:24","CMARTILL","CMARTILL","CG852"
"#!EFUH6S","Y","NLAMS","Y","Y","Y","#!EFUH6R","OST  ","Y","Y","2020-09-01 19:42:36","2020-09-01 19:42:36","CMARTILL","CMARTILL","CG852"
"#+EI35QJ","Y","AUSYD","Y","Y","Y","#+EI35Q6","DEA  ","Y","Y","2020-10-15 08:34:44","2020-10-15 08:34:44","SMANZANO","SMANZANO","CG852"
"#:EHOMSR","Y","NLAMS","Y","Y","Y","#:EHOMSQ","OST  ","Y","Y","2020-10-07 09:40:56","2020-10-07 09:40:56","LIQSVR05","LIQSVR05","CG852"
"#AEFTQAH","Y","NLAMS","Y","Y","Y","#AEFTQAG","LRP  ","Y","Y","2020-09-01 10:00:10","2020-09-01 10:00:10","SMANZANO","SMANZANO","CG852"
"#AEFTQDN","Y","NLAMS","Y","Y","Y","#AEFTQDM","OST  ","Y","Y","2020-09-01 10:07:55","2020-09-01 10:07:55","SMANZANO","SMANZANO","CG852"
"#AEFTQWI","Y","NLAMS","Y","Y","Y","#AEFTQWG","OST  ","Y","Y","2020-09-01 10:23:37","2020-09-01 10:23:37","SMANZANO","SMANZANO","CG852"
"#XEHOQ6Z","Y","NLAMS","Y","Y","Y","#XEHOQ6X","DEA  ","Y","Y","2020-10-07 11:21:58","2020-10-07 11:21:58","LIQSVR04","LIQSVR04","CG852"
"$1EI1NWR","Y","NLAMS","Y","Y","Y","$1EI1NWQ","OST  ","Y","Y","2020-10-14 12:22:22","2020-10-14 12:22:22","SMANZANO","SMANZANO","CG852"
"$;EI1MD2","Y","NLAMS","Y","Y","Y","$;EI1MD1","OST  ","Y","Y","2020-10-14 12:10:55","2020-10-14 12:10:55","SMANZANO","SMANZANO","CG852"
"$DEJ3437","Y","NLAMS","Y","Y","Y","$DEJ3436","OST  ","Y","Y","2020-11-03 21:36:00","2020-11-03 21:36:00","A116594 ","A116594 ","CG852"
"$NEI1PDR","Y","AUSYD","Y","Y","Y","$NEI1PDQ","OST  ","Y","Y","2020-10-14 12:42:43","2020-10-14 12:42:43","SMANZANO","SMANZANO","CG852"
"$QEI1OJY","Y","NLAMS","Y","Y","Y","$QEI1OJW","DEA  ","Y","Y","2020-10-14 13:02:12","2020-10-14 13:02:12","LIQUSR03","LIQUSR03","CG852"
"$REFJFRG","Y","AUSYD","Y","Y","Y","$REFJFRF","LRP  ","Y","Y","2020-08-26 20:36:36","2020-08-26 20:36:36","DJRHINPT","DJRHINPT",""
"$REFJFRH","Y","USNYC","Y","Y","Y","$REFJFRF","LRP  ","Y","Y","2020-08-26 20:36:36","2020-08-26 20:36:36","DJRHINPT","DJRHINPT",""
"$REFJG97","Y","AUSYD","Y","Y","Y","$REFJG96","LRP  ","Y","Y","2020-08-26 20:47:15","2020-08-26 20:47:15","DJRHINPT","DJRHINPT",""
"$REFJG98","Y","USNYC","Y","Y","Y","$REFJG96","LRP  ","Y","Y","2020-08-26 20:47:15","2020-08-26 20:47:15","DJRHINPT","DJRHINPT",""
"$REFJGHG","Y","AUSYD","Y","Y","Y","$REFJGHF","LRP  ","Y","Y","2020-08-26 20:52:02","2020-08-26 20:52:02","DJRHINPT","DJRHINPT",""
"$REFJGHH","Y","USNYC","Y","Y","Y","$REFJGHF","LRP  ","Y","Y","2020-08-26 20:52:02","2020-08-26 20:52:02","DJRHINPT","DJRHINPT",""
"$REFJH0N","Y","AUSYD","Y","Y","Y","$REFJH0M","LRP  ","Y","Y","2020-08-26 21:03:42","2020-08-26 21:03:42","DJRHINPT","DJRHINPT",""
"$REFJH0O","Y","USNYC","Y","Y","Y","$REFJH0M","LRP  ","Y","Y","2020-08-26 21:03:42","2020-08-26 21:03:42","DJRHINPT","DJRHINPT",""
"$REFJHFQ","Y","AUSYD","Y","Y","Y","$REFJHFP","LRP  ","Y","Y","2020-08-26 21:12:45","2020-08-26 21:12:45","DJRHINPT","DJRHINPT",""
"$REFJHFR","Y","USNYC","Y","Y","Y","$REFJHFP","LRP  ","Y","Y","2020-08-26 21:12:45","2020-08-26 21:12:45","DJRHINPT","DJRHINPT",""
"$REFJHQ3","Y","AUSYD","Y","Y","Y","$REFJHQ2","LRP  ","Y","Y","2020-08-26 21:18:55","2020-08-26 21:18:55","DJRHINPT","DJRHINPT",""
"$REFJHQ4","Y","USNYC","Y","Y","Y","$REFJHQ2","LRP  ","Y","Y","2020-08-26 21:18:55","2020-08-26 21:18:55","DJRHINPT","DJRHINPT",""
"$UEHMNMC","Y","NLAMS","Y","Y","Y","$UEHMNMB","OST  ","Y","Y","2020-10-06 11:19:13","2020-10-06 11:19:13","CMARTILL","CMARTILL","CG852"
