"PCR_PID_PRODUCT_ID","PCR_CDE_PROD_TYPE","PCR_CDE_CURRENCY","PCR_TSP_REC_CREATE","PCR_TSP_REC_UPDATE","PCR_UID_REC_CREATE","PCR_UID_REC_UPDATE","PCR_RTE_HST_FXRATE","PCR_IND_OPTNL_FUND","PCR_IND_RAC_APPLY","PCR_NUM_PA_DAYS","PCR_RTE_OVR_FXRATE","PCR_AMT_DRAW_LIMIT","PCR_CDE_LIMIT_CCY","PCR_RID_SERV_GRP","PCR_CDE_BRANCH"
"#!EFTRT9","FAC  ","EUR","2020-09-01 09:58:21","2020-09-01 09:58:21","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"#!EFTRT9","FAC  ","NOK","2020-10-13 16:57:12","2020-10-13 16:57:12","MANZANOS","MANZANOS","0.088967417462702","N","N","","","","EUR  ","@ME4QUQW","CG852"
"#!EFTRT9","FAC  ","USD","2020-10-13 16:57:12","2020-10-13 16:57:12","MANZANOS","MANZANOS","0.918273645546372","N","N","","","","EUR  ","@ME4QUQW","CG852"
"#XEHOQ7N","FAC  ","AUD","2020-10-07 11:35:52","2020-10-07 11:51:13","LIQSVR04","LIQSVR05","0.584545778702659","N","N","","","","EUR  ","@ME4QUQW","CG852"
"#XEHOQ7N","FAC  ","EUR","2020-10-07 11:37:15","2020-10-07 11:37:15","LIQSVR04","LIQSVR04","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"#XEHOQ7N","FAC  ","GBP","2020-10-07 11:38:23","2020-10-07 11:51:13","LIQSVR04","LIQSVR05","1.148936659121982","N","N","","","","EUR  ","@ME4QUQW","CG852"
"$QEI1OLY","FAC  ","AUD","2020-10-14 13:07:18","2020-10-14 13:07:18","LIQUSR03","LIQUSR03","1","N","N","","","","AUD  ","@ME4QUQW","CG852"
"($EID4XS","FCTRN","NOK","2020-10-20 17:24:17","2020-10-20 17:24:17","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"($EID4XS","FCTRN","USD","2020-10-20 17:24:17","2020-10-20 17:24:17","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"($EID4Z0","CDECH","NOK","2020-10-20 17:24:17","2020-10-20 17:24:17","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"($EID4Z3","CDECH","USD","2020-10-20 17:24:17","2020-10-20 17:24:17","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"($EID52L","FCTRN","NOK","2020-10-20 17:31:18","2020-10-20 17:31:18","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"($EID52L","FCTRN","USD","2020-10-20 17:31:18","2020-10-20 17:31:18","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"($EID53T","CDECH","NOK","2020-10-20 17:31:18","2020-10-20 17:31:18","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"($EID53W","CDECH","USD","2020-10-20 17:31:18","2020-10-20 17:31:18","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"(7EFGUEQ","FAC  ","EUR","2020-08-25 10:33:41","2020-08-25 10:33:41","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGW2U","FCTRN","EUR","2020-08-25 11:36:08","2020-08-25 11:36:08","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGW45","CDECH","EUR","2020-08-25 11:36:08","2020-08-25 11:36:08","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
