"PLP_PID_PRODUCT_ID","PLP_CDE_PROD_TYPE","PLP_CDE_LOAN_PURP","PLP_TSP_REC_CREATE","PLP_TSP_REC_UPDATE","PLP_UID_REC_CREATE","PLP_UID_REC_UPDATE","PLP_CDE_BRANCH"
"#!EFTRT9","FAC  ","CONSH","2020-09-01 09:55:17","2020-09-01 09:55:17","CMARTILL","CMARTILL","CG852"
"#XEHOQ7N","FAC  ","CONSH","2020-10-07 11:34:42","2020-10-07 11:34:42","LIQSVR04","LIQSVR04","CG852"
"$QEI1OLY","FAC  ","ACQ  ","2020-10-14 13:04:56","2020-10-14 13:04:56","LIQUSR03","LIQUSR03","CG852"
"(7EFGUEQ","FAC  ","CONSH","2020-08-25 10:32:06","2020-08-25 10:32:06","CMARTILL","CMARTILL","CG852"
"(7EFGXST","FAC  ","CONSH","2020-08-25 12:15:15","2020-08-25 12:15:15","CMARTILL","CMARTILL","CG852"
")=EIAU1O","FAC  ","ACQ  ","2020-10-19 12:35:34","2020-10-19 12:35:34","ARFELI01","ARFELI01","CG852"
")EEIAO93","FAC  ","WCA  ","2020-10-19 09:32:35","2020-10-19 09:32:35","DELINP01","DELINP01","CG852"
"*4EI53R8","FAC  ","ACQ  ","2020-10-16 09:32:16","2020-10-16 09:32:16","ARFELI01","ARFELI01","CG852"
"+OEH9ZD0","FAC  ","ACQ  ","2020-09-29 14:23:03","2020-09-29 14:23:03","JAQUITAN","JAQUITAN","CG852"
".FEF9QTS","FAC  ","ACQ  ","2020-08-21 14:45:40","2020-08-21 14:45:40","LIQUSR03","LIQUSR03","CG852"
".XEHY4PA","FAC  ","ACQ  ","2020-10-12 15:28:09","2020-10-12 15:28:09","LIQUSR03","LIQUSR03","CG852"
"0JEGNPY5","FAC  ","ACQ  ","2020-09-17 13:07:32","2020-09-17 13:07:32","SMANZANO","SMANZANO","CG852"
"0REF4FMA","FAC  ","ACQ  ","2020-08-18 16:09:41","2020-08-18 16:09:41","LIQUSR03","LIQUSR03","CG852"
"3.EFFDZL","FAC  ","ACQ  ","2020-08-24 15:02:25","2020-08-24 15:02:25","JAQUITAN","JAQUITAN","CG852"
"34EITIZT","FAC  ","ACQ  ","2020-10-29 13:50:01","2020-10-29 13:50:01","TESTINP ","TESTINP ","CG852"
"34EITJ7N","FAC  ","ACQ  ","2020-10-29 14:28:27","2020-10-29 14:28:27","TESTINP ","TESTINP ","CG852"
"38EHZOL4","FAC  ","ACQ  ","2020-10-13 10:53:33","2020-10-13 10:53:33","JAQUITAN","JAQUITAN","CG852"
"3ZEFFD2W","FAC  ","ACQ  ","2020-08-24 14:38:42","2020-08-24 14:38:42","JAQUITAN","JAQUITAN","CG852"
"42EHSA2A","FAC  ","ALT  ","2020-10-09 11:14:14","2020-10-09 11:14:14","LIQUSR03","LIQUSR03","CG852"
"4GEHSB8F","FAC  ","ACQ  ","2020-10-09 12:48:13","2020-10-09 12:48:13","ARFELI01","ARFELI01","CG852"
"5;EJEK7A","FAC  ","WCA  ","2020-11-09 23:13:56","2020-11-09 23:13:56","CESSINP1","CESSINP1","CG852"
"5JEJEJQZ","FAC  ","WCA  ","2020-11-09 22:56:52","2020-11-09 22:56:52","CESSINP1","CESSINP1","CG852"
"5LEJELY3","FAC  ","WCA  ","2020-11-10 00:11:48","2020-11-10 00:11:48","CESSINP1","CESSINP1","CG852"
"9ZEF82GL","FAC  ","ACQ  ","2020-08-20 17:09:34","2020-08-20 17:09:34","JAQUITAN","JAQUITAN","CG852"
":*EDFUUO","FAC  ","WCA  ","2020-07-17 00:28:45","2020-07-17 00:28:45","FJUSRAM ","FJUSRAM ","CG852"
":+EJEFUX","FAC  ","WCA  ","2020-11-09 21:08:41","2020-11-09 21:08:41","CESSINP1","CESSINP1","CG852"
":6EI3G1H","FAC  ","ACQ  ","2020-10-15 11:18:55","2020-10-15 11:18:55","LIQUSR03","LIQUSR03","CG852"
":6EI3GFB","FAC  ","ACQ  ","2020-10-15 12:08:50","2020-10-15 12:08:50","LIQUSR03","LIQUSR03","CG852"
":6EI3GI8","FAC  ","ACQ  ","2020-10-15 12:10:24","2020-10-15 12:10:24","LIQUSR03","LIQUSR03","CG852"
":YEI3DVV","FAC  ","WCA  ","2020-10-15 11:54:47","2020-10-15 11:54:47","CESSINP1","CESSINP1","CG852"
":YEI3E8R","FAC  ","WCA  ","2020-10-15 12:30:53","2020-10-15 12:30:53","CESSINP1","CESSINP1","CG852"
":YEI3FS1","FAC  ","WCA  ","2020-10-15 13:04:05","2020-10-15 13:04:05","CESSINP1","CESSINP1","CG852"
":YEI3H0U","FAC  ","WCA  ","2020-10-15 13:30:57","2020-10-15 13:30:57","CESSINP1","CESSINP1","CG852"
":YEI3JZ1","FAC  ","WCA  ","2020-10-15 14:34:39","2020-10-15 14:34:39","CESSINP1","CESSINP1","CG852"
":YEI3MDQ","FAC  ","WCA  ","2020-10-15 15:26:33","2020-10-15 15:26:33","CESSINP1","CESSINP1","CG852"
"=+EI1JPZ","FAC  ","ACQ  ","2020-10-14 11:16:54","2020-10-14 11:16:54","SMANZANO","SMANZANO","CG852"
"?REBVOYO","FAC  ","WCA  ","2020-06-16 17:07:46","2020-06-16 17:07:46","RPTINPAM","RPTINPAM","CG852"
"?XEBVXIH","FAC  ","WCA  ","2020-06-16 20:20:18","2020-06-16 20:20:18","RPTINPAM","RPTINPAM","CG852"
"@+EFH6WT","FAC  ","ACQ  ","2020-08-25 14:51:12","2020-08-25 14:51:12","LIQUSR03","LIQUSR03","CG852"
"@-EFH76E","FAC  ","ACQ  ","2020-08-25 15:37:08","2020-08-25 15:37:08","JAQUITAN","JAQUITAN","CG852"
"@5EI038S","FAC  ","ACQ  ","2020-10-13 14:37:51","2020-10-13 14:37:51","LIQUSR05","LIQUSR05","CG852"
"@9EHZSR7","FAC  ","ACQ  ","2020-10-13 12:55:29","2020-10-13 12:55:29","JAQUITAN","JAQUITAN","CG852"
"@EEFH10F","FAC  ","ACQ  ","2020-08-25 14:20:15","2020-08-25 14:20:15","SMANZANO","SMANZANO","CG852"
"B4EI393N","FAC  ","ACQ  ","2020-10-15 10:47:09","2020-10-15 10:47:09","LIQUSR03","LIQUSR03","CG852"
"BPEI37NY","FAC  ","ACQ  ","2020-10-15 09:21:50","2020-10-15 09:21:50","JAQUITAN","JAQUITAN","CG852"
"C6EFHAR6","FAC  ","ACQ  ","2020-08-25 16:20:29","2020-08-25 16:20:29","JAQUITAN","JAQUITAN","CG852"
"C6EHZZZO","FAC  ","ACQ  ","2020-10-13 15:49:39","2020-10-13 15:49:39","JAQUITAN","JAQUITAN","CG852"
"CKEHZVC2","FAC  ","ACQ  ","2020-10-13 14:32:35","2020-10-13 14:32:35","JAQUITAN","JAQUITAN","CG852"
"CNEHZZU5","FAC  ","ACQ  ","2020-10-13 16:26:37","2020-10-13 16:26:37","RPTINP01","RPTINP01","CG852"
"DXEI1OOP","FAC  ","ACQ  ","2020-10-14 14:13:44","2020-10-14 14:13:44","JAQUITAN","JAQUITAN","CG852"
"F$EHSHT7","FAC  ","ACQ  ","2020-10-09 14:56:07","2020-10-09 14:56:07","ARFELI01","ARFELI01","CG852"
"F*EHSKCQ","FAC  ","ACQ  ","2020-10-09 15:56:58","2020-10-09 15:56:58","ARFELI01","ARFELI01","CG852"
"FYEHSERL","FAC  ","ACQ  ","2020-10-09 14:08:36","2020-10-09 14:08:36","ARFELI01","ARFELI01","CG852"
"G$EGNIUB","FAC  ","ACQ  ","2020-09-17 11:48:39","2020-09-17 11:48:39","JAQUITAN","JAQUITAN","CG852"
"GREGNHU7","FAC  ","ACQ  ","2020-09-17 11:22:05","2020-09-17 11:22:05","JAQUITAN","JAQUITAN","CG852"
"I-EI259A","FAC  ","ACQ  ","2020-10-14 19:58:57","2020-10-14 19:58:57","SMANZANO","SMANZANO","CG852"
"I:EFMEGK","FAC  ","ACQ  ","2020-08-28 11:03:42","2020-08-28 11:03:42","SMANZANO","SMANZANO","CG852"
"IKEI224J","FAC  ","ACQ  ","2020-10-14 19:08:54","2020-10-14 19:08:54","SMANZANO","SMANZANO","CG852"
