"PDC_DTE_PROD_POS","PDC_PID_PRODUCT_ID","PDC_CDE_PROD_TYPE","PDC_AMT_GLOBAL_CMT","PDC_AMT_BNK_GR_CMT","PDC_AMT_BNK_NT_CMT","PDC_AMT_GLOBAL_OUT","PDC_AMT_BNK_GR_OUT","PDC_AMT_BNK_NT_OUT","PDC_TSP_REC_CREATE","PDC_TSP_REC_UPDATE","PDC_UID_REC_CREATE","PDC_UID_REC_UPDATE","PDC_AMT_UNUSED","PDC_AMT_UNUTILIZED","PDC_AMT_AVAILABLE","PDC_CDE_BRANCH"
"2020-05-27 00:00:00",".FEF9QSQ","DEA  ","10000000","10000000","10000000","1000000","1000000","1000000","2020-08-21 14:35:26","2020-08-26 10:46:05","LIQUSR03","LS2BATCH","10000000","9000000","10000000","CG852"
"2020-05-27 00:00:00",".FEF9QTS","FAC  ","10000000","10000000","10000000","1000000","1000000","1000000","2020-08-21 14:40:39","2020-08-26 10:46:05","LIQUSR03","LS2BATCH","10000000","9000000","10000000","CG852"
"2020-05-27 00:00:00","3MEFH2AH","DEA  ","10000000","10000000","10000000","0","0","0","2020-08-25 13:50:12","2020-08-26 10:46:05","LIQUSR03","LS2BATCH","10000000","10000000","10000000","CG852"
"2020-05-27 00:00:00",":*EDFUUO","FAC  ","50000000","0","0","0","0","0","2020-07-17 00:25:06","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","50000000","50000000","50000000","CG852"
"2020-05-27 00:00:00",":*EDFXA8","DEA  ","0","0","0","0","0","0","2020-07-17 02:00:39","2020-07-17 02:00:39","FJUSRAM ","FJUSRAM ","0","0","0","CG852"
"2020-05-27 00:00:00",":*EDG12Y","DEA  ","100000000","100000000","100000000","0","0","0","2020-07-17 03:22:33","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","100000000","100000000","100000000","CG852"
"2020-05-27 00:00:00",":@EDDZTB","DEA  ","50000000","0","0","0","0","0","2020-07-16 00:04:25","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","50000000","50000000","50000000","CG852"
"2020-05-27 00:00:00","?.EBVNFE","DEA  ","600000000","600000000","600000000","6000000","6000000","6000000","2020-06-16 16:21:22","2020-08-26 10:46:05","RPTINPAM","LS2BATCH","600000000","594000000","600000000","CG852"
"2020-05-27 00:00:00","?REBVOYO","FAC  ","400000000","400000000","400000000","1000000","1000000","1000000","2020-06-16 17:05:50","2020-08-26 10:46:05","RPTINPAM","LS2BATCH","400000000","399000000","400000000","CG852"
"2020-05-27 00:00:00","?XEBVXIH","FAC  ","200000000","200000000","200000000","5000000","5000000","5000000","2020-06-16 20:17:40","2020-08-26 10:46:05","RPTINPAM","LS2BATCH","200000000","195000000","200000000","CG852"
"2020-05-27 00:00:00","@+EFH6WT","FAC  ","10000000","10000000","10000000","0","0","0","2020-08-25 14:50:44","2020-08-26 10:46:05","LIQUSR03","LS2BATCH","10000000","10000000","10000000","CG852"
"2020-05-27 00:00:00","BYEDA56Z","DEA  ","0","0","0","0","0","0","2020-07-13 23:05:44","2020-07-13 23:05:44","FJUSRAM ","FJUSRAM ","0","0","0","CG852"
"2020-05-27 00:00:00","Q+EDKVCZ","DEA  ","100000000","100000000","100000000","0","0","0","2020-07-19 17:26:58","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","100000000","100000000","100000000","CG852"
"2020-05-27 00:00:00","Q+EDKVFH","FAC  ","50000000","50000000","50000000","0","0","0","2020-07-19 17:59:00","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","50000000","50000000","50000000","CG852"
"2020-05-27 00:00:00","Q+EDKVL5","FAC  ","30000000","30000000","30000000","0","0","0","2020-07-19 18:12:08","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","30000000","30000000","30000000","CG852"
"2020-05-27 00:00:00","Q+EDKW7K","FAC  ","20000000","20000000","20000000","0","0","0","2020-07-19 18:25:37","2020-08-26 10:46:05","FJUSRAM ","LS2BATCH","20000000","20000000","20000000","CG852"
