"IRI_RID_IMT_RI_MSG","IRI_CDE_MSG_TYPE","IRI_RID_REM_INSTR","IRI_TSP_REC_CREATE","IRI_TSP_REC_UPDATE","IRI_UID_REC_CREATE","IRI_UID_REC_UPDATE","IRI_CDE_INST_CODE","IRI_TXT_REG_REF","IRI_IND_USE_SRCOR","IRI_CDE_DTLS_CHGES","IRI_TXT_ADD_INFO","IRI_CDE_BNK_OP","IRI_TXT_ADD_PARTY","IRI_TXT_PAYMT_DTLS","IRI_TXT_SDR_RVR_TX","IRI_DSC_NARRATIVE","IRI_CDE_BRANCH"
"KIE9B4ET","MT103","KIE9B4EJ","2020-04-27 17:32:52","2020-04-27 17:32:52","RPTINP01","RPTINP01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"KIE9B4UP","MT202","KIE9B4EJ","2020-04-27 17:33:07","2020-04-27 17:33:07","RPTINP01","RPTINP01","     ","                                   ","Y","","","","","","","",""
"ZXEF80SY","MT103","ZXEF80SO","2020-08-20 15:37:52","2020-08-20 15:37:52","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")OEF88XR","MT103",")OEF88XH","2020-08-20 18:35:50","2020-08-20 18:35:50","MGRALN01","MGRALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")OEF89DW","MT103",")OEF89DM","2020-08-20 18:38:05","2020-08-20 18:38:05","MGRALN01","MGRALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"9:EF86X9","MT103","9:EF86WZ","2020-08-20 17:39:42","2020-08-20 17:39:42","ALNINP01","ALNINP01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")XEF8B8S","MT103",")XEF8B8I","2020-08-20 19:02:18","2020-08-20 19:02:18","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")XEF8BOX","MT103",")XEF8BON","2020-08-20 19:04:38","2020-08-20 19:04:38","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")?EF8988","MT103",")?EF897Y","2020-08-20 19:06:13","2020-08-20 19:06:13","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")?EF89FY","MT202",")?EF897Y","2020-08-20 19:06:41","2020-08-20 19:06:41","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"GZEF480B","MT103","GZEF47ZS","2020-08-18 15:24:56","2020-08-18 15:24:56","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"V+EF4ADM","MT103","V+EF49Z9","2020-08-18 16:13:30","2020-08-18 16:13:30","ALNINP01","ALNINP01","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
")?EF89N1","MT210",")?EF897Y","2020-08-20 19:07:51","2020-08-24 16:53:00","SMANZANO","MANZANOM","     ","                                   ","Y","BEN  ","","","","","","",""
")VEF8DJV","MT103",")VEF8DJL","2020-08-20 19:36:15","2020-08-20 19:36:15","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")VEF8E00","MT103",")VEF8DZQ","2020-08-20 19:38:36","2020-08-20 19:38:36","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF049","MT103","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"EZEF8EHS","MT103","EZEF8EHI","2020-08-20 20:12:42","2020-08-20 20:12:42","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"Y@EFF046","MT103","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF04O","MT210","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF04Q","MT210","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF04G","MT202","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF04I","MT202","Y@EFF03T","2020-08-24 09:58:27","2020-08-24 09:58:27","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
