"RBP_CDE_RISK_BOOK","RBP_UID_USERID","RBP_TSP_REC_CREATE","RBP_TSP_REC_UPDATE","RBP_UID_REC_CREATE","RBP_UID_REC_UPDATE","RBP_IND_BUY_SELL","RBP_IND_MARK","RBP_IND_VIEW_PRCES","RBP_IND_PRIMARY"
"DCM  ","DHENDERS","2020-02-05 10:02:10","2020-02-05 10:02:10","RETAIL  ","RETAIL  ","N","N","Y","N"
"GTS  ","DHENDERS","2020-02-05 10:02:10","2020-02-05 10:02:10","RETAIL  ","RETAIL  ","N","N","Y","N"
"BKGOV","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"RELEN","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"PRIEQ","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"CORPF","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"BPB  ","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"BCF  ","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"PRFIN","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"DCM  ","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"SAF  ","XMIRANDA","2020-03-19 03:46:35","2020-03-19 03:46:35","MGALING ","MGALING ","Y","N","Y","N"
"BCF  ","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","INPMANS ","2020-04-13 06:07:45","2020-04-13 06:07:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
